DATAFLOW,AUDST,CAT_CNTR_TRD_RN,FREQ,REPYEAREND,REPYEARSTART,TERM_EXT_TRD_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OPEC_UAE,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,3100499831787.9995
RBI:DIR_FR_TRD_RN(1.0),N_A,CT_OPEC_OTH,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,5960465290
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_EGY,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,3411362444
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_OTH,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,5888110760509
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OPEC_KUW,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,1934724550
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OPEC_SAU_ARB,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,11756226237
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_SA_MALD,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,10010131178
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_BEN,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,101293133057
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_ODC_AS_SKOR,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,1781509468263
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU_GER,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,1606028021611
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_SA_MALD,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,118825717
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_AS_OC_AUS,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,15527141022
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OPEC_KUW,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,8285735492
RBI:DIR_FR_TRD_RN(1.0),N_A,CT_EU_OTH,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,1739881084
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_ODC_AS_PRC,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,113456630869
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_ZAM,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,17941649572
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU_BEL,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,6320103872
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OPEC_UAE,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,36636223853
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_OTH,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,975324132718
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_AS_OC_AUS,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,1312374695715
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_EE_RUS,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,5391954169552
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_KEN,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,265508161704.99997
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_ZAM,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,167002628
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_OTH,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,249446472124
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU_ITL,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,6027187471
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_AS_OC,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,2961596074677.9995
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,2392125214797
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU_UK,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,728819822525
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,5578395276480
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_UNSPC,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,13700717904
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OPEC_IRQ,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,28891198672
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OPEC,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,12158546669357
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_COUN,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,721320474782
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OTH_OECD_SWZ,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,1834694810156
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_ODC_AS_THAI,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,4812530023
RBI:DIR_FR_TRD_RN(1.0),N_A,CT_OECD_EU_OTH,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,10683980648.99999
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,218782178125
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_ODC_AS_SKOR,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,21072212378
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU_GER,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,18984301759
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,18515249784221
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_NA_CAN,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,375707808634
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_BEN,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,11021947960
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_EGY,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,1328599364
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_SA_SRI_LNK,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,4550696315
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OPEC_IRN,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,104975385957
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_UNSPC,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,160462657
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU_FRA,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,672913155100
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_SA_AFG,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,58455121314
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_TAZ,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,3850636247
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_SA_BHU,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,106969376639.99998
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OTH_OECD,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,40773332370
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_SA_PAK,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,47201207823.00001
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_ZAM,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,212559606
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_NA_USA,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,45694742654
