DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_OF_COM_TRD,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1986,1985,COMM_NON_OIL,0,1986-03-31,INR,146683000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1986,1985,COMM_NON_OIL,0,1986-03-31,USD,11988900000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1986,1985,COMM_NON_OIL1,0,1986-03-31,INR,102499000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1986,1985,COMM_NON_OIL1,0,1986-03-31,USD,8377500000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1986,1985,COMM_NON_OIL2,0,1986-03-31,INR,-44184000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1986,1985,COMM_NON_OIL2,0,1986-03-31,USD,-3611400000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1986,1985,COMM_OIL,0,1986-03-31,INR,49894000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1986,1985,COMM_OIL,0,1986-03-31,USD,4078000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1986,1985,COMM_OIL1,0,1986-03-31,INR,6447000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1986,1985,COMM_OIL1,0,1986-03-31,USD,527000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1986,1985,COMM_OIL2,0,1986-03-31,INR,-43447000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1986,1985,COMM_OIL2,0,1986-03-31,USD,-3551000000
RBI:IFT_OIL_NON_OIL_A_RN(1.0),N_A,AFY,1986,1985,TERM_TRD_EXP,0,1986-03-31,INR,108946000000
