DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_OF_COM_TRD,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2001,2000,TERM_TRD_EXP,0,2001-01-01,INR,170640000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2001,2000,TERM_TRD_EXP,0,2001-01-01,USD,3666000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2001,2000,TERM_TRD_IMP,0,2001-01-01,INR,186480000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2001,2000,TERM_TRD_IMP,0,2001-01-01,USD,4007000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2001,2000,TERM_TTL_TRD_BAL,0,2001-01-01,INR,-15840000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2001,2000,TERM_TTL_TRD_BAL,0,2001-01-01,USD,-340000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2001,2000,TERM_TRD_EXP,0,2001-02-01,INR,171860000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2001,2000,TERM_TRD_EXP,0,2001-02-01,USD,3695000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2001,2000,TERM_TRD_IMP,0,2001-02-01,INR,160810000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2001,2000,TERM_TRD_IMP,0,2001-02-01,USD,3457000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2001,2000,TERM_TTL_TRD_BAL,0,2001-02-01,INR,11060000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2001,2000,TERM_TTL_TRD_BAL,0,2001-02-01,USD,238000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2001,2000,TERM_TRD_EXP,0,2001-03-01,INR,200890000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2001,2000,TERM_TRD_EXP,0,2001-03-01,USD,4309000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2001,2000,TERM_TRD_IMP,0,2001-03-01,INR,215630000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2001,2000,TERM_TRD_IMP,0,2001-03-01,USD,4625000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2001,2000,TERM_TTL_TRD_BAL,0,2001-03-01,INR,-14740000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2001,2000,TERM_TTL_TRD_BAL,0,2001-03-01,USD,-316000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_EXP,0,2001-04-01,INR,145730000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_EXP,0,2001-04-01,USD,3115000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_IMP,0,2001-04-01,INR,191530000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_IMP,0,2001-04-01,USD,4094000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TTL_TRD_BAL,0,2001-04-01,INR,-45800000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TTL_TRD_BAL,0,2001-04-01,USD,-979000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_EXP,0,2001-05-01,INR,170290000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_EXP,0,2001-05-01,USD,3629000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_IMP,0,2001-05-01,INR,219320000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_IMP,0,2001-05-01,USD,4674000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TTL_TRD_BAL,0,2001-05-01,INR,-49030000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TTL_TRD_BAL,0,2001-05-01,USD,-1045000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_EXP,0,2001-06-01,INR,169790000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_EXP,0,2001-06-01,USD,3612000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_IMP,0,2001-06-01,INR,188830000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_IMP,0,2001-06-01,USD,4017000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TTL_TRD_BAL,0,2001-06-01,INR,-19700000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TTL_TRD_BAL,0,2001-06-01,USD,-405000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_EXP,0,2001-07-01,INR,161810000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_EXP,0,2001-07-01,USD,3433000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_IMP,0,2001-07-01,INR,232040000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_IMP,0,2001-07-01,USD,4923000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TTL_TRD_BAL,0,2001-07-01,INR,-70230000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TTL_TRD_BAL,0,2001-07-01,USD,-1490000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_EXP,0,2001-08-01,INR,171860000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_EXP,0,2001-08-01,USD,3647000000
RBI:IFT_OIL_NON_OIL_RN(1.0),N_A,M,2002,2001,TERM_TRD_IMP,0,2001-08-01,INR,206050000000
