DATAFLOW,AUDST,FREQ,IO_BOP_RN,REPYEAREND,REPYEARSTART,TRANC_TYP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CAP_ACC,1991,1990,TRANC_CRD,0,1991-03-31,INR,408520000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CAP_ACC,1991,1990,TRANC_CRD,0,1991-03-31,USD,22768000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CAP_ACC,1991,1990,TRANC_DEB,0,1991-03-31,INR,281910000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CAP_ACC,1991,1990,TRANC_DEB,0,1991-03-31,USD,15712000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CAP_ACC,1991,1990,TRANC_NET,0,1991-03-31,INR,126610000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CAP_ACC,1991,1990,TRANC_NET,0,1991-03-31,USD,7056000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_AST,1991,1990,TRANC_CRD,0,1991-03-31,INR,7630000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_AST,1991,1990,TRANC_CRD,0,1991-03-31,USD,425000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_AST,1991,1990,TRANC_DEB,0,1991-03-31,INR,14150000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_AST,1991,1990,TRANC_DEB,0,1991-03-31,USD,789000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_AST,1991,1990,TRANC_NET,0,1991-03-31,INR,-6520000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_AST,1991,1990,TRANC_NET,0,1991-03-31,USD,-364000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_LIB,1991,1990,TRANC_CRD,0,1991-03-31,INR,135190000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_LIB,1991,1990,TRANC_CRD,0,1991-03-31,USD,7535000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_LIB,1991,1990,TRANC_DEB,0,1991-03-31,INR,112440000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_LIB,1991,1990,TRANC_DEB,0,1991-03-31,USD,6267000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_LIB,1991,1990,TRANC_NET,0,1991-03-31,INR,22750000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_LIB,1991,1990,TRANC_NET,0,1991-03-31,USD,1268000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_LIB_NRD,1991,1990,TRANC_CRD,0,1991-03-31,INR,131840000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_LIB_NRD,1991,1990,TRANC_CRD,0,1991-03-31,USD,7348000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_LIB_NRD,1991,1990,TRANC_DEB,0,1991-03-31,INR,104270000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_LIB_NRD,1991,1990,TRANC_DEB,0,1991-03-31,USD,5811000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_LIB_NRD,1991,1990,TRANC_NET,0,1991-03-31,INR,27570000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_LIB_NRD,1991,1990,TRANC_NET,0,1991-03-31,USD,1537000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_LIB_OTH,1991,1990,TRANC_CRD,0,1991-03-31,INR,3350000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_LIB_OTH,1991,1990,TRANC_CRD,0,1991-03-31,USD,187000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_LIB_OTH,1991,1990,TRANC_DEB,0,1991-03-31,INR,8170000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_LIB_OTH,1991,1990,TRANC_DEB,0,1991-03-31,USD,456000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_LIB_OTH,1991,1990,TRANC_NET,0,1991-03-31,INR,-4820000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_CM_LIB_OTH,1991,1990,TRANC_NET,0,1991-03-31,USD,-269000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_COMM_BNK,1991,1990,TRANC_CRD,0,1991-03-31,INR,142820000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_COMM_BNK,1991,1990,TRANC_CRD,0,1991-03-31,USD,7960000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_COMM_BNK,1991,1990,TRANC_DEB,0,1991-03-31,INR,126590000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_COMM_BNK,1991,1990,TRANC_DEB,0,1991-03-31,USD,7056000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_COMM_BNK,1991,1990,TRANC_NET,0,1991-03-31,INR,16230000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_BC_COMM_BNK,1991,1990,TRANC_NET,0,1991-03-31,USD,904000000
