DATAFLOW,AUDST,FREQ,IO_BOP_RN,REPYEAREND,REPYEARSTART,TRANC_TYP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CAP_ACC,2021,2020,TRANC_CRD,0,2021-03-31,INR,11857842438416.2
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CAP_ACC,2021,2020,TRANC_CRD,0,2021-03-31,USD,162689772337.123
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CAP_ACC,2021,2020,TRANC_DEB,0,2021-03-31,INR,10964184251731.1
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CAP_ACC,2021,2020,TRANC_DEB,0,2021-03-31,USD,150428768896.229
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CAP_ACC,2021,2020,TRANC_NET,0,2021-03-31,INR,893658186685.08
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CAP_ACC,2021,2020,TRANC_NET,0,2021-03-31,USD,12261003440.8941
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_AST,2021,2020,TRANC_CRD,0,2021-03-31,INR,301857234518.578
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_AST,2021,2020,TRANC_CRD,0,2021-03-31,USD,4141485689.0863
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_AST,2021,2020,TRANC_DEB,0,2021-03-31,INR,581122718227.988
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_AST,2021,2020,TRANC_DEB,0,2021-03-31,USD,7973012225.4069
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_AST,2021,2020,TRANC_NET,0,2021-03-31,INR,-279265483709.409
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_AST,2021,2020,TRANC_NET,0,2021-03-31,USD,-3831526536.3206
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_LIB,2021,2020,TRANC_CRD,0,2021-03-31,INR,902111949500.024
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_LIB,2021,2020,TRANC_CRD,0,2021-03-31,USD,12376989190.8228
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_LIB,2021,2020,TRANC_DEB,0,2021-03-31,INR,961028040771.748
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_LIB,2021,2020,TRANC_DEB,0,2021-03-31,USD,13185318828.0034
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_LIB,2021,2020,TRANC_NET,0,2021-03-31,INR,-58916091271.7235
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_LIB,2021,2020,TRANC_NET,0,2021-03-31,USD,-808329637.180612
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_LIB_NRD,2021,2020,TRANC_CRD,0,2021-03-31,INR,827259281496.702
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_LIB_NRD,2021,2020,TRANC_CRD,0,2021-03-31,USD,11350009486.9237
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_LIB_NRD,2021,2020,TRANC_DEB,0,2021-03-31,INR,866508616764.413
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_LIB_NRD,2021,2020,TRANC_DEB,0,2021-03-31,USD,11888510943.0065
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_LIB_NRD,2021,2020,TRANC_NET,0,2021-03-31,INR,-39249335267.7115
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_LIB_NRD,2021,2020,TRANC_NET,0,2021-03-31,USD,-538501456.082786
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_LIB_OTH,2021,2020,TRANC_CRD,0,2021-03-31,INR,74852668003.322
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_LIB_OTH,2021,2020,TRANC_CRD,0,2021-03-31,USD,1026979703.8991
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_LIB_OTH,2021,2020,TRANC_DEB,0,2021-03-31,INR,94519424007.335
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_LIB_OTH,2021,2020,TRANC_DEB,0,2021-03-31,USD,1296807884.9969
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_LIB_OTH,2021,2020,TRANC_NET,0,2021-03-31,INR,-19666756004.012
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_CM_LIB_OTH,2021,2020,TRANC_NET,0,2021-03-31,USD,-269828181.097826
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_COMM_BNK,2021,2020,TRANC_CRD,0,2021-03-31,INR,1203969184018.6
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_COMM_BNK,2021,2020,TRANC_CRD,0,2021-03-31,USD,16518474879.9091
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_COMM_BNK,2021,2020,TRANC_DEB,0,2021-03-31,INR,1542150758999.74
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_COMM_BNK,2021,2020,TRANC_DEB,0,2021-03-31,USD,21158331053.4103
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_COMM_BNK,2021,2020,TRANC_NET,0,2021-03-31,INR,-338181574981.133
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_COMM_BNK,2021,2020,TRANC_NET,0,2021-03-31,USD,-4639856173.50121
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_OTH,2021,2020,TRANC_CRD,0,2021-03-31,INR,15648243726.59
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_OTH,2021,2020,TRANC_CRD,0,2021-03-31,USD,214694133.656811
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_OTH,2021,2020,TRANC_DEB,0,2021-03-31,INR,45177.0
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_OTH,2021,2020,TRANC_DEB,0,2021-03-31,USD,619.829103
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_OTH,2021,2020,TRANC_NET,0,2021-03-31,INR,15648198549.59
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BC_OTH,2021,2020,TRANC_NET,0,2021-03-31,USD,214693513.827708
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BNK_CAP,2021,2020,TRANC_CRD,0,2021-03-31,INR,1219617427745.19
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BNK_CAP,2021,2020,TRANC_CRD,0,2021-03-31,USD,16733169013.5659
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BNK_CAP,2021,2020,TRANC_DEB,0,2021-03-31,INR,1542150804176.74
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BNK_CAP,2021,2020,TRANC_DEB,0,2021-03-31,USD,21158331673.2394
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BNK_CAP,2021,2020,TRANC_NET,0,2021-03-31,INR,-322533376431.543
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_BNK_CAP,2021,2020,TRANC_NET,0,2021-03-31,USD,-4425162659.6735
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI,2021,2020,TRANC_CRD,0,2021-03-31,INR,1121926006762.72
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI,2021,2020,TRANC_CRD,0,2021-03-31,USD,15392841283.5027
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI,2021,2020,TRANC_DEB,0,2021-03-31,INR,926697478185.093
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI,2021,2020,TRANC_DEB,0,2021-03-31,USD,12714303005.316
