DATAFLOW,AUDST,FREQ,INVS_CAT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_INCM_INVST_INCM_PYMTS,1986,1985,0,1986-03-31,INR,16190000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_INCM_INVST_INCM_PYMTS,1986,1985,0,1986-03-31,USD,1323000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_INCM_INVST_INCM_RCPTS,1986,1985,0,1986-03-31,INR,6690000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_INCM_INVST_INCM_RCPTS,1986,1985,0,1986-03-31,USD,547000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_INCM_PYMTS,1986,1985,0,1986-03-31,INR,16190000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_INCM_PYMTS,1986,1985,0,1986-03-31,USD,1323000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_INCM_RCPTS,1986,1985,0,1986-03-31,INR,6690000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_INCM_RCPTS,1986,1985,0,1986-03-31,USD,547000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_GNIE_PYMTS,1986,1985,0,1986-03-31,INR,1240000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_GNIE_PYMTS,1986,1985,0,1986-03-31,USD,101000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_GNIE_RCPTS,1986,1985,0,1986-03-31,INR,1160000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_GNIE_RCPTS,1986,1985,0,1986-03-31,USD,95000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_INSU_PYMTS,1986,1985,0,1986-03-31,INR,830000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_INSU_PYMTS,1986,1985,0,1986-03-31,USD,68000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_INSU_RCPTS,1986,1985,0,1986-03-31,INR,790000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_INSU_RCPTS,1986,1985,0,1986-03-31,USD,64000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_MISCL_PYMTS,1986,1985,0,1986-03-31,INR,11640000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_MISCL_PYMTS,1986,1985,0,1986-03-31,USD,951000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_MISCL_RCPTS,1986,1985,0,1986-03-31,INR,20630000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_MISCL_RCPTS,1986,1985,0,1986-03-31,USD,1686000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_TRNSPTION_PYMTS,1986,1985,0,1986-03-31,INR,8160000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_TRNSPTION_PYMTS,1986,1985,0,1986-03-31,USD,667000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_TRNSPTION_RCPTS,1986,1985,0,1986-03-31,INR,6040000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_TRNSPTION_RCPTS,1986,1985,0,1986-03-31,USD,494000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_TRVL_PYMTS,1986,1985,0,1986-03-31,INR,4120000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_TRVL_PYMTS,1986,1985,0,1986-03-31,USD,336000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_TRVL_RCPTS,1986,1985,0,1986-03-31,INR,11890000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_TRVL_RCPTS,1986,1985,0,1986-03-31,USD,972000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NON_FACT_SERV_PYMTS,1986,1985,0,1986-03-31,INR,25990000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NON_FACT_SERV_PYMTS,1986,1985,0,1986-03-31,USD,2124000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NON_FACT_SERV_RCPTS,1986,1985,0,1986-03-31,INR,40510000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NON_FACT_SERV_RCPTS,1986,1985,0,1986-03-31,USD,3316000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_OFF_TRNSF_PYMTS,1986,1985,0,1986-03-31,INR,130000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_OFF_TRNSF_PYMTS,1986,1985,0,1986-03-31,USD,10000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_OFF_TRNSF_RCPTS,1986,1985,0,1986-03-31,INR,4400000000
