DATAFLOW,AUDST,FREQ,INVI_PYMTS_CAT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_PIP_II_COSDR,2026,2025,0,2025-06-30,USD,170064260.96256
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_SERV,2026,2025,0,2025-06-30,USD,49507439038.5315
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_SI_PSGS,2026,2025,0,2025-06-30,USD,6489999.11495748
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_TCIS,2026,2025,0,2025-06-30,USD,6470149139.18773
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_PIP_OPI,2026,2025,0,2025-06-30,USD,647269911.89804
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_TCIS_TS,2026,2025,0,2025-06-30,USD,380029949.300291
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_PIP_II_POI_NRID,2026,2025,0,2025-06-30,USD,2262062520.41861
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_TCIS_IS,2026,2025,0,2025-06-30,USD,237469967.616171
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_PIP_II_RE,2026,2025,0,2025-06-30,USD,5876482720.54637
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_SERV_TRNSP,2026,2025,0,2025-06-30,USD,8394758879.78982
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_PIP_CE,2026,2025,0,2025-06-30,USD,1026857642.87982
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_OBS_RND,2026,2025,0,2025-06-30,USD,258049964.8124
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_CS,2026,2025,0,2025-06-30,USD,890539878.556893
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_PIP_II_DP_NRSH,2026,2025,0,2025-06-30,USD,8532062836.48083
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_PIP_OPI_POT_GNR,2026,2025,0,2025-06-30,USD,647269911.89804
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_PIP,2026,2025,0,2025-06-30,USD,25018822727.0844
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_STR_ST_PFP,2026,2025,0,2025-06-30,USD,59999.9918177887
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_OBS_PMCS,2026,2025,0,2025-06-30,USD,4099249454.89836
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_TCIS_IS_NAS,2026,2025,0,2025-06-30,USD,979999.866357216
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_SI_DI,2026,2025,0,2025-06-30,USD,16219997.7880756
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_OBS_TTROBS_WRTS,2026,2025,0,2025-06-30,USD,94709987.1225631
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_PIP_II_POI_LFNR,2026,2025,0,2025-06-30,USD,5057933031.10178
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_STR_PCS_AIR,2026,2025,0,2025-06-30,USD,174479979.942673
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_SGNIE_MOI_DMA,2026,2025,0,2025-06-30,USD,229649968.685314
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IVS_PMT,2026,2025,0,2025-06-30,USD,77535983217.9698
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_STR_ST,2026,2025,0,2025-06-30,USD,4029199450.58224
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_SI_RIS,2026,2025,0,2025-06-30,USD,574739923.019029
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_SI_AI,2026,2025,0,2025-06-30,USD,15619997.8698977
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_TCIS_TS_TSIEMSVMS,2026,2025,0,2025-06-30,USD,352079953.111838
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_STR_AT_CHC,2026,2025,0,2025-06-30,USD,156849978.610336
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_FS_EC,2026,2025,0,2025-06-30,USD,317209956.754286
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_PCRS_OPCRS,2026,2025,0,2025-06-30,USD,948259907.382823
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_TCIS_IS_OIS_SN,2026,2025,0,2025-06-30,USD,236489967.749814
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_SIP_PT_IR_IWA_FM,2026,2025,0,2025-06-30,USD,2061259719.38561
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_PCRS_OPCRS_ED,2026,2025,0,2025-06-30,USD,686729927.59834
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_STR_OTH,2026,2025,0,2025-06-30,USD,955869890.236999
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_SIP_PT_RTPGD,2026,2025,0,2025-06-30,USD,717209902.193937
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_OBS_PMCS_BMC_PRS,2026,2025,0,2025-06-30,USD,2256299698.55506
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_STR_ST_OE_ICA,2026,2025,0,2025-06-30,USD,86129988.2544357
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_OBS_TTROBS_OLS_SC,2026,2025,0,2025-06-30,USD,170569976.739337
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_STR_AT,2026,2025,0,2025-06-30,USD,3210829562.13851
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_SERV_TRV,2026,2025,0,2025-06-30,USD,9084609007.32817
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_PCRS_OPCRS_MLAS,2026,2025,0,2025-06-30,USD,389999.946815627
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_PCRS_OPCRS_ES,2026,2025,0,2025-06-30,USD,77789996.1611792
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_PCRS_ARS_AVMP_VTP_DPS,2026,2025,0,2025-06-30,USD,205939972.064567
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_SIP_PT_PG_CRI,2026,2025,0,2025-06-30,USD,750319900.020197
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_CS_ABD,2026,2025,0,2025-06-30,USD,806629889.999715
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_STV_PIL,2026,2025,0,2025-06-30,USD,111279984.824725
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_OBS_RND_MR,2026,2025,0,2025-06-30,USD,50639993.0969411
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_SERV_GNIE,2026,2025,0,2025-06-30,USD,322679955.998795
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_OBS_PMCS_ATFS,2026,2025,0,2025-06-30,USD,1133319852.35063
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_STV_ER,2026,2025,0,2025-06-30,USD,1158199842.05605
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_OBS_PMCS_LS,2026,2025,0,2025-06-30,USD,203049972.66596
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_FS_EC_IBB_UWC,2026,2025,0,2025-06-30,USD,16729997.7308001
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_STR_ST_BPA,2026,2025,0,2025-06-30,USD,129999.982271876
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_MRS_PI,2026,2025,0,2025-06-30,USD,39909994.5574658
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_SIP_PT,2026,2025,0,2025-06-30,USD,2811579619.40581
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_OBS_PMCS_TCS,2026,2025,0,2025-06-30,USD,12979998.2476431
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_SI_PSGS_SGS,2026,2025,0,2025-06-30,USD,5539999.24450916
RBI:INVI_PYMTS_RN(1.0),N_A,QFY,IC_OBS_TTROBS_OTS,2026,2025,0,2025-06-30,USD,6096185866.158
