DATAFLOW,AUDST,FREQ,INVI_RCPTS_CAT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_FS,2026,2025,0,2025-06-30,USD,1944612134.81284
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_PIR_II_DP,2026,2025,0,2025-06-30,USD,1252809829.15406
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_PIR,2026,2025,0,2025-06-30,USD,12173670262.7072
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_STR_ST_CHC,2026,2025,0,2025-06-30,USD,133689981.76867
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_STR_ST,2026,2025,0,2025-06-30,USD,429049941.490371
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_BS_PMCS_ATFS,2026,2025,0,2025-06-30,USD,1368388813.91306
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_CS_RE,2026,2025,0,2025-06-30,USD,889939878.638715
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_FS_EC,2026,2025,0,2025-06-30,USD,1716812165.87797
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_BS_RND_SERV,2026,2025,0,2025-06-30,USD,2827747614.37947
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_RCLF_FS,2026,2025,0,2025-06-30,USD,31459995.7097939
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_SIR_OT,2026,2025,0,2025-06-30,USD,19658392.0236531
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_PCRS_OPCRS_EDS,2026,2025,0,2025-06-30,USD,282699965.310152
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_SGNIE_MI_RII,2026,2025,0,2025-06-30,USD,36919994.9652127
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_PIR_CE,2026,2025,0,2025-06-30,USD,2129929709.54104
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_PIR_II,2026,2025,0,2025-06-30,USD,8498400763.89899
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_FS_EC_IBB_UWC,2026,2025,0,2025-06-30,USD,36029995.0865821
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_PIR_II_IR,2026,2025,0,2025-06-30,USD,369209949.650763
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_TCIS_SS,2026,2025,0,2025-06-30,USD,47323845740.6115
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_PCRS_OPCRS_MLAS,2026,2025,0,2025-06-30,USD,599999.918177887
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_CS_ABD,2026,2025,0,2025-06-30,USD,207599971.689549
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_BS_TTRBS_EI,2026,2025,0,2025-06-30,USD,1474038799.01093
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_TCIS_IS_NAS,2026,2025,0,2025-06-30,USD,16929997.6912527
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_SIR_PT_PGD_CRI_IND_DRCI,2026,2025,0,2025-06-30,USD,706329903.749921
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_MRS_RCPT_VSBW,2026,2025,0,2025-06-30,USD,59979991.8205161
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_STR_PCS_AIR,2026,2025,0,2025-06-30,USD,78539998.6922099
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_BS_TTRBS_PPS,2026,2025,0,2025-06-30,USD,71679991.015932
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_PIR_II_DP_DIV,2026,2025,0,2025-06-30,USD,1095229850.64328
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_BS_PMCS_LS,2026,2025,0,2025-06-30,USD,258389964.798763
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_PIR_II_IRSDR,2026,2025,0,2025-06-30,USD,171599264.34644
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_PCRS_OPCRS_OPCRS,2026,2025,0,2025-06-30,USD,183699976.917982
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_SI_PSGS_SGS,2026,2025,0,2025-06-30,USD,13389998.1740032
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_BS_TTRBS_WRTS,2026,2025,0,2025-06-30,USD,111909984.753813
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_PCRS_OPCRS,2026,2025,0,2025-06-30,USD,743729907.363731
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_MRS,2026,2025,0,2025-06-30,USD,76399989.5813176
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_OSNI,2026,2025,0,2025-06-30,USD,334061771.51356
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_BS_TTRBS_MS,2026,2025,0,2025-06-30,USD,84969988.4126251
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_BS_RND_MR,2026,2025,0,2025-06-30,USD,371039949.401205
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_TCIS_IS,2026,2025,0,2025-06-30,USD,105039985.675675
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_RCLF_RCPT,2026,2025,0,2025-06-30,USD,414859943.425464
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_STV_BUSS,2026,2025,0,2025-06-30,USD,476721414.30375
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_STR_PCS_OTH,2026,2025,0,2025-06-30,USD,5869999.23087214
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_PCRS_OPCRS_RSAS,2026,2025,0,2025-06-30,USD,24929996.7175696
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_TCIS_TS,2026,2025,0,2025-06-30,USD,503149931.419432
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_PIR_II_IR_FRN,2026,2025,0,2025-06-30,USD,132719981.900949
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_BS_TTRBS_OTS,2026,2025,0,2025-06-30,USD,1301019822.58511
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_STV_ER,2026,2025,0,2025-06-30,USD,51089842.6274396
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_PIR_II_IR_IRDA_PIM_IFS,2026,2025,0,2025-06-30,USD,87239988.1030648
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_PCRS_OPCRS_ES,2026,2025,0,2025-06-30,USD,63229992.1723512
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_RCLF,2026,2025,0,2025-06-30,USD,446319939.135258
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_SI_AI,2026,2025,0,2025-06-30,USD,10929998.5094738
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_STR_AT_OEFCI,2026,2025,0,2025-06-30,USD,54849992.5200952
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_PCRS_ARS,2026,2025,0,2025-06-30,USD,466409936.525132
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_STR_AT_SRP_ICOA,2026,2025,0,2025-06-30,USD,214839970.702229
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_PIR_II_IR_IRIP_PCI,2026,2025,0,2025-06-30,USD,19439997.3489635
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_BS_TTRBS_AS,2026,2025,0,2025-06-30,USD,5409999.26223728
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_SERV_GNIE,2026,2025,0,2025-06-30,USD,134199981.699121
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_FS_EC_FI_BC_CC_LCC,2026,2025,0,2025-06-30,USD,1680782170.79139
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_SI_PSGS,2026,2025,0,2025-06-30,USD,18389997.4921522
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_SIR,2026,2025,0,2025-06-30,USD,34047661246.5927
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_TCIS_TS_TSIEMSVMS,2026,2025,0,2025-06-30,USD,491059933.068148
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_SERV,2026,2025,0,2025-06-30,USD,97427631400.9747
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_SI_RIS,2026,2025,0,2025-06-30,USD,313309958.092077
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_BS_TTRBS,2026,2025,0,2025-06-30,USD,4459226392.73169
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_PIR_CE_WR,2026,2025,0,2025-06-30,USD,2129929709.54104
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_PCRS_ARS_AVMP_VTP_DPS,2026,2025,0,2025-06-30,USD,365119950.328523
RBI:INVI_RCPTS_RN(1.0),N_A,QFY,IC_STR_AT_CHC,2026,2025,0,2025-06-30,USD,4959999.32360387
