DATAFLOW,AUDST,COMP_BOP_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:KCI_BOP_RN(1.0),N_A,CAP_ACC,AFY,1986,1985,0,1986-03-31,INR,55140000000
RBI:KCI_BOP_RN(1.0),N_A,CAP_ACC,AFY,1986,1985,0,1986-03-31,USD,4506000000
RBI:KCI_BOP_RN(1.0),N_A,CA_COMM_BORRW,AFY,1986,1985,0,1986-03-31,INR,11670000000
RBI:KCI_BOP_RN(1.0),N_A,CA_COMM_BORRW,AFY,1986,1985,0,1986-03-31,USD,954000000
RBI:KCI_BOP_RN(1.0),N_A,CA_EXT_AST,AFY,1986,1985,0,1986-03-31,INR,16760000000
RBI:KCI_BOP_RN(1.0),N_A,CA_EXT_AST,AFY,1986,1985,0,1986-03-31,USD,1370000000
RBI:KCI_BOP_RN(1.0),N_A,CA_NRI_DEP,AFY,1986,1985,0,1986-03-31,INR,17670000000
RBI:KCI_BOP_RN(1.0),N_A,CA_NRI_DEP,AFY,1986,1985,0,1986-03-31,USD,1444000000
RBI:KCI_BOP_RN(1.0),N_A,CA_OTH_CAP,AFY,1986,1985,0,1986-03-31,INR,9040000000
RBI:KCI_BOP_RN(1.0),N_A,CA_OTH_CAP,AFY,1986,1985,0,1986-03-31,USD,738000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_ACC,AFY,1986,1985,0,1986-03-31,INR,-59560000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_ACC,AFY,1986,1985,0,1986-03-31,USD,-4867000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_INVIS,AFY,1986,1985,0,1986-03-31,INR,36300000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_INVIS,AFY,1986,1985,0,1986-03-31,USD,2966000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_EXP,AFY,1986,1985,0,1986-03-31,INR,115780000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_EXP,AFY,1986,1985,0,1986-03-31,USD,9461000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_IMP,AFY,1986,1985,0,1986-03-31,INR,211640000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_IMP,AFY,1986,1985,0,1986-03-31,USD,17294000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_TRD_BAL,AFY,1986,1985,0,1986-03-31,INR,-95860000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_TRD_BAL,AFY,1986,1985,0,1986-03-31,USD,-7833000000
RBI:KCI_BOP_RN(1.0),N_A,MON_MOV,AFY,1986,1985,0,1986-03-31,INR,4420000000
RBI:KCI_BOP_RN(1.0),N_A,MON_MOV,AFY,1986,1985,0,1986-03-31,USD,361000000
RBI:KCI_BOP_RN(1.0),N_A,NET_IMF,AFY,1986,1985,0,1986-03-31,INR,-2650000000
RBI:KCI_BOP_RN(1.0),N_A,NET_IMF,AFY,1986,1985,0,1986-03-31,USD,-216000000
RBI:KCI_BOP_RN(1.0),N_A,OVR_BAL,AFY,1986,1985,0,1986-03-31,INR,-4420000000
RBI:KCI_BOP_RN(1.0),N_A,OVR_BAL,AFY,1986,1985,0,1986-03-31,USD,-361000000
RBI:KCI_BOP_RN(1.0),N_A,RESERVES,AFY,1986,1985,0,1986-03-31,INR,7070000000
RBI:KCI_BOP_RN(1.0),N_A,RESERVES,AFY,1986,1985,0,1986-03-31,USD,577000000
RBI:KCI_BOP_RN(1.0),N_A,CAP_ACC,AFY,1987,1986,0,1987-03-31,INR,57700000000
RBI:KCI_BOP_RN(1.0),N_A,CAP_ACC,AFY,1987,1986,0,1987-03-31,USD,4512000000
RBI:KCI_BOP_RN(1.0),N_A,CA_COMM_BORRW,AFY,1987,1986,0,1987-03-31,INR,25130000000
RBI:KCI_BOP_RN(1.0),N_A,CA_COMM_BORRW,AFY,1987,1986,0,1987-03-31,USD,1966000000
RBI:KCI_BOP_RN(1.0),N_A,CA_EXT_AST,AFY,1987,1986,0,1987-03-31,INR,18080000000
RBI:KCI_BOP_RN(1.0),N_A,CA_EXT_AST,AFY,1987,1986,0,1987-03-31,USD,1414000000
RBI:KCI_BOP_RN(1.0),N_A,CA_FRG_INV,AFY,1987,1986,0,1987-03-31,INR,2490000000
RBI:KCI_BOP_RN(1.0),N_A,CA_FRG_INV,AFY,1987,1986,0,1987-03-31,USD,195000000
RBI:KCI_BOP_RN(1.0),N_A,CA_NRI_DEP,AFY,1987,1986,0,1987-03-31,INR,16500000000
RBI:KCI_BOP_RN(1.0),N_A,CA_NRI_DEP,AFY,1987,1986,0,1987-03-31,USD,1290000000
RBI:KCI_BOP_RN(1.0),N_A,CA_OTH_CAP,AFY,1987,1986,0,1987-03-31,INR,-4500000000
RBI:KCI_BOP_RN(1.0),N_A,CA_OTH_CAP,AFY,1987,1986,0,1987-03-31,USD,-353000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_ACC,AFY,1987,1986,0,1987-03-31,INR,-58300000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_ACC,AFY,1987,1986,0,1987-03-31,USD,-4560000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_INVIS,AFY,1987,1986,0,1987-03-31,INR,35240000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_INVIS,AFY,1987,1986,0,1987-03-31,USD,2756000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_EXP,AFY,1987,1986,0,1987-03-31,INR,133150000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_EXP,AFY,1987,1986,0,1987-03-31,USD,10413000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_IMP,AFY,1987,1986,0,1987-03-31,INR,226690000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_IMP,AFY,1987,1986,0,1987-03-31,USD,17729000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_TRD_BAL,AFY,1987,1986,0,1987-03-31,INR,-93540000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_TRD_BAL,AFY,1987,1986,0,1987-03-31,USD,-7316000000
RBI:KCI_BOP_RN(1.0),N_A,MON_MOV,AFY,1987,1986,0,1987-03-31,INR,600000000
RBI:KCI_BOP_RN(1.0),N_A,MON_MOV,AFY,1987,1986,0,1987-03-31,USD,47000000
RBI:KCI_BOP_RN(1.0),N_A,NET_IMF,AFY,1987,1986,0,1987-03-31,INR,-6720000000
RBI:KCI_BOP_RN(1.0),N_A,NET_IMF,AFY,1987,1986,0,1987-03-31,USD,-526000000
RBI:KCI_BOP_RN(1.0),N_A,OVR_BAL,AFY,1987,1986,0,1987-03-31,INR,-600000000
RBI:KCI_BOP_RN(1.0),N_A,OVR_BAL,AFY,1987,1986,0,1987-03-31,USD,-47000000
RBI:KCI_BOP_RN(1.0),N_A,RESERVES,AFY,1987,1986,0,1987-03-31,INR,7320000000
RBI:KCI_BOP_RN(1.0),N_A,RESERVES,AFY,1987,1986,0,1987-03-31,USD,573000000
RBI:KCI_BOP_RN(1.0),N_A,CAP_ACC,AFY,1988,1987,0,1988-03-31,INR,65450000000
RBI:KCI_BOP_RN(1.0),N_A,CAP_ACC,AFY,1988,1987,0,1988-03-31,USD,5047000000
RBI:KCI_BOP_RN(1.0),N_A,CA_COMM_BORRW,AFY,1988,1987,0,1988-03-31,INR,12660000000
RBI:KCI_BOP_RN(1.0),N_A,CA_COMM_BORRW,AFY,1988,1987,0,1988-03-31,USD,976000000
RBI:KCI_BOP_RN(1.0),N_A,CA_EXT_AST,AFY,1988,1987,0,1988-03-31,INR,29450000000
RBI:KCI_BOP_RN(1.0),N_A,CA_EXT_AST,AFY,1988,1987,0,1988-03-31,USD,2271000000
RBI:KCI_BOP_RN(1.0),N_A,CA_FRG_INV,AFY,1988,1987,0,1988-03-31,INR,5630000000
RBI:KCI_BOP_RN(1.0),N_A,CA_FRG_INV,AFY,1988,1987,0,1988-03-31,USD,434000000
RBI:KCI_BOP_RN(1.0),N_A,CA_NRI_DEP,AFY,1988,1987,0,1988-03-31,INR,18400000000
RBI:KCI_BOP_RN(1.0),N_A,CA_NRI_DEP,AFY,1988,1987,0,1988-03-31,USD,1419000000
RBI:KCI_BOP_RN(1.0),N_A,CA_OTH_CAP,AFY,1988,1987,0,1988-03-31,INR,-690000000
RBI:KCI_BOP_RN(1.0),N_A,CA_OTH_CAP,AFY,1988,1987,0,1988-03-31,USD,-53000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_ACC,AFY,1988,1987,0,1988-03-31,INR,-62930000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_ACC,AFY,1988,1987,0,1988-03-31,USD,-4852000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_INVIS,AFY,1988,1987,0,1988-03-31,INR,30060000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_INVIS,AFY,1988,1987,0,1988-03-31,USD,2316000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_EXP,AFY,1988,1987,0,1988-03-31,INR,163960000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_EXP,AFY,1988,1987,0,1988-03-31,USD,12644000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_IMP,AFY,1988,1987,0,1988-03-31,INR,256930000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_IMP,AFY,1988,1987,0,1988-03-31,USD,19812000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_TRD_BAL,AFY,1988,1987,0,1988-03-31,INR,-92960000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_TRD_BAL,AFY,1988,1987,0,1988-03-31,USD,-7168000000
RBI:KCI_BOP_RN(1.0),N_A,MON_MOV,AFY,1988,1987,0,1988-03-31,INR,-2530000000
RBI:KCI_BOP_RN(1.0),N_A,MON_MOV,AFY,1988,1987,0,1988-03-31,USD,-195000000
RBI:KCI_BOP_RN(1.0),N_A,NET_IMF,AFY,1988,1987,0,1988-03-31,INR,-12090000000
RBI:KCI_BOP_RN(1.0),N_A,NET_IMF,AFY,1988,1987,0,1988-03-31,USD,-932000000
RBI:KCI_BOP_RN(1.0),N_A,OVR_BAL,AFY,1988,1987,0,1988-03-31,INR,2530000000
RBI:KCI_BOP_RN(1.0),N_A,OVR_BAL,AFY,1988,1987,0,1988-03-31,USD,195000000
RBI:KCI_BOP_RN(1.0),N_A,RESERVES,AFY,1988,1987,0,1988-03-31,INR,9560000000
RBI:KCI_BOP_RN(1.0),N_A,RESERVES,AFY,1988,1987,0,1988-03-31,USD,737000000
RBI:KCI_BOP_RN(1.0),N_A,CAP_ACC,AFY,1989,1988,0,1989-03-31,INR,116780000000
RBI:KCI_BOP_RN(1.0),N_A,CAP_ACC,AFY,1989,1988,0,1989-03-31,USD,8064000000
RBI:KCI_BOP_RN(1.0),N_A,CA_COMM_BORRW,AFY,1989,1988,0,1989-03-31,INR,27430000000
RBI:KCI_BOP_RN(1.0),N_A,CA_COMM_BORRW,AFY,1989,1988,0,1989-03-31,USD,1894000000
RBI:KCI_BOP_RN(1.0),N_A,CA_EXT_AST,AFY,1989,1988,0,1989-03-31,INR,32100000000
RBI:KCI_BOP_RN(1.0),N_A,CA_EXT_AST,AFY,1989,1988,0,1989-03-31,USD,2216000000
RBI:KCI_BOP_RN(1.0),N_A,CA_FRG_INV,AFY,1989,1988,0,1989-03-31,INR,5170000000
RBI:KCI_BOP_RN(1.0),N_A,CA_FRG_INV,AFY,1989,1988,0,1989-03-31,USD,357000000
RBI:KCI_BOP_RN(1.0),N_A,CA_NRI_DEP,AFY,1989,1988,0,1989-03-31,INR,36360000000
RBI:KCI_BOP_RN(1.0),N_A,CA_NRI_DEP,AFY,1989,1988,0,1989-03-31,USD,2510000000
RBI:KCI_BOP_RN(1.0),N_A,CA_OTH_CAP,AFY,1989,1988,0,1989-03-31,INR,15720000000
RBI:KCI_BOP_RN(1.0),N_A,CA_OTH_CAP,AFY,1989,1988,0,1989-03-31,USD,1087000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_ACC,AFY,1989,1988,0,1989-03-31,INR,-115800000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_ACC,AFY,1989,1988,0,1989-03-31,USD,-7997000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_INVIS,AFY,1989,1988,0,1989-03-31,INR,19760000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_INVIS,AFY,1989,1988,0,1989-03-31,USD,1362000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_EXP,AFY,1989,1988,0,1989-03-31,INR,206470000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_EXP,AFY,1989,1988,0,1989-03-31,USD,14257000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_IMP,AFY,1989,1988,0,1989-03-31,INR,342020000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_IMP,AFY,1989,1988,0,1989-03-31,USD,23618000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_TRD_BAL,AFY,1989,1988,0,1989-03-31,INR,-135560000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_TRD_BAL,AFY,1989,1988,0,1989-03-31,USD,-9361000000
RBI:KCI_BOP_RN(1.0),N_A,MON_MOV,AFY,1989,1988,0,1989-03-31,INR,-980000000
RBI:KCI_BOP_RN(1.0),N_A,MON_MOV,AFY,1989,1988,0,1989-03-31,USD,-68000000
RBI:KCI_BOP_RN(1.0),N_A,NET_IMF,AFY,1989,1988,0,1989-03-31,INR,-15470000000
RBI:KCI_BOP_RN(1.0),N_A,NET_IMF,AFY,1989,1988,0,1989-03-31,USD,-1069000000
RBI:KCI_BOP_RN(1.0),N_A,OVR_BAL,AFY,1989,1988,0,1989-03-31,INR,980000000
RBI:KCI_BOP_RN(1.0),N_A,OVR_BAL,AFY,1989,1988,0,1989-03-31,USD,68000000
RBI:KCI_BOP_RN(1.0),N_A,RESERVES,AFY,1989,1988,0,1989-03-31,INR,14490000000
RBI:KCI_BOP_RN(1.0),N_A,RESERVES,AFY,1989,1988,0,1989-03-31,USD,1001000000
RBI:KCI_BOP_RN(1.0),N_A,CAP_ACC,AFY,1990,1989,0,1990-03-31,INR,116170000000
RBI:KCI_BOP_RN(1.0),N_A,CAP_ACC,AFY,1990,1989,0,1990-03-31,USD,6977000000
RBI:KCI_BOP_RN(1.0),N_A,CA_COMM_BORRW,AFY,1990,1989,0,1990-03-31,INR,29580000000
RBI:KCI_BOP_RN(1.0),N_A,CA_COMM_BORRW,AFY,1990,1989,0,1990-03-31,USD,1777000000
RBI:KCI_BOP_RN(1.0),N_A,CA_EXT_AST,AFY,1990,1989,0,1990-03-31,INR,30900000000
RBI:KCI_BOP_RN(1.0),N_A,CA_EXT_AST,AFY,1990,1989,0,1990-03-31,USD,1856000000
RBI:KCI_BOP_RN(1.0),N_A,CA_FRG_INV,AFY,1990,1989,0,1990-03-31,INR,6830000000
RBI:KCI_BOP_RN(1.0),N_A,CA_FRG_INV,AFY,1990,1989,0,1990-03-31,USD,410000000
RBI:KCI_BOP_RN(1.0),N_A,CA_NRI_DEP,AFY,1990,1989,0,1990-03-31,INR,40000000000
RBI:KCI_BOP_RN(1.0),N_A,CA_NRI_DEP,AFY,1990,1989,0,1990-03-31,USD,2403000000
RBI:KCI_BOP_RN(1.0),N_A,CA_OTH_CAP,AFY,1990,1989,0,1990-03-31,INR,8860000000
RBI:KCI_BOP_RN(1.0),N_A,CA_OTH_CAP,AFY,1990,1989,0,1990-03-31,USD,531000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_ACC,AFY,1990,1989,0,1990-03-31,INR,-113890000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_ACC,AFY,1990,1989,0,1990-03-31,USD,-6841000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_INVIS,AFY,1990,1989,0,1990-03-31,INR,10260000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_INVIS,AFY,1990,1989,0,1990-03-31,USD,615000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_EXP,AFY,1990,1989,0,1990-03-31,INR,282290000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_EXP,AFY,1990,1989,0,1990-03-31,USD,16955000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_IMP,AFY,1990,1989,0,1990-03-31,INR,406420000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_IMP,AFY,1990,1989,0,1990-03-31,USD,24411000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_TRD_BAL,AFY,1990,1989,0,1990-03-31,INR,-124130000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_TRD_BAL,AFY,1990,1989,0,1990-03-31,USD,-7456000000
RBI:KCI_BOP_RN(1.0),N_A,MON_MOV,AFY,1990,1989,0,1990-03-31,INR,-2280000000
RBI:KCI_BOP_RN(1.0),N_A,MON_MOV,AFY,1990,1989,0,1990-03-31,USD,-136000000
RBI:KCI_BOP_RN(1.0),N_A,NET_IMF,AFY,1990,1989,0,1990-03-31,INR,-14600000000
RBI:KCI_BOP_RN(1.0),N_A,NET_IMF,AFY,1990,1989,0,1990-03-31,USD,-876000000
RBI:KCI_BOP_RN(1.0),N_A,OVR_BAL,AFY,1990,1989,0,1990-03-31,INR,2280000000
RBI:KCI_BOP_RN(1.0),N_A,OVR_BAL,AFY,1990,1989,0,1990-03-31,USD,136000000
RBI:KCI_BOP_RN(1.0),N_A,RESERVES,AFY,1990,1989,0,1990-03-31,INR,12320000000
RBI:KCI_BOP_RN(1.0),N_A,RESERVES,AFY,1990,1989,0,1990-03-31,USD,740000000
RBI:KCI_BOP_RN(1.0),N_A,CAP_ACC,AFY,1991,1990,0,1991-03-31,INR,128950000000
RBI:KCI_BOP_RN(1.0),N_A,CAP_ACC,AFY,1991,1990,0,1991-03-31,USD,7188000000
RBI:KCI_BOP_RN(1.0),N_A,CA_COMM_BORRW,AFY,1991,1990,0,1991-03-31,INR,40350000000
RBI:KCI_BOP_RN(1.0),N_A,CA_COMM_BORRW,AFY,1991,1990,0,1991-03-31,USD,2248000000
RBI:KCI_BOP_RN(1.0),N_A,CA_EXT_AST,AFY,1991,1990,0,1991-03-31,INR,39660000000
RBI:KCI_BOP_RN(1.0),N_A,CA_EXT_AST,AFY,1991,1990,0,1991-03-31,USD,2210000000
RBI:KCI_BOP_RN(1.0),N_A,CA_FRG_INV,AFY,1991,1990,0,1991-03-31,INR,1830000000
RBI:KCI_BOP_RN(1.0),N_A,CA_FRG_INV,AFY,1991,1990,0,1991-03-31,USD,103000000
RBI:KCI_BOP_RN(1.0),N_A,CA_NRI_DEP,AFY,1991,1990,0,1991-03-31,INR,27570000000
RBI:KCI_BOP_RN(1.0),N_A,CA_NRI_DEP,AFY,1991,1990,0,1991-03-31,USD,1537000000
RBI:KCI_BOP_RN(1.0),N_A,CA_OTH_CAP,AFY,1991,1990,0,1991-03-31,INR,40960000000
RBI:KCI_BOP_RN(1.0),N_A,CA_OTH_CAP,AFY,1991,1990,0,1991-03-31,USD,2284000000
RBI:KCI_BOP_RN(1.0),N_A,CA_RUP_DBT_SRV,AFY,1991,1990,0,1991-03-31,INR,-21400000000
RBI:KCI_BOP_RN(1.0),N_A,CA_RUP_DBT_SRV,AFY,1991,1990,0,1991-03-31,USD,-1193000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_ACC,AFY,1991,1990,0,1991-03-31,INR,-173660000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_ACC,AFY,1991,1990,0,1991-03-31,USD,-9680000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_INVIS,AFY,1991,1990,0,1991-03-31,INR,-4330000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_INVIS,AFY,1991,1990,0,1991-03-31,USD,-242000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_EXP,AFY,1991,1990,0,1991-03-31,INR,331530000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_EXP,AFY,1991,1990,0,1991-03-31,USD,18477000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_IMP,AFY,1991,1990,0,1991-03-31,INR,500860000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_IMP,AFY,1991,1990,0,1991-03-31,USD,27915000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_TRD_BAL,AFY,1991,1990,0,1991-03-31,INR,-169330000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_TRD_BAL,AFY,1991,1990,0,1991-03-31,USD,-9438000000
RBI:KCI_BOP_RN(1.0),N_A,MON_MOV,AFY,1991,1990,0,1991-03-31,INR,44710000000
RBI:KCI_BOP_RN(1.0),N_A,MON_MOV,AFY,1991,1990,0,1991-03-31,USD,2492000000
RBI:KCI_BOP_RN(1.0),N_A,NET_IMF,AFY,1991,1990,0,1991-03-31,INR,21780000000
RBI:KCI_BOP_RN(1.0),N_A,NET_IMF,AFY,1991,1990,0,1991-03-31,USD,1214000000
RBI:KCI_BOP_RN(1.0),N_A,OVR_BAL,AFY,1991,1990,0,1991-03-31,INR,-44710000000
RBI:KCI_BOP_RN(1.0),N_A,OVR_BAL,AFY,1991,1990,0,1991-03-31,USD,-2492000000
RBI:KCI_BOP_RN(1.0),N_A,RESERVES,AFY,1991,1990,0,1991-03-31,INR,22930000000
RBI:KCI_BOP_RN(1.0),N_A,RESERVES,AFY,1991,1990,0,1991-03-31,USD,1278000000
RBI:KCI_BOP_RN(1.0),N_A,CAP_ACC,AFY,1992,1991,0,1992-03-31,INR,95090000000
RBI:KCI_BOP_RN(1.0),N_A,CAP_ACC,AFY,1992,1991,0,1992-03-31,USD,3777000000
RBI:KCI_BOP_RN(1.0),N_A,CA_COMM_BORRW,AFY,1992,1991,0,1992-03-31,INR,38060000000
RBI:KCI_BOP_RN(1.0),N_A,CA_COMM_BORRW,AFY,1992,1991,0,1992-03-31,USD,1456000000
RBI:KCI_BOP_RN(1.0),N_A,CA_EXT_AST,AFY,1992,1991,0,1992-03-31,INR,73950000000
RBI:KCI_BOP_RN(1.0),N_A,CA_EXT_AST,AFY,1992,1991,0,1992-03-31,USD,3039000000
RBI:KCI_BOP_RN(1.0),N_A,CA_FRG_INV,AFY,1992,1991,0,1992-03-31,INR,3390000000
RBI:KCI_BOP_RN(1.0),N_A,CA_FRG_INV,AFY,1992,1991,0,1992-03-31,USD,133000000
RBI:KCI_BOP_RN(1.0),N_A,CA_NRI_DEP,AFY,1992,1991,0,1992-03-31,INR,10070000000
RBI:KCI_BOP_RN(1.0),N_A,CA_NRI_DEP,AFY,1992,1991,0,1992-03-31,USD,290000000
RBI:KCI_BOP_RN(1.0),N_A,CA_OTH_CAP,AFY,1992,1991,0,1992-03-31,INR,-2560000000
RBI:KCI_BOP_RN(1.0),N_A,CA_OTH_CAP,AFY,1992,1991,0,1992-03-31,USD,101000000
RBI:KCI_BOP_RN(1.0),N_A,CA_RUP_DBT_SRV,AFY,1992,1991,0,1992-03-31,INR,-27850000000
RBI:KCI_BOP_RN(1.0),N_A,CA_RUP_DBT_SRV,AFY,1992,1991,0,1992-03-31,USD,-1240000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_ACC,AFY,1992,1991,0,1992-03-31,INR,-22350000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_ACC,AFY,1992,1991,0,1992-03-31,USD,-1178000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_INVIS,AFY,1992,1991,0,1992-03-31,INR,42590000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_INVIS,AFY,1992,1991,0,1992-03-31,USD,1620000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_EXP,AFY,1992,1991,0,1992-03-31,INR,449230000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_EXP,AFY,1992,1991,0,1992-03-31,USD,18266000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_IMP,AFY,1992,1991,0,1992-03-31,INR,514170000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_IMP,AFY,1992,1991,0,1992-03-31,USD,21064000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_TRD_BAL,AFY,1992,1991,0,1992-03-31,INR,-64940000000
RBI:KCI_BOP_RN(1.0),N_A,CURR_MERCH_TRD_BAL,AFY,1992,1991,0,1992-03-31,USD,-2798000000
RBI:KCI_BOP_RN(1.0),N_A,MON_MOV,AFY,1992,1991,0,1992-03-31,INR,-72740000000
RBI:KCI_BOP_RN(1.0),N_A,MON_MOV,AFY,1992,1991,0,1992-03-31,USD,-2599000000
RBI:KCI_BOP_RN(1.0),N_A,NET_IMF,AFY,1992,1991,0,1992-03-31,INR,20770000000
RBI:KCI_BOP_RN(1.0),N_A,NET_IMF,AFY,1992,1991,0,1992-03-31,USD,785000000
RBI:KCI_BOP_RN(1.0),N_A,OVR_BAL,AFY,1992,1991,0,1992-03-31,INR,72740000000
RBI:KCI_BOP_RN(1.0),N_A,OVR_BAL,AFY,1992,1991,0,1992-03-31,USD,2599000000
RBI:KCI_BOP_RN(1.0),N_A,RESERVES,AFY,1992,1991,0,1992-03-31,INR,-93510000000
