DATAFLOW,AUDST,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2026,2025,0,2026-02-28,INR,25587.4738095238
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2026,2025,0,2026-01-31,INR,25652.9625
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2026,2025,0,2025-12-31,INR,25997.7386363636
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2026,2025,0,2025-11-30,INR,25894.8342105263
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2026,2025,0,2025-10-31,INR,25494.0833333333
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2026,2025,0,2025-09-30,INR,24942.675
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2026,2025,0,2025-08-31,INR,24698.1026315789
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2026,2025,0,2025-07-31,INR,25164.8913043478
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2026,2025,0,2025-06-30,INR,25003.3976190476
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2026,2025,0,2025-05-31,INR,24676.4404761905
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2026,2025,0,2025-04-30,INR,23531.6631578947
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2025,2024,0,2025-03-31,INR,22851.5368421053
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2025,2024,0,2025-02-28,INR,23060.9375
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2025,2024,0,2025-01-31,INR,23366.3956521739
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2025,2024,0,2024-12-31,INR,24231.019047619
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2025,2024,0,2024-11-30,INR,23969.8473684211
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2025,2024,0,2024-10-31,INR,24781.6704545455
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2025,2024,0,2024-09-30,INR,25470.0904761905
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2025,2024,0,2024-08-31,INR,24613.0738095238
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2025,2024,0,2024-07-31,INR,24495.15227
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2025,2024,0,2024-06-30,INR,23364.04474
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2025,2024,0,2024-05-31,INR,22485.23182
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2025,2024,0,2024-04-30,INR,22443.4575
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2024,2023,0,2024-03-31,INR,22187.31053
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2024,2023,0,2024-02-29,INR,21947.27857
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2024,2023,0,2024-01-31,INR,21631.893182
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2024,2023,0,2023-12-31,INR,21165.99
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2024,2023,0,2023-11-30,INR,19599.169048
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2024,2023,0,2023-10-31,INR,19481.665
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2024,2023,0,2023-09-30,INR,19786.045
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2024,2023,0,2023-08-31,INR,19438.286364
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2024,2023,0,2023-07-31,INR,19586.0
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2024,2023,0,2023-06-30,INR,18726.77
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2024,2023,0,2023-05-31,INR,18307.05
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2024,2023,0,2023-04-30,INR,17710.68
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2023,2022,0,2023-03-31,INR,17225.64
RBI:AVG_NFTY_RN(1.0),N_A,M,AVG,2023,2022,0,2023-02-28,INR,17739.22
