DATAFLOW,AUDST,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2026,2025,0,2025-07-01,RO,4.39
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2026,2025,0,2025-06-01,RO,4.27
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2026,2025,0,2025-05-01,RO,4.19
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2026,2025,0,2025-04-01,RO,3.99
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2025-03-31,RO,3.95
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2025-03-01,RO,3.87
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2025-02-01,RO,3.92
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2025-01-01,RO,3.98
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2024-12-01,RO,4.08
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2024-11-01,RO,4.0
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2024-10-01,RO,4.11
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2024-09-01,RO,4.21
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2024-08-01,RO,4.06
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2024-07-01,RO,4.03
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2024-06-01,RO,3.79
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2024-05-01,RO,3.56
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2025,2024,0,2024-04-01,RO,3.73
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2024-03-31,RO,3.51
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2024-03-01,RO,3.71
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2024-02-01,RO,3.67
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2024-01-01,RO,3.68
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2023-12-01,RO,3.63
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2023-11-01,RO,3.37
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2023-10-01,RO,3.46
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2023-09-01,RO,3.6
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2023-08-01,RO,3.54
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2023-07-01,RO,3.57
RBI:BK_VAL_RAT_BSE_RN(1.0),N_A,M,AVG,2024,2023,0,2023-06-01,RO,3.32
