DATAFLOW,AUDST,BSE_IND,FREQ,REPYEAREND,REPYEARSTART,TYPE_INDICES,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BSE_IND_D_RN(1.0),N_A,BSE_BANK_INDEX,D,2011,2010,N_A,0,2011-01-31,IX,47837.22
RBI:BSE_IND_D_RN(1.0),N_A,BSE_HUNDRED_INDEX,D,2011,2010,N_A,0,2011-01-31,IX,22097.32
RBI:BSE_IND_D_RN(1.0),N_A,BSE_SENSEX_THIRTY,D,2011,2010,N_A,0,2011-01-31,IX,72987.54
RBI:BSE_IND_D_RN(1.0),N_A,BSE_SENSEX_THIRTY,D,2011,2010,N_A,0,2011-01-28,IX,74063.15999999999
RBI:BSE_IND_D_RN(1.0),N_A,BSE_HUNDRED_INDEX,D,2011,2010,N_A,0,2011-01-28,IX,22393.01
RBI:BSE_IND_D_RN(1.0),N_A,BSE_BANK_INDEX,D,2011,2010,N_A,0,2011-01-28,IX,48152.03
RBI:BSE_IND_D_RN(1.0),N_A,BSE_BANK_INDEX,D,2011,2010,N_A,0,2011-01-27,IX,49080.35
RBI:BSE_IND_D_RN(1.0),N_A,BSE_HUNDRED_INDEX,D,2011,2010,N_A,0,2011-01-27,IX,22874.71
RBI:BSE_IND_D_RN(1.0),N_A,BSE_SENSEX_THIRTY,D,2011,2010,N_A,0,2011-01-27,IX,75513.86
RBI:BSE_IND_D_RN(1.0),N_A,BSE_HUNDRED_INDEX,D,2011,2010,N_A,0,2011-01-25,IX,23173.89
RBI:BSE_IND_D_RN(1.0),N_A,BSE_SENSEX_THIRTY,D,2011,2010,N_A,0,2011-01-25,IX,76487.3
RBI:BSE_IND_D_RN(1.0),N_A,BSE_BANK_INDEX,D,2011,2010,N_A,0,2011-01-25,IX,50134.189999999995
RBI:BSE_IND_D_RN(1.0),N_A,BSE_SENSEX_THIRTY,D,2011,2010,N_A,0,2011-01-24,IX,76439.81
RBI:BSE_IND_D_RN(1.0),N_A,BSE_HUNDRED_INDEX,D,2011,2010,N_A,0,2011-01-24,IX,23154.3
