DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:TURNO_NSE_RN(1.0),N_A,M,2026,2025,0,2026-01-31,INR,23911970800000
RBI:TURNO_NSE_RN(1.0),N_A,M,2026,2025,0,2025-12-31,INR,20789227900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2026,2025,0,2025-11-30,INR,19869528000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2026,2025,0,2025-10-31,INR,20735386600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2026,2025,0,2025-09-30,INR,21628746800000
RBI:TURNO_NSE_RN(1.0),N_A,M,2026,2025,0,2025-08-31,INR,17773619400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2026,2025,0,2025-07-31,INR,21848946700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2026,2025,0,2025-06-30,INR,23822475200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2026,2025,0,2025-05-31,INR,23325678800000
RBI:TURNO_NSE_RN(1.0),N_A,M,2026,2025,0,2025-04-30,INR,19062572900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2025,2024,0,2025-03-31,INR,18751601500000
RBI:TURNO_NSE_RN(1.0),N_A,M,2025,2024,0,2025-02-28,INR,18332261800000
RBI:TURNO_NSE_RN(1.0),N_A,M,2025,2024,0,2025-01-31,INR,22118509500000
RBI:TURNO_NSE_RN(1.0),N_A,M,2025,2024,0,2024-12-31,INR,21858297400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2025,2024,0,2024-11-30,INR,19162097300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2025,2024,0,2024-10-31,INR,23530983400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2025,2024,0,2024-09-30,INR,25593760400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2025,2024,0,2024-08-31,INR,26381570000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2025,2024,0,2024-07-31,INR,30615770000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2025,2024,0,2024-06-30,INR,29052260000000
