DATAFLOW,AUDST,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2026,2025,0,2026-02-28,INR,1825336800000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2026,2025,0,2026-01-31,INR,1810584200000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2026,2025,0,2025-12-31,INR,1554272000000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2026,2025,0,2025-11-30,INR,1576226700000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2026,2025,0,2025-10-31,INR,1609102700000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2026,2025,0,2025-09-30,INR,1703526700000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2026,2025,0,2025-08-31,INR,1742660500000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2026,2025,0,2025-07-01,INR,1653535200000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2026,2025,0,2025-06-01,INR,1668210200000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2026,2025,0,2025-05-01,INR,1582575000000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2026,2025,0,2025-04-01,INR,1129104800000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2025,2024,0,2025-03-01,INR,1070372800000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2025,2024,0,2025-02-01,INR,994871600000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2025,2024,0,2025-01-01,INR,1312377400000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2025,2024,0,2024-12-01,INR,1398776700000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2025,2024,0,2024-11-01,INR,1202649500000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2025,2024,0,2024-10-01,INR,1614629200000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2025,2024,0,2024-09-01,INR,1806817500000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2025,2024,0,2024-08-01,INR,2093480100000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2025,2024,0,2024-07-01,INR,2351481200000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2025,2024,0,2024-06-01,INR,2270015700000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2025,2024,0,2024-05-01,INR,1695922400000
RBI:TRN_OVR_BSE_RN(1.0),N_A,M,TOTAL_TO,2025,2024,0,2024-04-01,INR,1527674300000
