DATAFLOW,AUDST,CURRENCY,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2026,2025,0,2026-01-31,INR,122.7279
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2026,2025,0,2026-01-31,INR,0.5788
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2026,2025,0,2026-01-31,INR,106.5785
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2026,2025,0,2026-01-31,INR,90.7991
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2026,2025,0,2025-12-31,INR,120.514
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2026,2025,0,2025-12-31,INR,0.5781
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2026,2025,0,2025-12-31,INR,105.4631
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2026,2025,0,2025-12-31,INR,90.0913
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2026,2025,0,2025-11-30,INR,102.7129
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2026,2025,0,2025-11-30,INR,88.8256
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2026,2025,0,2025-11-30,INR,0.5723
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2026,2025,0,2025-11-30,INR,116.72
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2026,2025,0,2025-10-31,INR,118.1072
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2026,2025,0,2025-10-31,INR,88.4164
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2026,2025,0,2025-10-31,INR,102.954
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2026,2025,0,2025-10-31,INR,0.5836
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2026,2025,0,2025-09-30,INR,103.6437
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2026,2025,0,2025-09-30,INR,88.3226
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2026,2025,0,2025-09-30,INR,119.2773
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2026,2025,0,2025-09-30,INR,0.5973
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2026,2025,0,2025-08-31,INR,117.5731
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2026,2025,0,2025-08-31,INR,0.5929
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2026,2025,0,2025-08-31,INR,101.7976
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2026,2025,0,2025-08-31,INR,87.5184
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2026,2025,0,2025-07-31,INR,100.64
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2026,2025,0,2025-07-31,INR,0.5865
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2026,2025,0,2025-07-31,INR,116.3466
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2026,2025,0,2025-07-31,INR,86.1146
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2026,2025,0,2025-06-30,INR,98.9201
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2026,2025,0,2025-06-30,INR,85.9034
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2026,2025,0,2025-06-30,INR,116.426
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2026,2025,0,2025-06-30,INR,0.5947
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2026,2025,0,2025-05-31,INR,96.1497
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2026,2025,0,2025-05-31,INR,85.1897
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2026,2025,0,2025-05-31,INR,0.5892
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2026,2025,0,2025-05-31,INR,113.9189
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2026,2025,0,2025-04-30,INR,85.5612
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2026,2025,0,2025-04-30,INR,112.695
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2026,2025,0,2025-04-30,INR,96.2296
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2026,2025,0,2025-04-30,INR,0.5945
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2025,2024,0,2025-03-31,INR,0.5808
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2025,2024,0,2025-03-31,INR,86.6377
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2025,2024,0,2025-03-31,INR,93.5058
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2025,2024,0,2025-03-31,INR,111.7308
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2025,2024,0,2025-02-28,INR,108.9841
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2025,2024,0,2025-02-28,INR,87.0547
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2025,2024,0,2025-02-28,INR,0.573
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2025,2024,0,2025-02-28,INR,90.5784
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2025,2024,0,2025-01-31,INR,0.5509
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2025,2024,0,2025-01-31,INR,86.2657
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2025,2024,0,2025-01-31,INR,89.2996
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2025,2024,0,2025-01-31,INR,106.6133
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2025,2024,0,2024-12-31,INR,84.9862
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2025,2024,0,2024-12-31,INR,89.0267
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2025,2024,0,2024-12-31,INR,0.5536
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2025,2024,0,2024-12-31,INR,107.4811
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2025,2024,0,2024-11-30,INR,0.5494
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2025,2024,0,2024-11-30,INR,89.6349
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2025,2024,0,2024-11-30,INR,84.3644
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2025,2024,0,2024-11-30,INR,107.5732
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2025,2024,0,2024-10-31,INR,109.6486
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2025,2024,0,2024-10-31,INR,91.5743
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2025,2024,0,2024-10-31,INR,0.5609
