DATAFLOW,AUDST,CURRENCY,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2026,2025,0,2025-12-31,INR,98.557872427984
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2026,2025,0,2025-12-31,INR,58.253456790123
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2026,2025,0,2025-12-31,INR,87.166105761317
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2026,2025,0,2025-12-31,INR,114.956205761317
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2025,2024,0,2024-12-31,INR,106.9303
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2025,2024,0,2024-12-31,INR,55.3252
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2025,2024,0,2024-12-31,INR,90.5274
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2025,2024,0,2024-12-31,INR,83.6693
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2025,2024,0,2024-12-31,INR,111.0638
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2024,2023,0,2023-12-31,INR,89.3187
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2024,2023,0,2023-12-31,INR,58.916
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2024,2023,0,2023-12-31,INR,110.1757
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2024,2023,0,2023-12-31,INR,102.7005
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2024,2023,0,2023-12-31,INR,82.5993
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2023,2022,0,2022-12-31,INR,78.604491
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2023,2022,0,2022-12-31,INR,82.717529
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2023,2022,0,2022-12-31,INR,105.093746
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2023,2022,0,2022-12-31,INR,97.078063
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2023,2022,0,2022-12-31,INR,60.042914
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2022,2021,0,2021-12-31,INR,67.37944
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2022,2021,0,2021-12-31,INR,105.32573
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2022,2021,0,2021-12-31,INR,73.91801
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2022,2021,0,2021-12-31,INR,87.47597
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2022,2021,0,2021-12-31,INR,101.69036
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2021,2020,0,2020-12-31,INR,74.09957
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2021,2020,0,2020-12-31,INR,103.23997
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2021,2020,0,2020-12-31,INR,69.44794
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2021,2020,0,2020-12-31,INR,84.56835
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2021,2020,0,2020-12-31,INR,95.09194
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2020,2019,0,2019-12-31,INR,70.42034
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2020,2019,0,2019-12-31,INR,89.93512
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2020,2019,0,2019-12-31,INR,78.8466
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2020,2019,0,2019-12-31,INR,97.29472
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2020,2019,0,2019-12-31,INR,64.61611
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2019,2018,0,2018-12-31,INR,68.3895
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2019,2018,0,2018-12-31,INR,96.78316
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2019,2018,0,2018-12-31,INR,80.714
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2019,2018,0,2018-12-31,INR,61.8963
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2019,2018,0,2018-12-31,INR,91.2189
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2018,2017,0,2017-12-31,INR,58.0652
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2018,2017,0,2017-12-31,INR,83.876
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2018,2017,0,2017-12-31,INR,90.29663
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2018,2017,0,2017-12-31,INR,73.5104
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2018,2017,0,2017-12-31,INR,65.1216
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2017,2016,0,2016-12-31,INR,67.1953
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2017,2016,0,2016-12-31,INR,74.3754
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2017,2016,0,2016-12-31,INR,61.934
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2017,2016,0,2016-12-31,INR,93.40124
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2017,2016,0,2016-12-31,INR,91.1248
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2016,2015,0,2015-12-31,INR,98.1323
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2016,2015,0,2015-12-31,INR,64.1519
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2016,2015,0,2015-12-31,INR,53.0212
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2016,2015,0,2015-12-31,INR,71.2435
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2016,2015,0,2015-12-31,INR,89.7461
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2015,2014,0,2014-12-31,INR,100.544
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2015,2014,0,2014-12-31,INR,81.1161
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2015,2014,0,2014-12-31,INR,92.7309
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2015,2014,0,2014-12-31,INR,61.0295
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2015,2014,0,2014-12-31,INR,57.7919
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2014,2013,0,2013-12-31,INR,89.0613
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2014,2013,0,2013-12-31,INR,60.0777
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2014,2013,0,2013-12-31,INR,91.7716
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2014,2013,0,2013-12-31,INR,58.5978
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2014,2013,0,2013-12-31,INR,77.8974
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,2013,2012,0,2012-12-31,INR,53.4376
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2013,2012,0,2012-12-31,INR,81.7876
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2013,2012,0,2012-12-31,INR,84.6955
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,2013,2012,0,2012-12-31,INR,68.6729
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2013,2012,0,2012-12-31,INR,67.0289
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,2012,2011,0,2011-12-31,INR,73.6424
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,2012,2011,0,2011-12-31,INR,58.6244
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,2012,2011,0,2011-12-31,INR,74.7736
