DATAFLOW,AUDST,CURRENCY,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2025,2024,0,2025-03-31,INR,183.085
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2025,2024,0,2025-03-31,INR,218.6181
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2025,2024,0,2025-03-31,INR,112.28020000000001
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2025,2024,0,2025-03-31,INR,225.3456
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2025,2024,0,2025-03-31,INR,170.15699999999998
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2024,2023,0,2024-03-31,INR,441.1466
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2024,2023,0,2024-03-31,INR,332.3272
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2024,2023,0,2024-03-31,INR,224.92800000000003
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2024,2023,0,2024-03-31,INR,360.04
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2024,2023,0,2024-03-31,INR,418.6806
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2023,2022,0,2023-03-31,INR,198.69435
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2023,2022,0,2023-03-31,INR,217.018202
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2023,2022,0,2023-03-31,INR,121.20727600000001
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2023,2022,0,2023-03-31,INR,173.29019399999999
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2023,2022,0,2023-03-31,INR,162.58035
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2022,2021,0,2022-03-31,INR,128.56887
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2022,2021,0,2022-03-31,INR,171.25214
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2022,2021,0,2022-03-31,INR,210.16367000000002
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2022,2021,0,2022-03-31,INR,201.36314
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2022,2021,0,2022-03-31,INR,150.31099
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2021,2020,0,2021-03-31,INR,197.98950000000002
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2021,2020,0,2021-03-31,INR,208.72438
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2021,2020,0,2021-03-31,INR,172.68252
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2021,2020,0,2021-03-31,INR,147.72974
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2021,2020,0,2021-03-31,INR,136.39656
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2020,2019,0,2020-03-31,INR,134.89419
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2020,2019,0,2020-03-31,INR,183.23469999999998
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2020,2019,0,2020-03-31,INR,200.51372
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2020,2019,0,2020-03-31,INR,161.8493
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2020,2019,0,2020-03-31,INR,146.28288
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2019,2018,0,2019-03-31,INR,194.06340999999998
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2019,2018,0,2019-03-31,INR,158.66039999999998
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2019,2018,0,2019-03-31,INR,139.0942
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2019,2018,0,2019-03-31,INR,182.2621
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2019,2018,0,2019-03-31,INR,125.5668
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2018,2017,0,2018-03-31,INR,129.499
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2018,2017,0,2018-03-31,INR,119.7222
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2018,2017,0,2018-03-31,INR,177.7975
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2018,2017,0,2018-03-31,INR,185.70541
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2018,2017,0,2018-03-31,INR,156.06
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2017,2016,0,2017-03-31,INR,142.8563
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2017,2016,0,2017-03-31,INR,168.5694
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2017,2016,0,2017-03-31,INR,119.995
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2017,2016,0,2017-03-31,INR,131.9106
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2017,2016,0,2017-03-31,INR,180.59192000000002
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2016,2015,0,2016-03-31,INR,113.6534
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2016,2015,0,2016-03-31,INR,131.8014
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2016,2015,0,2016-03-31,INR,193.8142
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2016,2015,0,2016-03-31,INR,184.79619
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2016,2015,0,2016-03-31,INR,147.38490000000002
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2015,2014,0,2015-03-31,INR,145.0313
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2015,2014,0,2015-03-31,INR,191.0322
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2015,2014,0,2015-03-31,INR,107.9366
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2015,2014,0,2015-03-31,INR,123.7344
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2015,2014,0,2015-03-31,INR,177.1386
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2014,2013,0,2014-03-31,INR,120.6017
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2014,2013,0,2014-03-31,INR,163.75099999999998
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2014,2013,0,2014-03-31,INR,119.23259999999999
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2014,2013,0,2014-03-31,INR,185.0392
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2014,2013,0,2014-03-31,INR,196.1556
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2013,2012,0,2013-03-31,INR,123.613
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2013,2012,0,2013-03-31,INR,168.29219999999998
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2013,2012,0,2013-03-31,INR,139.6131
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2013,2012,0,2013-03-31,INR,108.7992
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2013,2012,0,2013-03-31,INR,164.5026
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2012,2011,0,2012-03-31,INR,134.2489
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2012,2011,0,2012-03-31,INR,99.0829
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2012,2011,0,2012-03-31,INR,158.18869999999998
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2012,2011,0,2012-03-31,INR,123.17339999999999
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2012,2011,0,2012-03-31,INR,154.56439999999998
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2011,2010,0,2011-03-31,INR,123.4675
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2011,2010,0,2011-03-31,INR,140.5158
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2011,2010,0,2011-03-31,INR,90.20760000000001
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2011,2010,0,2011-03-31,INR,142.7975
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2011,2010,0,2011-03-31,INR,107.28569999999999
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2010,2009,0,2010-03-31,INR,142.2668
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2010,2009,0,2010-03-31,INR,92.5783
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2010,2009,0,2010-03-31,INR,99.56960000000001
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2010,2009,0,2010-03-31,INR,143.7998
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2010,2009,0,2010-03-31,INR,127.64259999999999
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2009,2008,0,2009-03-31,INR,96.9383
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2009,2008,0,2009-03-31,INR,151.1739
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2009,2008,0,2009-03-31,INR,132.5294
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2009,2008,0,2009-03-31,INR,147.45859000000002
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2009,2008,0,2009-03-31,INR,98.05760000000001
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2008,2007,0,2008-03-31,INR,120.1562
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2008,2007,0,2008-03-31,INR,80.2457
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2008,2007,0,2008-03-31,INR,75.4147
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2008,2007,0,2008-03-31,INR,128.37597
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2008,2007,0,2008-03-31,INR,160.35500000000002
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2007,2006,0,2007-03-31,INR,88.8445
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2007,2006,0,2007-03-31,INR,116.2027
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2007,2006,0,2007-03-31,INR,133.0827
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2007,2006,0,2007-03-31,INR,171.23680000000002
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2007,2006,0,2007-03-31,INR,75.7645
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2006,2005,0,2006-03-31,INR,77.1626
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2006,2005,0,2006-03-31,INR,88.8785
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2006,2005,0,2006-03-31,INR,128.7464
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2006,2005,0,2006-03-31,INR,108.09989999999999
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2006,2005,0,2006-03-31,INR,156.8435
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2005,2004,0,2005-03-31,INR,88.6865
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2005,2004,0,2005-03-31,INR,113.1386
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2005,2004,0,2005-03-31,INR,164.9769
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2005,2004,0,2005-03-31,INR,82.6121
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2005,2004,0,2005-03-31,INR,133.0269
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2004,2003,0,2004-03-31,INR,89.3966
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2004,2003,0,2004-03-31,INR,157.4202
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2004,2003,0,2004-03-31,INR,82.3802
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2004,2003,0,2004-03-31,INR,129.95217
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2004,2003,0,2004-03-31,INR,107.16210000000001
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2003,2002,0,2003-03-31,INR,129.3807
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2003,2002,0,2003-03-31,INR,99.5826
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2003,2002,0,2003-03-31,INR,95.9003
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2003,2002,0,2003-03-31,INR,79.6288
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2003,2002,0,2003-03-31,INR,149.7418
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2002,2001,0,2002-03-31,INR,84.8249
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2002,2001,0,2002-03-31,INR,74.9853
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2002,2001,0,2002-03-31,INR,121.0596
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2002,2001,0,2002-03-31,INR,96.49189999999999
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2002,2001,0,2002-03-31,INR,137.90519999999998
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2001,2000,0,2001-03-31,INR,118.34280000000001
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2001,2000,0,2001-03-31,INR,134.131
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2001,2000,0,2001-03-31,INR,92.3244
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2001,2000,0,2001-03-31,INR,78.839
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2001,2000,0,2001-03-31,INR,82.49449999999999
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,2000,1999,0,2000-03-31,INR,86.9377
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,2000,1999,0,2000-03-31,INR,80.54310000000001
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,2000,1999,0,2000-03-31,INR,117.684
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,2000,1999,0,2000-03-31,INR,86.58840000000001
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,2000,1999,0,2000-03-31,INR,139.361
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,1999,1998,0,1999-03-31,INR,68.46039999999999
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,1999,1998,0,1999-03-31,INR,84.5056
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,1999,1998,0,1999-03-31,INR,47.465500000000006
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,1999,1998,0,1999-03-31,INR,115.12610000000001
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,1999,1998,0,1999-03-31,INR,137.9093
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,1998,1997,0,1998-03-31,INR,42.2963
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,1998,1997,0,1998-03-31,INR,76.65979999999999
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,1998,1997,0,1998-03-31,INR,103.4412
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,1998,1997,0,1998-03-31,INR,60.0803
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,1998,1997,0,1998-03-31,INR,127.1878
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,1997,1996,0,1997-03-31,INR,44.3107
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,1997,1996,0,1997-03-31,INR,71.41489999999999
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,1997,1996,0,1997-03-31,INR,60.5342
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,1997,1996,0,1997-03-31,INR,100.689
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,1997,1996,0,1997-03-31,INR,115.0584
RBI:FOREX_RATE_AFY_RN(1.0),N_A,SDR,AFY,N_A,1996,1995,0,1996-03-31,INR,100.64009999999999
RBI:FOREX_RATE_AFY_RN(1.0),N_A,JPY,AFY,N_A,1996,1995,0,1996-03-31,INR,67.14
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,1996,1995,0,1996-03-31,INR,46.7031
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,1996,1995,0,1996-03-31,INR,104.7826
RBI:FOREX_RATE_AFY_RN(1.0),N_A,USD,AFY,N_A,1996,1995,0,1996-03-31,INR,67.7998
RBI:FOREX_RATE_AFY_RN(1.0),N_A,EUR,AFY,N_A,1995,1994,0,1995-03-31,INR,42.5617
RBI:FOREX_RATE_AFY_RN(1.0),N_A,GBP,AFY,N_A,1995,1994,0,1995-03-31,INR,99.3861
