DATAFLOW,AUDST,CURRENCY,FREQ,RANGE_RT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FOREX_RATE_RN(1.0),N_A,EUR,M,N_A,2016,2015,0,2015-07-31,INR,5.876200000000001
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2016,2015,0,2015-07-31,INR,342.01
RBI:FOREX_RATE_RN(1.0),N_A,JPY,M,N_A,2016,2015,0,2015-07-31,INR,467.62
RBI:FOREX_RATE_RN(1.0),N_A,USD,M,N_A,2016,2015,0,2015-07-31,INR,240.742
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2016,2015,0,2015-06-30,INR,342.01
RBI:FOREX_RATE_RN(1.0),N_A,JPY,M,N_A,2016,2015,0,2015-06-30,INR,467.62
RBI:FOREX_RATE_RN(1.0),N_A,USD,M,N_A,2016,2015,0,2015-06-30,INR,240.742
RBI:FOREX_RATE_RN(1.0),N_A,EUR,M,N_A,2016,2015,0,2015-06-30,INR,5.876200000000001
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2016,2015,0,2015-04-30,INR,342.01
RBI:FOREX_RATE_RN(1.0),N_A,USD,M,N_A,2016,2015,0,2015-04-30,INR,240.742
RBI:FOREX_RATE_RN(1.0),N_A,JPY,M,N_A,2016,2015,0,2015-04-30,INR,364.88750000000005
RBI:FOREX_RATE_RN(1.0),N_A,EUR,M,N_A,2016,2015,0,2015-04-30,INR,5.876200000000001
RBI:FOREX_RATE_RN(1.0),N_A,EUR,M,N_A,2015,2014,0,2015-02-28,INR,142.1681
RBI:FOREX_RATE_RN(1.0),N_A,USD,M,N_A,2015,2014,0,2015-02-28,INR,240.742
RBI:FOREX_RATE_RN(1.0),N_A,JPY,M,N_A,2015,2014,0,2015-02-28,INR,364.88750000000005
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2015,2014,0,2015-02-28,INR,171.0050003
RBI:FOREX_RATE_RN(1.0),N_A,JPY,M,N_A,2015,2014,0,2014-12-31,INR,364.88750000000005
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2015,2014,0,2014-12-31,INR,342.01
