DATAFLOW,AUDST,CURRENCY,FREQ,RANGE_RT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2027,2026,0,2026-04-30,INR,218.3251
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2027,2026,0,2026-04-30,INR,257.236
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2027,2026,0,2026-04-30,INR,187.8003
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2027,2026,0,2026-04-30,INR,251.18720000000002
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2027,2026,0,2026-04-30,INR,117.5
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2026,2025,0,2026-03-31,INR,117.25
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2026,2025,0,2026-03-31,INR,253.411
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2026,2025,0,2026-03-31,INR,186.1057
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2026,2025,0,2026-03-31,INR,248.2446
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2026,2025,0,2026-03-31,INR,214.74900000000002
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2026,2025,0,2026-02-28,INR,116.98
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2026,2025,0,2026-02-28,INR,182.04000000000002
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2026,2025,0,2026-02-28,INR,215.118
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2026,2025,0,2026-02-28,INR,250.339
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2026,2025,0,2026-02-28,INR,247.5367
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2026,2025,0,2026-01-31,INR,249.968
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2026,2025,0,2026-01-31,INR,181.85739999999998
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2026,2025,0,2026-01-31,INR,215.22230000000002
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2026,2025,0,2026-01-31,INR,116.69999999999999
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2026,2025,0,2026-01-31,INR,248.225
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2026,2025,0,2025-12-31,INR,240.2388
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2026,2025,0,2025-12-31,INR,246.893
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2026,2025,0,2025-12-31,INR,210.9975
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2026,2025,0,2025-12-31,INR,115.66999999999999
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2026,2025,0,2025-12-31,INR,180.5669
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2026,2025,0,2025-11-30,INR,241.29500000000002
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2026,2025,0,2025-11-30,INR,234.1676
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2026,2025,0,2025-11-30,INR,205.6119
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2026,2025,0,2025-11-30,INR,114.1
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2026,2025,0,2025-11-30,INR,177.9115
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2026,2025,0,2025-10-31,INR,176.4965
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2026,2025,0,2025-10-31,INR,241.17899999999997
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2026,2025,0,2025-10-31,INR,206.15390000000002
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2026,2025,0,2025-10-31,INR,117.56
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2026,2025,0,2025-10-31,INR,236.1798
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2026,2025,0,2025-09-30,INR,119.32
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2026,2025,0,2025-09-30,INR,242.131
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2026,2025,0,2025-09-30,INR,237.7613
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2026,2025,0,2025-09-30,INR,176.5443
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2026,2025,0,2025-09-30,INR,207.1419
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2026,2025,0,2025-08-31,INR,202.365
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2026,2025,0,2025-08-31,INR,234.15890000000002
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2026,2025,0,2025-08-31,INR,238.411
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2026,2025,0,2025-08-31,INR,174.8255
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2026,2025,0,2025-08-31,INR,117.85
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2026,2025,0,2025-07-31,INR,201.2928
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2026,2025,0,2025-07-31,INR,232.7201
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2026,2025,0,2025-07-31,INR,172.94299999999998
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2026,2025,0,2025-07-31,INR,235.872
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2026,2025,0,2025-07-31,INR,117.31
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2026,2025,0,2025-06-30,INR,234.35399999999998
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2026,2025,0,2025-06-30,INR,197.8607
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2026,2025,0,2025-06-30,INR,118.88
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2026,2025,0,2025-06-30,INR,232.77929999999998
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2026,2025,0,2025-06-30,INR,172.2433
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2026,2025,0,2025-05-31,INR,227.3544
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2026,2025,0,2025-05-31,INR,229.93900000000002
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2026,2025,0,2025-05-31,INR,191.42680000000001
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2026,2025,0,2025-05-31,INR,117.22
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2026,2025,0,2025-05-31,INR,169.54410000000001
RBI:FOREXRT_HL_RN(1.0),N_A,USD,M,N_A,2026,2025,0,2025-04-30,INR,171.67059999999998
RBI:FOREXRT_HL_RN(1.0),N_A,SDR,M,N_A,2026,2025,0,2025-04-30,INR,230.102
RBI:FOREXRT_HL_RN(1.0),N_A,EUR,M,N_A,2026,2025,0,2025-04-30,INR,190.4169
RBI:FOREXRT_HL_RN(1.0),N_A,GBP,M,N_A,2026,2025,0,2025-04-30,INR,224.15460000000002
RBI:FOREXRT_HL_RN(1.0),N_A,JPY,M,N_A,2026,2025,0,2025-04-30,INR,117.75
