DATAFLOW,AUDST,CURRENCY,FREQ,RANGE_RT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2024,2023,0,2024-01-31,INR,116.01
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2024,2023,0,2024-01-31,INR,211.3786
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2024,2023,0,2024-01-31,INR,166.2697
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2024,2023,0,2024-01-31,INR,182.80349999999999
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2024,2023,0,2023-12-31,INR,211.0737
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2024,2023,0,2023-12-31,INR,166.6959
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2024,2023,0,2023-12-31,INR,181.56799999999998
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2024,2023,0,2023-12-31,INR,113.08000000000001
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2024,2023,0,2023-11-30,INR,179.6836
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2024,2023,0,2023-11-30,INR,166.5198
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2024,2023,0,2023-11-30,INR,207.0379
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2024,2023,0,2023-11-30,INR,111.58
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2024,2023,0,2023-10-31,INR,175.553
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2024,2023,0,2023-10-31,INR,166.4264
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2024,2023,0,2023-10-31,INR,202.9487
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2024,2023,0,2023-10-31,INR,111.17
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2024,2023,0,2023-09-30,INR,207.082
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2024,2023,0,2023-09-30,INR,178.1279
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2024,2023,0,2023-09-30,INR,112.84
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2024,2023,0,2023-09-30,INR,165.9201
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2024,2023,0,2023-08-31,INR,210.178
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2024,2023,0,2023-08-31,INR,114.63
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2024,2023,0,2023-08-31,INR,165.4096
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2024,2023,0,2023-08-31,INR,180.2302
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2024,2023,0,2023-07-31,INR,211.4206
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2024,2023,0,2023-07-31,INR,181.43880000000001
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2024,2023,0,2023-07-31,INR,116.07
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2024,2023,0,2023-07-31,INR,164.48610000000002
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2024,2023,0,2023-04-30,INR,164.03930000000003
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2024,2023,0,2023-04-30,INR,122.85
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2024,2023,0,2023-04-30,INR,203.84730000000002
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2024,2023,0,2023-04-30,INR,179.5719
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2023,2022,0,2022-12-31,INR,173.0453
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2023,2022,0,2022-12-31,INR,200.3976
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2023,2022,0,2022-12-31,INR,122.21000000000001
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2023,2022,0,2022-12-31,INR,164.0695
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2023,2022,0,2022-11-30,INR,114.91
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2023,2022,0,2022-11-30,INR,191.4348
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2023,2022,0,2022-11-30,INR,166.0316
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2023,2022,0,2022-11-30,INR,163.5318
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2023,2022,0,2022-10-31,INR,161.926
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2023,2022,0,2022-10-31,INR,111.91
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2023,2022,0,2022-10-31,INR,164.6309
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2023,2022,0,2022-10-31,INR,185.9477
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2023,2022,0,2022-09-30,INR,160.9645
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2023,2022,0,2022-09-30,INR,179.2962
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2023,2022,0,2022-09-30,INR,112.36
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2023,2022,0,2022-09-30,INR,158.7115
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2023,2022,0,2022-08-31,INR,117.58
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2023,2022,0,2022-08-31,INR,190.63830000000002
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2023,2022,0,2022-08-31,INR,161.4692
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2023,2022,0,2022-08-31,INR,158.6988
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2023,2022,0,2022-07-31,INR,117.25999999999999
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2023,2022,0,2022-07-31,INR,158.9629
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2023,2022,0,2022-07-31,INR,191.46460000000002
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2023,2022,0,2022-07-31,INR,162.5651
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2023,2022,0,2022-06-30,INR,191.64659999999998
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2023,2022,0,2022-06-30,INR,117.35
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2023,2022,0,2022-06-30,INR,156.4975
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2023,2022,0,2022-06-30,INR,164.82150000000001
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2023,2022,0,2022-05-31,INR,163.8512
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2023,2022,0,2022-05-31,INR,153.7886
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2023,2022,0,2022-05-31,INR,192.56529999999998
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2023,2022,0,2022-05-31,INR,119.86
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2023,2022,0,2022-04-30,INR,195.2852
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2023,2022,0,2022-04-30,INR,152.1265
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2023,2022,0,2022-04-30,INR,120.22999999999999
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2023,2022,0,2022-04-30,INR,164.00459999999998
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2022,2021,0,2022-03-31,INR,128.5
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2022,2021,0,2022-03-31,INR,201.1245
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2022,2021,0,2022-03-31,INR,152.635
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2022,2021,0,2022-03-31,INR,168.14049999999997
RBI:FOREX_RT_REF_RN(1.0),N_A,USD,M,N_A,2022,2021,0,2022-02-28,INR,150.1408
RBI:FOREX_RT_REF_RN(1.0),N_A,EUR,M,N_A,2022,2021,0,2022-02-28,INR,169.5067
RBI:FOREX_RT_REF_RN(1.0),N_A,GBP,M,N_A,2022,2021,0,2022-02-28,INR,202.6261
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2022,2021,0,2022-02-28,INR,130.35
RBI:FOREX_RT_REF_RN(1.0),N_A,JPY,M,N_A,2022,2021,0,2022-01-31,INR,129.64
