DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYPE_FW_CASH_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_3M,0,2011-01-31,INR,77.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_6M,0,2011-01-31,INR,146.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_12M,0,2011-01-31,INR,266.5
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,REF_RT,0,2011-01-31,INR,45.95
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_SPOT,0,2011-01-31,INR,0.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_1M,0,2011-01-31,INR,25.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_3M,0,2011-01-28,INR,78.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_6M,0,2011-01-28,INR,145.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_12M,0,2011-01-28,INR,266.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_1M,0,2011-01-28,INR,24.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,REF_RT,0,2011-01-28,INR,45.74
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_SPOT,0,2011-01-28,INR,3.18
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_SPOT,0,2011-01-27,INR,3.25
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,REF_RT,0,2011-01-27,INR,45.57
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_6M,0,2011-01-27,INR,142.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_1M,0,2011-01-27,INR,22.5
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_12M,0,2011-01-27,INR,262.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_3M,0,2011-01-27,INR,75.0
