DATAFLOW,AUDST,AVG_MONTH_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FW_PRE_RN(1.0),N_A,1_MON,M,2026,2025,0,2026-02-27,INR,1.830338235198
RBI:FW_PRE_RN(1.0),N_A,3_MON,M,2026,2025,0,2026-02-27,INR,2.519636499801
RBI:FW_PRE_RN(1.0),N_A,6_MON,M,2026,2025,0,2026-02-27,INR,2.472138402832
RBI:FW_PRE_RN(1.0),N_A,3_MON,M,2026,2025,0,2026-01-30,INR,3.01499615
RBI:FW_PRE_RN(1.0),N_A,1_MON,M,2026,2025,0,2026-01-30,INR,2.80987325
RBI:FW_PRE_RN(1.0),N_A,6_MON,M,2026,2025,0,2026-01-30,INR,2.8273429
RBI:FW_PRE_RN(1.0),N_A,6_MON,M,2026,2025,0,2025-12-31,INR,2.883918478261
RBI:FW_PRE_RN(1.0),N_A,1_MON,M,2026,2025,0,2025-12-31,INR,3.866847043478
RBI:FW_PRE_RN(1.0),N_A,3_MON,M,2026,2025,0,2025-12-31,INR,3.026395565217
RBI:FW_PRE_RN(1.0),N_A,3_MON,M,2026,2025,0,2025-11-30,INR,2.014555421053
RBI:FW_PRE_RN(1.0),N_A,6_MON,M,2026,2025,0,2025-11-30,INR,2.12589
RBI:FW_PRE_RN(1.0),N_A,1_MON,M,2026,2025,0,2025-11-30,INR,1.891179473684
RBI:FW_PRE_RN(1.0),N_A,6_MON,M,2026,2025,0,2025-10-31,INR,2.195070142857
RBI:FW_PRE_RN(1.0),N_A,1_MON,M,2026,2025,0,2025-10-31,INR,1.951465904762
RBI:FW_PRE_RN(1.0),N_A,3_MON,M,2026,2025,0,2025-10-31,INR,2.063628238095
RBI:FW_PRE_RN(1.0),N_A,3_MON,M,2026,2025,0,2025-09-30,INR,1.998890714286
RBI:FW_PRE_RN(1.0),N_A,1_MON,M,2026,2025,0,2025-09-30,INR,1.901715952381
RBI:FW_PRE_RN(1.0),N_A,6_MON,M,2026,2025,0,2025-09-30,INR,2.11439
RBI:FW_PRE_RN(1.0),N_A,3_MON,M,2026,2025,0,2025-08-31,INR,1.797039368421
RBI:FW_PRE_RN(1.0),N_A,1_MON,M,2026,2025,0,2025-08-31,INR,1.717698631579
RBI:FW_PRE_RN(1.0),N_A,6_MON,M,2026,2025,0,2025-08-31,INR,1.923268578947
RBI:FW_PRE_RN(1.0),N_A,1_MON,M,2026,2025,0,2025-07-31,INR,1.607672913
RBI:FW_PRE_RN(1.0),N_A,6_MON,M,2026,2025,0,2025-07-31,INR,1.784023565
RBI:FW_PRE_RN(1.0),N_A,3_MON,M,2026,2025,0,2025-07-31,INR,1.653518
RBI:FW_PRE_RN(1.0),N_A,1_MON,M,2026,2025,0,2025-06-30,INR,1.523594571
RBI:FW_PRE_RN(1.0),N_A,3_MON,M,2026,2025,0,2025-06-30,INR,1.594323524
RBI:FW_PRE_RN(1.0),N_A,6_MON,M,2026,2025,0,2025-06-30,INR,1.67188481
RBI:FW_PRE_RN(1.0),N_A,3_MON,M,2026,2025,0,2025-05-31,INR,2.123122
RBI:FW_PRE_RN(1.0),N_A,6_MON,M,2026,2025,0,2025-05-31,INR,2.0266544
RBI:FW_PRE_RN(1.0),N_A,1_MON,M,2026,2025,0,2025-05-31,INR,2.31112165
RBI:FW_PRE_RN(1.0),N_A,1_MON,M,2026,2025,0,2025-04-30,INR,2.773647
RBI:FW_PRE_RN(1.0),N_A,3_MON,M,2026,2025,0,2025-04-30,INR,2.404996944
RBI:FW_PRE_RN(1.0),N_A,6_MON,M,2026,2025,0,2025-04-30,INR,2.227000444
RBI:FW_PRE_RN(1.0),N_A,1_MON,M,2025,2024,0,2025-03-31,INR,3.312522421
RBI:FW_PRE_RN(1.0),N_A,3_MON,M,2025,2024,0,2025-03-31,INR,2.583907053
RBI:FW_PRE_RN(1.0),N_A,6_MON,M,2025,2024,0,2025-03-31,INR,2.287028947
RBI:FW_PRE_RN(1.0),N_A,3_MON,M,2025,2024,0,2025-02-28,INR,2.657303111
RBI:FW_PRE_RN(1.0),N_A,1_MON,M,2025,2024,0,2025-02-28,INR,2.691863944
RBI:FW_PRE_RN(1.0),N_A,6_MON,M,2025,2024,0,2025-02-28,INR,2.293539222
RBI:FW_PRE_RN(1.0),N_A,3_MON,M,2025,2024,0,2025-01-31,INR,3.042827783
RBI:FW_PRE_RN(1.0),N_A,6_MON,M,2025,2024,0,2025-01-31,INR,2.680058652
RBI:FW_PRE_RN(1.0),N_A,1_MON,M,2025,2024,0,2025-01-31,INR,3.236549391
RBI:FW_PRE_RN(1.0),N_A,1_MON,M,2025,2024,0,2024-12-31,INR,2.721118524
RBI:FW_PRE_RN(1.0),N_A,6_MON,M,2025,2024,0,2024-12-31,INR,2.312139143
RBI:FW_PRE_RN(1.0),N_A,3_MON,M,2025,2024,0,2024-12-31,INR,2.363222952
RBI:FW_PRE_RN(1.0),N_A,1_MON,M,2025,2024,0,2024-11-30,INR,1.643600444
RBI:FW_PRE_RN(1.0),N_A,6_MON,M,2025,2024,0,2024-11-30,INR,2.012425056
RBI:FW_PRE_RN(1.0),N_A,3_MON,M,2025,2024,0,2024-11-30,INR,1.762159944
RBI:FW_PRE_RN(1.0),N_A,3_MON,M,2025,2024,0,2024-10-31,INR,1.777106048
RBI:FW_PRE_RN(1.0),N_A,6_MON,M,2025,2024,0,2024-10-31,INR,2.023026714
