DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYPE_RATE_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_HG_RT,0,2011-01-31,INR,45.895
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_CLS_RT,0,2011-01-31,INR,45.905
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,RBI_REF_RT,0,2011-01-31,INR,45.95
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_OPN_RT,0,2011-01-31,INR,45.985
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_LW_RT,0,2011-01-31,INR,46.005
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_CLS_RT,0,2011-01-28,INR,45.755
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_OPN_RT,0,2011-01-28,INR,45.645
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,RBI_REF_RT,0,2011-01-28,INR,45.74
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_HG_RT,0,2011-01-28,INR,45.645
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_LW_RT,0,2011-01-28,INR,45.845
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_OPN_RT,0,2011-01-27,INR,45.575
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,RBI_REF_RT,0,2011-01-27,INR,45.57
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_LW_RT,0,2011-01-27,INR,45.675
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_HG_RT,0,2011-01-27,INR,45.535
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_CLS_RT,0,2011-01-27,INR,45.565
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,RBI_REF_RT,0,2011-01-25,INR,45.53
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_HG_RT,0,2011-01-25,INR,45.465
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_OPN_RT,0,2011-01-25,INR,45.515
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_LW_RT,0,2011-01-25,INR,45.775
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_CLS_RT,0,2011-01-25,INR,45.715
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,RBI_REF_RT,0,2011-01-24,INR,45.58
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_HG_RT,0,2011-01-24,INR,45.535
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_CLS_RT,0,2011-01-24,INR,45.685
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_OPN_RT,0,2011-01-24,INR,45.605
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_LW_RT,0,2011-01-24,INR,45.685
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_HG_RT,0,2011-01-21,INR,45.575
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_LW_RT,0,2011-01-21,INR,45.775
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,RBI_REF_RT,0,2011-01-21,INR,45.7
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_CLS_RT,0,2011-01-21,INR,45.625
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_OPN_RT,0,2011-01-21,INR,45.625
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_CLS_RT,0,2011-01-20,INR,45.525
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_LW_RT,0,2011-01-20,INR,45.715
