DATAFLOW,AUDST,DAILY_AVG_TO_RN,FREQ,RANGE_RT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INT_RATE_RN(1.0),N_A,STATE_GOVT_SEC,A,N_A,2025,2024,0,2025-03-31,PT,7.166666666666667
RBI:INT_RATE_RN(1.0),N_A,CGOVT_SEC,A,N_A,2025,2024,0,2025-03-31,PT,6.97
RBI:INT_RATE_RN(1.0),N_A,CGOVT_SEC,A,N_A,2024,2023,0,2024-03-31,PT,7.233333333333334
RBI:INT_RATE_RN(1.0),N_A,STATE_GOVT_SEC,A,N_A,2024,2023,0,2024-03-31,PT,7.496666666666666
RBI:INT_RATE_RN(1.0),N_A,CGOVT_SEC,A,N_A,2023,2022,0,2023-03-31,PT,6.81
RBI:INT_RATE_RN(1.0),N_A,STATE_GOVT_SEC,A,N_A,2023,2022,0,2023-03-31,PT,7.580000000000001
RBI:INT_RATE_RN(1.0),N_A,CGOVT_SEC,A,N_A,2022,2021,0,2022-03-31,PT,5.920000000000001
RBI:INT_RATE_RN(1.0),N_A,STATE_GOVT_SEC,A,N_A,2022,2021,0,2022-03-31,PT,6.383333333333334
RBI:INT_RATE_RN(1.0),N_A,STATE_GOVT_SEC,A,N_A,2021,2020,0,2021-03-31,PT,6.553333333333334
RBI:INT_RATE_RN(1.0),N_A,CGOVT_SEC,A,N_A,2021,2020,0,2021-03-31,PT,5.593333333333334
RBI:INT_RATE_RN(1.0),N_A,CGOVT_SEC,A,N_A,2020,2019,0,2020-03-31,PT,6.7346
RBI:INT_RATE_RN(1.0),N_A,STATE_GOVT_SEC,A,N_A,2020,2019,0,2020-03-31,PT,7.082233333333334
RBI:INT_RATE_RN(1.0),N_A,CGOVT_SEC,A,N_A,2019,2018,0,2019-03-31,PT,7.59
RBI:INT_RATE_RN(1.0),N_A,STATE_GOVT_SEC,A,N_A,2019,2018,0,2019-03-31,PT,8.103333333333333
