DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TRANC_TYP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2026,2025,PUR,0,2025-07-31,INR,0.0
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2026,2025,SALE,0,2025-07-31,INR,0.0
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2026,2025,PUR,0,2025-06-30,INR,100000000
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2026,2025,NET_SL_PUR,0,2025-06-30,INR,100000000
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2026,2025,SALE,0,2025-06-30,INR,0.0
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2026,2025,NET_SL_PUR,0,2025-05-31,INR,1192025550000
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2026,2025,SALE,0,2025-05-31,INR,0.0
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2026,2025,PUR,0,2025-05-31,INR,1192025550000
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2026,2025,NET_SL_PUR,0,2025-04-30,INR,1200000000000
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2026,2025,PUR,0,2025-04-30,INR,1200000000000
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2026,2025,SALE,0,2025-04-30,INR,0.0
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2025,2024,PUR,0,2025-03-31,INR,1445506600000
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2025,2024,NET_SL_PUR,0,2025-03-31,INR,1445506600000
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2025,2024,SALE,0,2025-03-31,INR,0.0
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2025,2024,NET_SL_PUR,0,2025-02-28,INR,800000000000
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2025,2024,SALE,0,2025-02-28,INR,0.0
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2025,2024,PUR,0,2025-02-28,INR,800000000000
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2025,2024,SALE,0,2025-01-31,INR,0.0
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2025,2024,PUR,0,2025-01-31,INR,588350000000
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2025,2024,NET_SL_PUR,0,2025-01-31,INR,588350000000
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2025,2024,NET_SL_PUR,0,2024-12-31,INR,200000000
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2025,2024,PUR,0,2024-12-31,INR,200000000
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2025,2024,SALE,0,2024-12-31,INR,0.0
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2025,2024,PUR,0,2024-11-30,INR,0.0
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2025,2024,SALE,0,2024-11-30,INR,0.0
RBI:OPN_MKT_OP_RN(1.0),N_A,M,2025,2024,PUR,0,2024-10-31,INR,0.0
