DATAFLOW,AUDST,FREQ,MKT_TRANSC_RN,REPYEAREND,REPYEARSTART,TRANC_TYP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2026,2025,N_A,0,2025-07-31,INR,46029995330279
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2026,2025,N_A,0,2025-07-31,INR,8141555640000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2026,2025,N_A,0,2025-07-31,INR,792341670000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2026,2025,N_A,0,2025-07-31,INR,553068600000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2026,2025,N_A,0,2025-07-31,INR,1809141600000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2026,2025,N_A,0,2025-07-31,INR,463731330000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2026,2025,N_A,0,2025-06-30,INR,781395290000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2026,2025,N_A,0,2025-06-30,INR,46679915560108
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2026,2025,N_A,0,2025-06-30,INR,614974520000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2026,2025,N_A,0,2025-06-30,INR,6988695080000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2026,2025,N_A,0,2025-06-30,INR,584832000000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2026,2025,N_A,0,2025-06-30,INR,1981201810000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2026,2025,N_A,0,2025-05-31,INR,492246600000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2026,2025,N_A,0,2025-05-31,INR,788769510000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2026,2025,N_A,0,2025-05-31,INR,48413538120331
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2026,2025,N_A,0,2025-05-31,INR,6632051690000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2026,2025,N_A,0,2025-05-31,INR,671124120000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2026,2025,N_A,0,2025-05-31,INR,1952140230000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2026,2025,N_A,0,2025-04-30,INR,4845008200000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2026,2025,N_A,0,2025-04-30,INR,44754631270399
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2026,2025,N_A,0,2025-04-30,INR,658545490000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2026,2025,N_A,0,2025-04-30,INR,510827900000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2026,2025,N_A,0,2025-04-30,INR,964616340000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2026,2025,N_A,0,2025-04-30,INR,2133989730000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2025,2024,N_A,0,2025-03-31,INR,1048279350000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2025,2024,N_A,0,2025-03-31,INR,2914906760000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2025,2024,N_A,0,2025-03-31,INR,1425393400000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2025,2024,N_A,0,2025-03-31,INR,32520708290293
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2025,2024,N_A,0,2025-03-31,INR,3920179030000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2025,2024,N_A,0,2025-03-31,INR,441234010000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2025,2024,N_A,0,2025-02-28,INR,2124129950000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2025,2024,N_A,0,2025-02-28,INR,1042754740000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2025,2024,N_A,0,2025-02-28,INR,484071400000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2025,2024,N_A,0,2025-02-28,INR,34789756530140
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2025,2024,N_A,0,2025-02-28,INR,597303810000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2025,2024,N_A,0,2025-02-28,INR,3570210220000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2025,2024,N_A,0,2025-01-31,INR,771026440000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2025,2024,N_A,0,2025-01-31,INR,760799070000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2025,2024,N_A,0,2025-01-31,INR,779368590000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2025,2024,N_A,0,2025-01-31,INR,2311194100000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2025,2024,N_A,0,2025-01-31,INR,45439398270094
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2025,2024,N_A,0,2025-01-31,INR,5052321990000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2025,2024,N_A,0,2024-12-31,INR,361999950000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2025,2024,N_A,0,2024-12-31,INR,5463042010000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2025,2024,N_A,0,2024-12-31,INR,1972018560000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2025,2024,N_A,0,2024-12-31,INR,537148420000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2025,2024,N_A,0,2024-12-31,INR,38015504780441
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2025,2024,N_A,0,2024-12-31,INR,1072870190000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2025,2024,N_A,0,2024-11-30,INR,1864041970000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2025,2024,N_A,0,2024-11-30,INR,675081930000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2025,2024,N_A,0,2024-11-30,INR,302541280000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2025,2024,N_A,0,2024-11-30,INR,4648338470000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2025,2024,N_A,0,2024-11-30,INR,28953404430069
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2025,2024,N_A,0,2024-11-30,INR,886418760000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2025,2024,N_A,0,2024-10-31,INR,3314483710000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2025,2024,N_A,0,2024-10-31,INR,1652815310000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2025,2024,N_A,0,2024-10-31,INR,39361540740238
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2025,2024,N_A,0,2024-10-31,INR,1001256150000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2025,2024,N_A,0,2024-10-31,INR,6683452920000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2025,2024,N_A,0,2024-10-31,INR,660412250000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2025,2024,N_A,0,2024-09-30,INR,5616506940000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2025,2024,N_A,0,2024-09-30,INR,973353430000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2025,2024,N_A,0,2024-09-30,INR,37357701570220
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2025,2024,N_A,0,2024-09-30,INR,603222460000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2025,2024,N_A,0,2024-09-30,INR,1966761390000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2025,2024,N_A,0,2024-09-30,INR,390185500000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2025,2024,N_A,0,2024-08-31,INR,1478982990000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2025,2024,N_A,0,2024-08-31,INR,6438797170000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2025,2024,N_A,0,2024-08-31,INR,1180703710000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2025,2024,N_A,0,2024-08-31,INR,3336532400000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2025,2024,N_A,0,2024-08-31,INR,676845700000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2025,2024,N_A,0,2024-08-31,INR,37151177410366
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2025,2024,N_A,0,2024-07-31,INR,5053403320000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2025,2024,N_A,0,2024-07-31,INR,669213970000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2025,2024,N_A,0,2024-07-31,INR,1401561480000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2025,2024,N_A,0,2024-07-31,INR,6211128220000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2025,2024,N_A,0,2024-07-31,INR,2982627870000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2025,2024,N_A,0,2024-07-31,INR,39840368110118
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2025,2024,N_A,0,2024-06-30,INR,1251478910000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2025,2024,N_A,0,2024-06-30,INR,2435328480000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2025,2024,N_A,0,2024-06-30,INR,35565880500007
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2025,2024,N_A,0,2024-06-30,INR,5882784240000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2025,2024,N_A,0,2024-06-30,INR,701964840000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2025,2024,N_A,0,2024-06-30,INR,4388772230000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2025,2024,N_A,0,2024-05-31,INR,886392140000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2025,2024,N_A,0,2024-05-31,INR,6145045470000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2025,2024,N_A,0,2024-05-31,INR,2236002340000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2025,2024,N_A,0,2024-05-31,INR,6154481240000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2025,2024,N_A,0,2024-05-31,INR,3032086760000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2025,2024,N_A,0,2024-05-31,INR,33870932720000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2025,2024,N_A,0,2024-04-30,INR,790911620000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2025,2024,N_A,0,2024-04-30,INR,5762612950000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2025,2024,N_A,0,2024-04-30,INR,3584114840000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2025,2024,N_A,0,2024-04-30,INR,4945746960000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2025,2024,N_A,0,2024-04-30,INR,29623384230052
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2025,2024,N_A,0,2024-04-30,INR,1387586490000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2024,2023,N_A,0,2024-03-31,INR,5553886420000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2024,2023,N_A,0,2024-03-31,INR,2906469920000
