DATAFLOW,AUDST,DAILY_AVG_TO_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2026-03-27,INR,83010180000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2026-03-27,INR,2928107880018
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2026-03-27,INR,185141000000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2026-03-27,INR,18849993799.7208
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2026-03-27,INR,180599100000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2026-03-27,INR,622371040000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2026-03-20,INR,177176280000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2026-03-20,INR,159803180000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2026-03-20,INR,264030240000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2026-03-20,INR,2685490480036
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2026-03-20,INR,574462920000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2026-03-20,INR,556725289837.139
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2026-03-13,INR,717986800000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2026-03-13,INR,747968177558.32
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2026-03-13,INR,146686520000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2026-03-13,INR,268812720000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2026-03-13,INR,4411206780002
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2026-03-13,INR,216003680000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2026-03-06,INR,173707800000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2026-03-06,INR,5944585400048
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2026-03-06,INR,267560580000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2026-03-06,INR,192223600000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2026-03-06,INR,435423800000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2026-03-06,INR,582154491568.8
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2026-02-27,INR,4707483660006
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2026-02-27,INR,126838145761.94
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2026-02-27,INR,179344980000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2026-02-27,INR,541048280000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2026-02-27,INR,251450020000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2026-02-27,INR,226833140000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2026-02-20,INR,73456829282.5596
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2026-02-20,INR,387448040000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2026-02-20,INR,213412000000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2026-02-20,INR,219489760000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2026-02-20,INR,4147064520002
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2026-02-20,INR,116938400000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2026-02-13,INR,278815900000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2026-02-13,INR,156412620000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2026-02-13,INR,487644460000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2026-02-13,INR,6257011700040
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2026-02-13,INR,122468265991.241
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2026-02-13,INR,447898120000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2026-02-06,INR,6892082980230
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2026-02-06,INR,189861700000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2026-02-06,INR,280425060000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2026-02-06,INR,417380760000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2026-02-06,INR,188222880000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2026-02-06,INR,578349000000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2026-01-30,INR,103892620000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2026-01-30,INR,255229820000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2026-01-30,INR,274209600000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2026-01-30,INR,573401375178.919
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2026-01-30,INR,3833371460022
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2026-01-30,INR,100749600000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2026-01-23,INR,202785040000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2026-01-23,INR,186829500000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2026-01-23,INR,230310460000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2026-01-23,INR,679866624821.081
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2026-01-23,INR,135759620000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2026-01-23,INR,5415522020030
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2026-01-16,INR,127048260000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2026-01-16,INR,206735200000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2026-01-16,INR,201304280000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2026-01-16,INR,184491960000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2026-01-16,INR,677607200000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2026-01-16,INR,4530349360080
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2026-01-09,INR,372577860000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2026-01-09,INR,5370170280158
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2026-01-09,INR,158843440000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2026-01-09,INR,207963040000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2026-01-09,INR,158207120000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2026-01-09,INR,609343467268.88
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2026-01-02,INR,4028922420240
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2026-01-02,INR,509057659751.62
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2026-01-02,INR,159810400000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2026-01-02,INR,228515640000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2026-01-02,INR,253899520000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2026-01-02,INR,239055520000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2025-12-26,INR,186359200000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2025-12-26,INR,171346400000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2025-12-26,INR,57784644330.2601
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2025-12-26,INR,4035992380040
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2025-12-26,INR,266139440000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2025-12-26,INR,194947080000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2025-12-19,INR,214446500000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2025-12-19,INR,178614140000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2025-12-19,INR,566432200000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2025-12-19,INR,359476660000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2025-12-19,INR,353663720000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2025-12-19,INR,4195349440158
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2025-12-12,INR,394682620000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2025-12-12,INR,124043360000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2025-12-12,INR,6836847600250
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2025-12-12,INR,308782600000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2025-12-12,INR,180804860000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2025-12-12,INR,507272000000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2025-12-05,INR,175705900000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2025-12-05,INR,31308200000.0001
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2025-12-05,INR,177003660000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2025-12-05,INR,169551200000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2025-12-05,INR,405628760000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2025-12-05,INR,5573089380088
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2025-11-28,INR,5702682920106
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2025-11-28,INR,138334340000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2025-11-28,INR,199200060000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2025-11-28,INR,148142380000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2025-11-28,INR,289213020000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2025-11-28,INR,27092399999.9999
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2025-11-21,INR,4873502280064
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2025-11-21,INR,131726880000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2025-11-21,INR,21521800000.0001
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2025-11-21,INR,289744000000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2025-11-21,INR,140042720000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2025-11-21,INR,161033500000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2025-11-14,INR,303654160000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2025-11-14,INR,168307520000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2025-11-14,INR,263358820000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2025-11-14,INR,186473400000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2025-11-14,INR,6260688020048
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2025-11-14,INR,156794360000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2025-11-07,INR,74299560000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2025-11-07,INR,135200600000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2025-11-07,INR,186721100000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2025-11-07,INR,201904780000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2025-11-07,INR,4415211100080
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2025-11-07,INR,249521300000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2025-10-31,INR,30473800000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2025-10-31,INR,4283657080140
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2025-10-31,INR,360193400000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2025-10-31,INR,216726800000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2025-10-31,INR,161890640000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2025-10-31,INR,140762060000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2025-10-24,INR,158772020000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2025-10-24,INR,66438800000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2025-10-24,INR,106300000000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2025-10-24,INR,19066000000.0001
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2025-10-24,INR,153740100000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2025-10-24,INR,2909349040144
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2025-10-17,INR,235522820000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2025-10-17,INR,185918720000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2025-10-17,INR,55287599999.9999
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2025-10-17,INR,7170398440126
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2025-10-17,INR,355032600000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2025-10-17,INR,190420480000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2025-10-10,INR,6812512200064
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2025-10-10,INR,338416740000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2025-10-10,INR,20512400000.0001
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2025-10-10,INR,369556580000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2025-10-10,INR,251650260000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2025-10-10,INR,145362120000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2025-10-03,INR,6156897940004
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2025-10-03,INR,335870980000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2025-10-03,INR,174554100000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2025-10-03,INR,388312320000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2025-10-03,INR,22447000000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2025-10-03,INR,197620180000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2025-09-26,INR,223119120000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2025-09-26,INR,80945000000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2025-09-26,INR,6567991040026
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2025-09-26,INR,80928999999.9999
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2025-09-26,INR,173137800000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2025-09-26,INR,397589900000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2025-09-19,INR,227176600000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2025-09-19,INR,119022800000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2025-09-19,INR,464962600000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2025-09-19,INR,19182600000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2025-09-19,INR,249590600000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2025-09-19,INR,4607558580076
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2025-09-12,INR,94639160000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2025-09-12,INR,314861320000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2025-09-12,INR,101424020000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2025-09-12,INR,5186764360000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2025-09-12,INR,208361820000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2025-09-12,INR,45574200000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2025-09-05,INR,41260440000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2025-09-05,INR,279064840000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2025-09-05,INR,18280000000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2025-09-05,INR,120678380000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2025-09-05,INR,304020280000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2025-09-05,INR,4128743960032
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2025-08-29,INR,173969580000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_364_DAY,M,2026,2025,0,2025-08-29,INR,86008000000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2025-08-29,INR,47857200000
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_91_DAY,M,2026,2025,0,2025-08-29,INR,175232620000
RBI:GSEC_TO_RN(1.0),N_A,OR_STATE_GOVT_SEC,M,2026,2025,0,2025-08-29,INR,281453260000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2025-08-29,INR,4489750800100
RBI:GSEC_TO_RN(1.0),N_A,TR_BILL_182_DAY,M,2026,2025,0,2025-08-22,INR,185790700000
RBI:GSEC_TO_RN(1.0),N_A,RBI,M,2026,2025,0,2025-08-22,INR,23815200000
RBI:GSEC_TO_RN(1.0),N_A,OR_GOVT_SEC,M,2026,2025,0,2025-08-22,INR,4999466760060
