DATAFLOW,AUDST,FREQ,MAT_PER_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2026,2025,0,2026-03-31,PT,216.927625908734
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2026,2025,0,2026-02-28,PT,206.65187453562498
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2026,2025,0,2026-01-31,PT,207.91427823152506
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2026,2025,0,2025-12-31,PT,205.115966543956
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2026,2025,0,2025-11-30,PT,203.59070135177203
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2026,2025,0,2025-10-31,PT,203.588228233275
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2026,2025,0,2025-09-30,PT,203.23744300712502
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2026,2025,0,2025-08-31,PT,205.250697354773
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2026,2025,0,2025-07-31,PT,198.45398434012802
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2026,2025,0,2025-06-30,PT,198.06421708215197
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2026,2025,0,2025-05-31,PT,191.62542412293095
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2026,2025,0,2025-04-30,PT,194.285037148174
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2025,2024,0,2025-03-31,PT,201.603143229377
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2025,2024,0,2025-02-28,PT,206.306468891345
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2025,2024,0,2025-01-31,PT,205.18901381917493
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2025,2024,0,2024-12-31,PT,206.46067278846294
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2025,2024,0,2024-11-30,PT,206.724208724667
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2025,2024,0,2024-10-31,PT,205.93443352386902
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2025,2024,0,2024-09-30,PT,204.0754554579139
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2025,2024,0,2024-08-31,PT,207.34195799999998
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2025,2024,0,2024-07-31,PT,208.70740000000006
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2025,2024,0,2024-06-30,PT,211.10590000000005
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2025,2024,0,2024-05-31,PT,212.43279999999996
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2025,2024,0,2024-04-30,PT,216.97478200000006
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2024,2023,0,2024-03-31,PT,212.84514
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2024,2023,0,2024-02-29,PT,213.30646400000006
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2024,2023,0,2024-01-31,PT,215.97626200000002
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2024,2023,0,2023-12-31,PT,218.46928999999997
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2024,2023,0,2023-11-30,PT,221.618289
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2024,2023,0,2023-10-31,PT,223.47846100000004
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2024,2023,0,2023-09-30,PT,219.015533
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2024,2023,0,2023-08-31,PT,217.04071
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2024,2023,0,2023-07-31,PT,217.40806199999994
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2024,2023,0,2023-06-30,PT,215.77554200000003
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2024,2023,0,2023-05-31,PT,212.27421900000002
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2024,2023,0,2023-04-30,PT,215.70314599999998
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2023,2022,0,2023-03-31,PT,219.7234
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2023,2022,0,2023-02-28,PT,222.87619999999998
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2023,2022,0,2023-01-31,PT,221.5143
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2023,2022,0,2022-12-31,PT,220.5163
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2023,2022,0,2022-11-30,PT,219.51140000000004
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2023,2022,0,2022-10-31,PT,223.71447000000003
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2023,2022,0,2022-09-30,PT,221.90381000000002
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2023,2022,0,2022-08-31,PT,218.90923
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2023,2022,0,2022-07-31,PT,221.35215000000005
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2023,2022,0,2022-06-30,PT,223.67627
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2023,2022,0,2022-05-31,PT,223.05888000000002
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2023,2022,0,2022-04-30,PT,212.29926
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2022,2021,0,2022-03-31,PT,206.10683999999995
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2022,2021,0,2022-02-28,PT,202.04702999999998
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2022,2021,0,2022-01-31,PT,203.76867999999996
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2022,2021,0,2021-12-31,PT,197.75759
RBI:YIELD_GOV_SEC_RN(1.0),N_A,M,TERM_MAT,2022,2021,0,2021-11-30,PT,193.28033999999997
