DATAFLOW,AUDST,DAILY_AVG_TO_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_182_DAY,W,2026,2025,0,2026-03-27,INR,49684030000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_91_DAY,W,2026,2025,0,2026-03-27,INR,106008220000
RBI:AVG_TURNOVER_RN(1.0),N_A,MKT_REPO,W,2026,2025,0,2026-03-27,INR,14876574400000
RBI:AVG_TURNOVER_RN(1.0),N_A,STATE_GOVT_SEC,W,2026,2025,0,2026-03-27,INR,314927610000
RBI:AVG_TURNOVER_RN(1.0),N_A,CALL_MONEY,W,2026,2025,0,2026-03-27,INR,677776500000
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC,W,2026,2025,0,2026-03-27,INR,1795200500000
RBI:AVG_TURNOVER_RN(1.0),N_A,FOREX,W,2026,2025,0,2026-03-27,INR,412770000000
RBI:AVG_TURNOVER_RN(1.0),N_A,TRI_REPO,W,2026,2025,0,2026-03-27,INR,19411540500000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_364_DAY,W,2026,2025,0,2026-03-27,INR,125317070000
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC_RBI,W,2026,2025,0,2026-03-27,INR,9424996800
RBI:AVG_TURNOVER_RN(1.0),N_A,CORPO_REPO,W,2026,2025,0,2026-03-27,INR,525497000000
RBI:AVG_TURNOVER_RN(1.0),N_A,TERM_MONEY,W,2026,2025,0,2026-03-27,INR,21362000000
RBI:AVG_TURNOVER_RN(1.0),N_A,NOTICE_MONEY,W,2026,2025,0,2026-03-27,INR,56711000000
RBI:AVG_TURNOVER_RN(1.0),N_A,CORPO_REPO,W,2026,2025,0,2026-03-20,INR,261134500000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_182_DAY,W,2026,2025,0,2026-03-20,INR,44294070000
RBI:AVG_TURNOVER_RN(1.0),N_A,MKT_REPO,W,2026,2025,0,2026-03-20,INR,7549182000000
RBI:AVG_TURNOVER_RN(1.0),N_A,TRI_REPO,W,2026,2025,0,2026-03-20,INR,9767964500000
RBI:AVG_TURNOVER_RN(1.0),N_A,CALL_MONEY,W,2026,2025,0,2026-03-20,INR,442380650000
RBI:AVG_TURNOVER_RN(1.0),N_A,NOTICE_MONEY,W,2026,2025,0,2026-03-20,INR,12321250000
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC,W,2026,2025,0,2026-03-20,INR,677767370500
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_91_DAY,W,2026,2025,0,2026-03-20,INR,39870800000
RBI:AVG_TURNOVER_RN(1.0),N_A,TERM_MONEY,W,2026,2025,0,2026-03-20,INR,13482500000
RBI:AVG_TURNOVER_RN(1.0),N_A,GOVT_SEC_RBI,W,2026,2025,0,2026-03-20,INR,139181322500
RBI:AVG_TURNOVER_RN(1.0),N_A,FOREX,W,2026,2025,0,2026-03-20,INR,156124000000
RBI:AVG_TURNOVER_RN(1.0),N_A,TR_BILL_364_DAY,W,2026,2025,0,2026-03-20,INR,64507560000
RBI:AVG_TURNOVER_RN(1.0),N_A,STATE_GOVT_SEC,W,2026,2025,0,2026-03-20,INR,140597290000
