DATAFLOW,AUDST,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CERTI_DEPO_RN(1.0),N_A,F,MIN_RATE,2026,2025,0,2026-03-31,INR,5.2456
RBI:CERTI_DEPO_RN(1.0),N_A,F,TOT_AMT_OUST,2026,2025,0,2026-03-31,INR,6926805630000
RBI:CERTI_DEPO_RN(1.0),N_A,F,ISSUED_FORTNIGHT,2026,2025,0,2026-03-31,INR,1072116372000
RBI:CERTI_DEPO_RN(1.0),N_A,F,MAX_RATE,2026,2025,0,2026-03-31,INR,8.1547
RBI:CERTI_DEPO_RN(1.0),N_A,F,MIN_RATE,2026,2025,0,2026-03-15,INR,5.2456
RBI:CERTI_DEPO_RN(1.0),N_A,F,MAX_RATE,2026,2025,0,2026-03-15,INR,7.5573
RBI:CERTI_DEPO_RN(1.0),N_A,F,TOT_AMT_OUST,2026,2025,0,2026-03-15,INR,6793914074090
RBI:CERTI_DEPO_RN(1.0),N_A,F,ISSUED_FORTNIGHT,2026,2025,0,2026-03-15,INR,1076133565240
RBI:CERTI_DEPO_RN(1.0),N_A,F,TOT_AMT_OUST,2026,2025,0,2026-02-28,INR,6638451770000
RBI:CERTI_DEPO_RN(1.0),N_A,F,MIN_RATE,2026,2025,0,2026-02-28,INR,5.2438
RBI:CERTI_DEPO_RN(1.0),N_A,F,MAX_RATE,2026,2025,0,2026-02-28,INR,7.6405
RBI:CERTI_DEPO_RN(1.0),N_A,F,ISSUED_FORTNIGHT,2026,2025,0,2026-02-28,INR,730932443800
RBI:CERTI_DEPO_RN(1.0),N_A,F,MIN_RATE,2026,2025,0,2026-02-15,INR,5.2456
RBI:CERTI_DEPO_RN(1.0),N_A,F,MAX_RATE,2026,2025,0,2026-02-15,INR,7.3652
RBI:CERTI_DEPO_RN(1.0),N_A,F,ISSUED_FORTNIGHT,2026,2025,0,2026-02-15,INR,1346186772000
RBI:CERTI_DEPO_RN(1.0),N_A,F,TOT_AMT_OUST,2026,2025,0,2026-02-15,INR,6624147601000
RBI:CERTI_DEPO_RN(1.0),N_A,F,MAX_RATE,2026,2025,0,2026-01-31,INR,7.8372
RBI:CERTI_DEPO_RN(1.0),N_A,F,TOT_AMT_OUST,2026,2025,0,2026-01-31,INR,5886988245000
RBI:CERTI_DEPO_RN(1.0),N_A,F,ISSUED_FORTNIGHT,2026,2025,0,2026-01-31,INR,644096876200
RBI:CERTI_DEPO_RN(1.0),N_A,F,MIN_RATE,2026,2025,0,2026-01-31,INR,5.2456
RBI:CERTI_DEPO_RN(1.0),N_A,F,MAX_RATE,2026,2025,0,2026-01-15,INR,6.7004
RBI:CERTI_DEPO_RN(1.0),N_A,F,ISSUED_FORTNIGHT,2026,2025,0,2026-01-15,INR,401886100000
RBI:CERTI_DEPO_RN(1.0),N_A,F,TOT_AMT_OUST,2026,2025,0,2026-01-15,INR,5745861500000
RBI:CERTI_DEPO_RN(1.0),N_A,F,MIN_RATE,2026,2025,0,2026-01-15,INR,5.2456
RBI:CERTI_DEPO_RN(1.0),N_A,F,ISSUED_FORTNIGHT,2026,2025,0,2025-12-31,INR,885117647000
RBI:CERTI_DEPO_RN(1.0),N_A,F,MIN_RATE,2026,2025,0,2025-12-31,INR,5.2456
RBI:CERTI_DEPO_RN(1.0),N_A,F,MAX_RATE,2026,2025,0,2025-12-31,INR,6.8727
RBI:CERTI_DEPO_RN(1.0),N_A,F,TOT_AMT_OUST,2026,2025,0,2025-12-31,INR,5681361174900
RBI:CERTI_DEPO_RN(1.0),N_A,F,MIN_RATE,2026,2025,0,2025-12-15,INR,5.2423
RBI:CERTI_DEPO_RN(1.0),N_A,F,TOT_AMT_OUST,2026,2025,0,2025-12-15,INR,5549678439300
RBI:CERTI_DEPO_RN(1.0),N_A,F,MAX_RATE,2026,2025,0,2025-12-15,INR,6.8667
RBI:CERTI_DEPO_RN(1.0),N_A,F,ISSUED_FORTNIGHT,2026,2025,0,2025-12-15,INR,601874517100
