DATAFLOW,AUDST,CURRENCY,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:LIBOOR_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-31,PT,0.55688
RBI:LIBOOR_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-31,PT,0.10563
RBI:LIBOOR_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-31,PT,0.23531
RBI:LIBOOR_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-31,PT,1.23125
RBI:LIBOOR_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-28,PT,0.23563
RBI:LIBOOR_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-28,PT,0.55688
RBI:LIBOOR_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-28,PT,0.96125
RBI:LIBOOR_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-28,PT,0.10313
RBI:LIBOOR_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-27,PT,0.975
RBI:LIBOOR_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-27,PT,0.10063
RBI:LIBOOR_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-27,PT,0.55688
RBI:LIBOOR_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-27,PT,0.23563
RBI:LIBOOR_RN(1.0),N_A,JPY,D,2011,2010,0,2011-01-25,PT,0.09813
RBI:LIBOOR_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-25,PT,0.55688
RBI:LIBOOR_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-25,PT,1.06875
RBI:LIBOOR_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-25,PT,0.23688
RBI:LIBOOR_RN(1.0),N_A,USD,D,2011,2010,0,2011-01-24,PT,0.23688
RBI:LIBOOR_RN(1.0),N_A,EUR,D,2011,2010,0,2011-01-24,PT,0.82125
RBI:LIBOOR_RN(1.0),N_A,GBP,D,2011,2010,0,2011-01-24,PT,0.55813
