DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,WEEKLY_CALL_MONEY_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2026-02-13,PT,4.1
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2026-02-13,PT,5.75
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2026-02-13,PT,5.0344858
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2026-02-06,PT,5.65
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2026-02-06,PT,5.063447
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2026-02-06,PT,4.25
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2026-01-30,PT,5.3528685
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2026-01-30,PT,4.5
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2026-01-30,PT,5.55
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2026-01-23,PT,5.4316666
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2026-01-23,PT,4.5
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2026-01-23,PT,5.75
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2026-01-16,PT,5.35778025
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2026-01-16,PT,5.55
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2026-01-16,PT,4.3
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2026-01-09,PT,5.3699712
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2026-01-09,PT,5.8
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2026-01-09,PT,4.5
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2026-01-02,PT,4.5
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2026-01-02,PT,6.0
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2026-01-02,PT,5.4451098
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-12-26,PT,4.5
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-12-26,PT,5.43220775
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-12-26,PT,5.65
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MAX_BORR_LEND_AMT,2025-12-19,PT,5.7
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-12-19,PT,4.5
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-12-19,PT,5.3684646
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,WAR_CALL,2025-12-12,PT,5.1946972
RBI:CALL_MONEY_W_RN(1.0),N_A,W,2026,2025,0,MIN_BORR_LEND_AMT,2025-12-12,PT,4.5
