DATAFLOW,AUDST,FREQ,HI_LW_AVG_RATES_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2026,2025,0,2026-01-31,INR,5.3777297
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2026,2025,0,2026-01-31,INR,5.8
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2026,2025,0,2026-01-31,INR,4.3
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2026,2025,0,2025-12-31,INR,5.359972636364
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2026,2025,0,2025-12-31,INR,6.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2026,2025,0,2025-12-31,INR,4.5
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2026,2025,0,2025-11-30,INR,5.408918368421
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2026,2025,0,2025-11-30,INR,5.75
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2026,2025,0,2025-11-30,INR,4.5
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2026,2025,0,2025-10-31,INR,4.4
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2026,2025,0,2025-10-31,INR,5.4777108
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2026,2025,0,2025-10-31,INR,6.1
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2026,2025,0,2025-09-30,INR,5.451892142857
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2026,2025,0,2025-09-30,INR,5.95
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2026,2025,0,2025-09-30,INR,4.75
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2026,2025,0,2025-08-31,INR,5.439802473684
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2026,2025,0,2025-08-31,INR,4.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2026,2025,0,2025-08-31,INR,6.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2026,2025,0,2025-07-31,INR,5.38
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2026,2025,0,2025-07-31,INR,5.85
