DATAFLOW,AUDST,COM_MS_RN,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,SOUR_MS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AMAGG_RN(1.0),N_A,CMS1,AFY,ANNUAL_AVE,1986,1985,N_A,0,1986-03-31,INR,1110960000000
RBI:AMAGG_RN(1.0),N_A,CMS11,AFY,ANNUAL_AVE,1986,1985,N_A,0,1986-03-31,INR,408470000000
RBI:AMAGG_RN(1.0),N_A,CMS1101,AFY,ANNUAL_AVE,1986,1985,N_A,0,1986-03-31,INR,342640000000
RBI:AMAGG_RN(1.0),N_A,CMS1101101,AFY,ANNUAL_AVE,1986,1985,N_A,0,1986-03-31,INR,239160000000
RBI:AMAGG_RN(1.0),N_A,CMS11012,AFY,ANNUAL_AVE,1986,1985,N_A,0,1986-03-31,INR,2570000000
RBI:AMAGG_RN(1.0),N_A,CMS1102,AFY,ANNUAL_AVE,1986,1985,N_A,0,1986-03-31,INR,166740000000
RBI:AMAGG_RN(1.0),N_A,CMS12,AFY,ANNUAL_AVE,1986,1985,N_A,0,1986-03-31,INR,702490000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1986,1985,SMS1,0,1986-03-31,INR,555950000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1986,1985,SMS2,0,1986-03-31,INR,750380000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1986,1985,SMS3,0,1986-03-31,INR,30830000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1986,1985,SMS4,0,1986-03-31,INR,8369999999.999999
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1986,1985,SMS5,0,1986-03-31,INR,234560000000
RBI:AMAGG_RN(1.0),N_A,CMS1,AFY,ANNUAL_AVE,1987,1986,N_A,0,1987-03-31,INR,1306530000000
RBI:AMAGG_RN(1.0),N_A,CMS11,AFY,ANNUAL_AVE,1987,1986,N_A,0,1987-03-31,INR,468360000000
RBI:AMAGG_RN(1.0),N_A,CMS1101,AFY,ANNUAL_AVE,1987,1986,N_A,0,1987-03-31,INR,405200000000
RBI:AMAGG_RN(1.0),N_A,CMS1101101,AFY,ANNUAL_AVE,1987,1986,N_A,0,1987-03-31,INR,268579999999.99997
RBI:AMAGG_RN(1.0),N_A,CMS11012,AFY,ANNUAL_AVE,1987,1986,N_A,0,1987-03-31,INR,2540000000
RBI:AMAGG_RN(1.0),N_A,CMS1102,AFY,ANNUAL_AVE,1987,1986,N_A,0,1987-03-31,INR,197230000000
RBI:AMAGG_RN(1.0),N_A,CMS12,AFY,ANNUAL_AVE,1987,1986,N_A,0,1987-03-31,INR,838170000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1987,1986,SMS1,0,1987-03-31,INR,670240000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1987,1986,SMS2,0,1987-03-31,INR,863410000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1987,1986,SMS3,0,1987-03-31,INR,38120000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1987,1986,SMS4,0,1987-03-31,INR,10700000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1987,1986,SMS5,0,1987-03-31,INR,275950000000
RBI:AMAGG_RN(1.0),N_A,CMS1,AFY,ANNUAL_AVE,1988,1987,N_A,0,1988-03-31,INR,1532070000000
RBI:AMAGG_RN(1.0),N_A,CMS11,AFY,ANNUAL_AVE,1988,1987,N_A,0,1988-03-31,INR,538140000000
RBI:AMAGG_RN(1.0),N_A,CMS1101,AFY,ANNUAL_AVE,1988,1987,N_A,0,1988-03-31,INR,497950000000
RBI:AMAGG_RN(1.0),N_A,CMS1101101,AFY,ANNUAL_AVE,1988,1987,N_A,0,1988-03-31,INR,313010000000
RBI:AMAGG_RN(1.0),N_A,CMS11012,AFY,ANNUAL_AVE,1988,1987,N_A,0,1988-03-31,INR,3180000000
RBI:AMAGG_RN(1.0),N_A,CMS1102,AFY,ANNUAL_AVE,1988,1987,N_A,0,1988-03-31,INR,221960000000
RBI:AMAGG_RN(1.0),N_A,CMS12,AFY,ANNUAL_AVE,1988,1987,N_A,0,1988-03-31,INR,993930000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1988,1987,SMS1,0,1988-03-31,INR,798050000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1988,1987,SMS2,0,1988-03-31,INR,982620000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1988,1987,SMS3,0,1988-03-31,INR,45460000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1988,1987,SMS4,0,1988-03-31,INR,12980000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1988,1987,SMS5,0,1988-03-31,INR,307040000000
RBI:AMAGG_RN(1.0),N_A,CMS1,AFY,ANNUAL_AVE,1989,1988,N_A,0,1989-03-31,INR,1796870000000
RBI:AMAGG_RN(1.0),N_A,CMS11,AFY,ANNUAL_AVE,1989,1988,N_A,0,1989-03-31,INR,618380000000
RBI:AMAGG_RN(1.0),N_A,CMS1101,AFY,ANNUAL_AVE,1989,1988,N_A,0,1989-03-31,INR,583210000000
RBI:AMAGG_RN(1.0),N_A,CMS1101101,AFY,ANNUAL_AVE,1989,1988,N_A,0,1989-03-31,INR,356820000000
RBI:AMAGG_RN(1.0),N_A,CMS11012,AFY,ANNUAL_AVE,1989,1988,N_A,0,1989-03-31,INR,3990000000
RBI:AMAGG_RN(1.0),N_A,CMS1102,AFY,ANNUAL_AVE,1989,1988,N_A,0,1989-03-31,INR,257570000000
RBI:AMAGG_RN(1.0),N_A,CMS12,AFY,ANNUAL_AVE,1989,1988,N_A,0,1989-03-31,INR,1178490000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1989,1988,SMS1,0,1989-03-31,INR,945280000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1989,1988,SMS2,0,1989-03-31,INR,1145480000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1989,1988,SMS3,0,1989-03-31,INR,54320000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1989,1988,SMS4,0,1989-03-31,INR,14340000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1989,1988,SMS5,0,1989-03-31,INR,362550000000
RBI:AMAGG_RN(1.0),N_A,CMS1,AFY,ANNUAL_AVE,1990,1989,N_A,0,1990-03-31,INR,2138560000000
RBI:AMAGG_RN(1.0),N_A,CMS11,AFY,ANNUAL_AVE,1990,1989,N_A,0,1990-03-31,INR,742250000000
RBI:AMAGG_RN(1.0),N_A,CMS1101,AFY,ANNUAL_AVE,1990,1989,N_A,0,1990-03-31,INR,694130000000
RBI:AMAGG_RN(1.0),N_A,CMS1101101,AFY,ANNUAL_AVE,1990,1989,N_A,0,1990-03-31,INR,423690000000
RBI:AMAGG_RN(1.0),N_A,CMS11012,AFY,ANNUAL_AVE,1990,1989,N_A,0,1990-03-31,INR,4990000000
RBI:AMAGG_RN(1.0),N_A,CMS1102,AFY,ANNUAL_AVE,1990,1989,N_A,0,1990-03-31,INR,313570000000
RBI:AMAGG_RN(1.0),N_A,CMS12,AFY,ANNUAL_AVE,1990,1989,N_A,0,1990-03-31,INR,1396310000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1990,1989,SMS1,0,1990-03-31,INR,1100200000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1990,1989,SMS2,0,1990-03-31,INR,1374610000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1990,1989,SMS3,0,1990-03-31,INR,62160000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1990,1989,SMS4,0,1990-03-31,INR,15220000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1990,1989,SMS5,0,1990-03-31,INR,413630000000
RBI:AMAGG_RN(1.0),N_A,CMS1,AFY,ANNUAL_AVE,1991,1990,N_A,0,1991-03-31,INR,2494930000000
RBI:AMAGG_RN(1.0),N_A,CMS11,AFY,ANNUAL_AVE,1991,1990,N_A,0,1991-03-31,INR,872170000000
RBI:AMAGG_RN(1.0),N_A,CMS1101,AFY,ANNUAL_AVE,1991,1990,N_A,0,1991-03-31,INR,802430000000
RBI:AMAGG_RN(1.0),N_A,CMS1101101,AFY,ANNUAL_AVE,1991,1990,N_A,0,1991-03-31,INR,497720000000
RBI:AMAGG_RN(1.0),N_A,CMS11012,AFY,ANNUAL_AVE,1991,1990,N_A,0,1991-03-31,INR,10230000000
RBI:AMAGG_RN(1.0),N_A,CMS1102,AFY,ANNUAL_AVE,1991,1990,N_A,0,1991-03-31,INR,364220000000
RBI:AMAGG_RN(1.0),N_A,CMS12,AFY,ANNUAL_AVE,1991,1990,N_A,0,1991-03-31,INR,1622760000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1991,1990,SMS1,0,1991-03-31,INR,1317500000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1991,1990,SMS2,0,1991-03-31,INR,1587900000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1991,1990,SMS3,0,1991-03-31,INR,76620000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1991,1990,SMS4,0,1991-03-31,INR,15920000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1991,1990,SMS5,0,1991-03-31,INR,503010000000
RBI:AMAGG_RN(1.0),N_A,CMS1,AFY,ANNUAL_AVE,1992,1991,N_A,0,1992-03-31,INR,2924030000000
RBI:AMAGG_RN(1.0),N_A,CMS11,AFY,ANNUAL_AVE,1992,1991,N_A,0,1992-03-31,INR,1039702500000.0001
RBI:AMAGG_RN(1.0),N_A,CMS1101,AFY,ANNUAL_AVE,1992,1991,N_A,0,1992-03-31,INR,940903333000
RBI:AMAGG_RN(1.0),N_A,CMS1101101,AFY,ANNUAL_AVE,1992,1991,N_A,0,1992-03-31,INR,573269167000
RBI:AMAGG_RN(1.0),N_A,CMS11012,AFY,ANNUAL_AVE,1992,1991,N_A,0,1992-03-31,INR,13445833000
RBI:AMAGG_RN(1.0),N_A,CMS1102,AFY,ANNUAL_AVE,1992,1991,N_A,0,1992-03-31,INR,452987500000
RBI:AMAGG_RN(1.0),N_A,CMS12,AFY,ANNUAL_AVE,1992,1991,N_A,0,1992-03-31,INR,1884327500000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1992,1991,SMS1,0,1992-03-31,INR,1558344167000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1992,1991,SMS2,0,1992-03-31,INR,1757163333000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1992,1991,SMS3,0,1992-03-31,INR,134895000000.00002
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1992,1991,SMS4,0,1992-03-31,INR,16643332999.999998
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1992,1991,SMS5,0,1992-03-31,INR,543017500000.00006
RBI:AMAGG_RN(1.0),N_A,CMS1,AFY,ANNUAL_AVE,1993,1992,N_A,0,1993-03-31,INR,3442380833000
RBI:AMAGG_RN(1.0),N_A,CMS11,AFY,ANNUAL_AVE,1993,1992,N_A,0,1993-03-31,INR,1200499167000
RBI:AMAGG_RN(1.0),N_A,CMS1101,AFY,ANNUAL_AVE,1993,1992,N_A,0,1993-03-31,INR,1077399167000
RBI:AMAGG_RN(1.0),N_A,CMS1101101,AFY,ANNUAL_AVE,1993,1992,N_A,0,1993-03-31,INR,644497500000
RBI:AMAGG_RN(1.0),N_A,CMS11012,AFY,ANNUAL_AVE,1993,1992,N_A,0,1993-03-31,INR,40230000000
RBI:AMAGG_RN(1.0),N_A,CMS1102,AFY,ANNUAL_AVE,1993,1992,N_A,0,1993-03-31,INR,515771667000
RBI:AMAGG_RN(1.0),N_A,CMS12,AFY,ANNUAL_AVE,1993,1992,N_A,0,1993-03-31,INR,2241881667000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1993,1992,SMS1,0,1993-03-31,INR,1706923333000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1993,1992,SMS2,0,1993-03-31,INR,2041635000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1993,1992,SMS3,0,1993-03-31,INR,206390000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1993,1992,SMS4,0,1993-03-31,INR,17680000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1993,1992,SMS5,0,1993-03-31,INR,530247499999.99994
RBI:AMAGG_RN(1.0),N_A,CMS1,AFY,ANNUAL_AVE,1994,1993,N_A,0,1994-03-31,INR,3990482733000
RBI:AMAGG_RN(1.0),N_A,CMS11,AFY,ANNUAL_AVE,1994,1993,N_A,0,1994-03-31,INR,1363526483000
RBI:AMAGG_RN(1.0),N_A,CMS1101,AFY,ANNUAL_AVE,1994,1993,N_A,0,1994-03-31,INR,1251820000000
RBI:AMAGG_RN(1.0),N_A,CMS1101101,AFY,ANNUAL_AVE,1994,1993,N_A,0,1994-03-31,INR,762120000000
RBI:AMAGG_RN(1.0),N_A,CMS11012,AFY,ANNUAL_AVE,1994,1993,N_A,0,1994-03-31,INR,32999167000
RBI:AMAGG_RN(1.0),N_A,CMS1102,AFY,ANNUAL_AVE,1994,1993,N_A,0,1994-03-31,INR,568407500000
RBI:AMAGG_RN(1.0),N_A,CMS12,AFY,ANNUAL_AVE,1994,1993,N_A,0,1994-03-31,INR,2626955833000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1994,1993,SMS1,0,1994-03-31,INR,1969820833000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1994,1993,SMS2,0,1994-03-31,INR,2264731667000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1994,1993,SMS3,0,1994-03-31,INR,322738333000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1994,1993,SMS4,0,1994-03-31,INR,19075000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1994,1993,SMS5,0,1994-03-31,INR,585883333000
RBI:AMAGG_RN(1.0),N_A,CMS1,AFY,ANNUAL_AVE,1995,1994,N_A,0,1995-03-31,INR,4781958717000
RBI:AMAGG_RN(1.0),N_A,CMS11,AFY,ANNUAL_AVE,1995,1994,N_A,0,1995-03-31,INR,1692000375000
RBI:AMAGG_RN(1.0),N_A,CMS1101,AFY,ANNUAL_AVE,1995,1994,N_A,0,1995-03-31,INR,1531649167000
RBI:AMAGG_RN(1.0),N_A,CMS1101101,AFY,ANNUAL_AVE,1995,1994,N_A,0,1995-03-31,INR,922820833000
RBI:AMAGG_RN(1.0),N_A,CMS11012,AFY,ANNUAL_AVE,1995,1994,N_A,0,1995-03-31,INR,36078333000
RBI:AMAGG_RN(1.0),N_A,CMS1102,AFY,ANNUAL_AVE,1995,1994,N_A,0,1995-03-31,INR,733100833000
RBI:AMAGG_RN(1.0),N_A,CMS12,AFY,ANNUAL_AVE,1995,1994,N_A,0,1995-03-31,INR,3089958333000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1995,1994,SMS1,0,1995-03-31,INR,2156070000000.0002
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1995,1994,SMS2,0,1995-03-31,INR,2564103333000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1995,1994,SMS3,0,1995-03-31,INR,694052500000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1995,1994,SMS4,0,1995-03-31,INR,21258333000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1995,1994,SMS5,0,1995-03-31,INR,653525833000
RBI:AMAGG_RN(1.0),N_A,CMS1,AFY,ANNUAL_AVE,1996,1995,N_A,0,1996-03-31,INR,5529529517000
RBI:AMAGG_RN(1.0),N_A,CMS11,AFY,ANNUAL_AVE,1996,1995,N_A,0,1996-03-31,INR,1982832617000
RBI:AMAGG_RN(1.0),N_A,CMS1101,AFY,ANNUAL_AVE,1996,1995,N_A,0,1996-03-31,INR,1782450833000
RBI:AMAGG_RN(1.0),N_A,CMS1101101,AFY,ANNUAL_AVE,1996,1995,N_A,0,1996-03-31,INR,1120802500000
RBI:AMAGG_RN(1.0),N_A,CMS11012,AFY,ANNUAL_AVE,1996,1995,N_A,0,1996-03-31,INR,59250833000
