DATAFLOW,AUDST,COMP_RN,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2016,2015,0,2016-01-31,INR,114203154328000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2016,2015,0,2016-01-31,INR,24415465405000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2016,2015,0,2016-01-31,INR,15172748724000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2016,2015,0,2016-01-31,INR,126599267000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2016,2015,0,2016-01-31,INR,9116117414000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2016,2015,0,2016-01-31,INR,698593029000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2016,2015,0,2016-01-31,INR,89787688923000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2016,2015,0,2016-02-29,INR,115608938918000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2016,2015,0,2016-02-29,INR,25255479671000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2016,2015,0,2016-02-29,INR,15587270343000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2016,2015,0,2016-02-29,INR,271291623000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2016,2015,0,2016-02-29,INR,9396917705000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2016,2015,0,2016-02-29,INR,653865289000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2016,2015,0,2016-02-29,INR,90353459247000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2016,2015,0,2016-03-31,INR,116176150951000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2016,2015,0,2016-03-31,INR,26025382978000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2016,2015,0,2016-03-31,INR,15972538844000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2016,2015,0,2016-03-31,INR,154506648000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2016,2015,0,2016-03-31,INR,9898337486000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2016,2015,0,2016-03-31,INR,662093494000.0001
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2016,2015,0,2016-03-31,INR,90150767973000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2017,2016,0,2016-04-30,INR,118860468718000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2017,2016,0,2016-04-30,INR,26712969475000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2017,2016,0,2016-04-30,INR,16486248108000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2017,2016,0,2016-04-30,INR,133116648000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2017,2016,0,2016-04-30,INR,10093604719000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2017,2016,0,2016-04-30,INR,714910994000.0001
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2017,2016,0,2016-04-30,INR,92147499243000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2017,2016,0,2016-05-31,INR,118901021237999.98
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2017,2016,0,2016-05-31,INR,26546647439000.004
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2017,2016,0,2016-05-31,INR,16603258970000.002
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2017,2016,0,2016-05-31,INR,133028552000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2017,2016,0,2016-05-31,INR,9810359917000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2017,2016,0,2016-05-31,INR,731296727000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2017,2016,0,2016-05-31,INR,92354373798999.98
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2017,2016,0,2016-06-30,INR,119240414103000
