DATAFLOW,AUDST,COM_CSUR_RN,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1,N_A,F,2006,2005,0,2006-03-31,INR,20497730000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS11,N_A,F,2006,2005,0,2006-03-31,INR,3646400000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12,N_A,F,2006,2005,0,2006-03-31,INR,16851330000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1201,N_A,F,2006,2005,0,2006-03-31,INR,7583100000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12011,N_A,F,2006,2005,0,2006-03-31,INR,444990000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1202,N_A,F,2006,2005,0,2006-03-31,INR,9268230000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS2,N_A,F,2006,2005,0,2006-03-31,INR,831440000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1,N_A,F,2007,2006,0,2006-09-15,INR,21864180000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS11,N_A,F,2007,2006,0,2006-09-15,INR,3383420000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12,N_A,F,2007,2006,0,2006-09-15,INR,18480760000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1201,N_A,F,2007,2006,0,2006-09-15,INR,8316340000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12011,N_A,F,2007,2006,0,2006-09-15,INR,634080000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1202,N_A,F,2007,2006,0,2006-09-15,INR,10164420000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS2,N_A,F,2007,2006,0,2006-09-15,INR,844320000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1,N_A,F,2008,2007,0,2007-08-31,INR,27134280000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS11,N_A,F,2008,2007,0,2007-08-31,INR,3938930000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12,N_A,F,2008,2007,0,2007-08-31,INR,23195350000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1201,N_A,F,2008,2007,0,2007-08-31,INR,10437910000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12011,N_A,F,2008,2007,0,2007-08-31,INR,1242380000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1202,N_A,F,2008,2007,0,2007-08-31,INR,12757440000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS2,N_A,F,2008,2007,0,2007-08-31,INR,887790000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1,N_A,F,2008,2007,0,2008-02-15,INR,29791830000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS11,N_A,F,2008,2007,0,2008-02-15,INR,4327370000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12,N_A,F,2008,2007,0,2008-02-15,INR,25464460000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1201,N_A,F,2008,2007,0,2008-02-15,INR,11459010000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12011,N_A,F,2008,2007,0,2008-02-15,INR,1476420000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1202,N_A,F,2008,2007,0,2008-02-15,INR,14005450000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS2,N_A,F,2008,2007,0,2008-02-15,INR,1044880000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1,N_A,F,2008,2007,0,2008-02-29,INR,30310960000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS11,N_A,F,2008,2007,0,2008-02-29,INR,4597690000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12,N_A,F,2008,2007,0,2008-02-29,INR,25713260000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1201,N_A,F,2008,2007,0,2008-02-29,INR,11570970000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12011,N_A,F,2008,2007,0,2008-02-29,INR,1484120000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1202,N_A,F,2008,2007,0,2008-02-29,INR,14142300000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS2,N_A,F,2008,2007,0,2008-02-29,INR,1091730000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1,N_A,F,2009,2008,0,2008-08-15,INR,32742740000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS11,N_A,F,2009,2008,0,2008-08-15,INR,4436110000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12,N_A,F,2009,2008,0,2008-08-15,INR,28306630000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1201,N_A,F,2009,2008,0,2008-08-15,INR,12737990000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12011,N_A,F,2009,2008,0,2008-08-15,INR,1708430000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1202,N_A,F,2009,2008,0,2008-08-15,INR,15568650000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS2,N_A,F,2009,2008,0,2008-08-15,INR,1009240000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1,N_A,F,2010,2009,0,2009-07-31,INR,40018490000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS11,N_A,F,2010,2009,0,2009-07-31,INR,5281710000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12,N_A,F,2010,2009,0,2009-07-31,INR,34736780000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1201,N_A,F,2010,2009,0,2009-07-31,INR,15631550000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12011,N_A,F,2010,2009,0,2009-07-31,INR,2421050000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1202,N_A,F,2010,2009,0,2009-07-31,INR,19105230000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS2,N_A,F,2010,2009,0,2009-07-31,INR,1027990000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1,N_A,F,2010,2009,0,2010-01-15,INR,41803410000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS11,N_A,F,2010,2009,0,2010-01-15,INR,5398940000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12,N_A,F,2010,2009,0,2010-01-15,INR,36404470000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1201,N_A,F,2010,2009,0,2010-01-15,INR,16382010000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12011,N_A,F,2010,2009,0,2010-01-15,INR,2665510000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1202,N_A,F,2010,2009,0,2010-01-15,INR,20022460000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS2,N_A,F,2010,2009,0,2010-01-15,INR,1017670000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1,N_A,F,2011,2010,0,2010-12-31,INR,49175690000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS11,N_A,F,2011,2010,0,2010-12-31,INR,6444350000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12,N_A,F,2011,2010,0,2010-12-31,INR,42731340000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1201,N_A,F,2011,2010,0,2010-12-31,INR,19229100000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12011,N_A,F,2011,2010,0,2010-12-31,INR,3676380000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1202,N_A,F,2011,2010,0,2010-12-31,INR,23502240000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS2,N_A,F,2011,2010,0,2010-12-31,INR,1168930000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1,N_A,F,2012,2011,0,2011-07-15,INR,53495610000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS11,N_A,F,2012,2011,0,2011-07-15,INR,5454070000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12,N_A,F,2012,2011,0,2011-07-15,INR,48041540000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1201,N_A,F,2012,2011,0,2011-07-15,INR,21618690000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12011,N_A,F,2012,2011,0,2011-07-15,INR,4112790000000
