DATAFLOW,AUDST,COM_CSUR_RN,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2001,2000,0,2001-01-26,INR,8508230000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2001,2000,0,2001-01-26,INR,1312670000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2001,2000,0,2001-01-26,INR,7195560000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2001,2000,0,2001-01-26,INR,3238000000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2001,2000,0,2001-01-26,INR,12650000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2001,2000,0,2001-01-26,INR,3957560000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2001,2000,0,2001-01-26,INR,3957560000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2001,2000,0,2001-01-26,INR,24960000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2001,2000,0,2001-02-23,INR,8619230000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2001,2000,0,2001-02-23,INR,1347220000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2001,2000,0,2001-02-23,INR,7272000000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2001,2000,0,2001-02-23,INR,3272400000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2001,2000,0,2001-02-23,INR,12040000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2001,2000,0,2001-02-23,INR,3999600000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2001,2000,0,2001-02-23,INR,3999600000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2001,2000,0,2001-02-23,INR,23700000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2001,2000,0,2001-03-23,INR,8765210000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2001,2000,0,2001-03-23,INR,1425520000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2001,2000,0,2001-03-23,INR,7339690000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2001,2000,0,2001-03-23,INR,3302860000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2001,2000,0,2001-03-23,INR,10120000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2001,2000,0,2001-03-23,INR,4036830000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2001,2000,0,2001-03-23,INR,4036830000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2001,2000,0,2001-03-23,INR,25660000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2002,2001,0,2001-04-20,INR,9028610000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2002,2001,0,2001-04-20,INR,1443600000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2002,2001,0,2001-04-20,INR,7585010000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2002,2001,0,2001-04-20,INR,3413250000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2002,2001,0,2001-04-20,INR,9150000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2002,2001,0,2001-04-20,INR,4171760000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2002,2001,0,2001-04-20,INR,4171760000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2002,2001,0,2001-04-20,INR,29210000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2002,2001,0,2001-05-18,INR,9111090000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2002,2001,0,2001-05-18,INR,1408930000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2002,2001,0,2001-05-18,INR,7702160000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2002,2001,0,2001-05-18,INR,3465970000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2002,2001,0,2001-05-18,INR,9410000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2002,2001,0,2001-05-18,INR,4236190000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2002,2001,0,2001-05-18,INR,4236190000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2002,2001,0,2001-05-18,INR,23240000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2002,2001,0,2001-06-29,INR,9298580000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2002,2001,0,2001-06-29,INR,1479440000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2002,2001,0,2001-06-29,INR,7819140000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2002,2001,0,2001-06-29,INR,3518610000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2002,2001,0,2001-06-29,INR,9310000000
