DATAFLOW,AUDST,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,SOR_CSUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR1,0,2006-03-31,INR,23800810000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR11,0,2006-03-31,INR,7007420000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR12,0,2006-03-31,INR,16793390000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR1201,0,2006-03-31,INR,15070770000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR12011,0,2006-03-31,INR,14652520000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR12012,0,2006-03-31,INR,418250000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR1202,0,2006-03-31,INR,202090000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR1203,0,2006-03-31,INR,167120000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR1204,0,2006-03-31,INR,1353400000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR2,0,2006-03-31,INR,-456160000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR21,0,2006-03-31,INR,434940000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR22,0,2006-03-31,INR,592750000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR23,0,2006-03-31,INR,298340000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR3,0,2006-03-31,INR,1386190000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR31,0,2006-03-31,INR,1270610000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR32,0,2006-03-31,INR,130460000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR33,0,2006-03-31,INR,14880000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR4,0,2006-03-31,INR,1777270000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR5,0,2006-03-31,INR,1624400000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR51,0,2006-03-31,INR,1589460000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SCSR52,0,2006-03-31,INR,409810000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR1,0,2006-09-15,INR,25531610000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR11,0,2006-09-15,INR,7441760000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR12,0,2006-09-15,INR,18089850000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR1201,0,2006-09-15,INR,16082190000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR12011,0,2006-09-15,INR,15718230000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR12012,0,2006-09-15,INR,363960000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR1202,0,2006-09-15,INR,356220000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR1203,0,2006-09-15,INR,161100000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR1204,0,2006-09-15,INR,1490350000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR2,0,2006-09-15,INR,-559760000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR21,0,2006-09-15,INR,373610000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR22,0,2006-09-15,INR,649330000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR23,0,2006-09-15,INR,284040000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR3,0,2006-09-15,INR,1461800000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR31,0,2006-09-15,INR,1340170000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR32,0,2006-09-15,INR,121630000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR33,0,2006-09-15,INR,0.0
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR4,0,2006-09-15,INR,1952720000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR5,0,2006-09-15,INR,1772430000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR51,0,2006-09-15,INR,1803250000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SCSR52,0,2006-09-15,INR,484290000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR1,0,2007-08-31,INR,30352590000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR11,0,2007-08-31,INR,8894280000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR12,0,2007-08-31,INR,21458310000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR1201,0,2007-08-31,INR,19623090000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR12011,0,2007-08-31,INR,19238190000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR12012,0,2007-08-31,INR,384900000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR1202,0,2007-08-31,INR,25580000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR1203,0,2007-08-31,INR,143640000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR1204,0,2007-08-31,INR,1665990000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR2,0,2007-08-31,INR,-504960000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR21,0,2007-08-31,INR,452230000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR22,0,2007-08-31,INR,634220000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR23,0,2007-08-31,INR,322970000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR3,0,2007-08-31,INR,2385160000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR31,0,2007-08-31,INR,2217330000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR32,0,2007-08-31,INR,168750000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR33,0,2007-08-31,INR,920000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR4,0,2007-08-31,INR,2536100000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR5,0,2007-08-31,INR,1674630000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR51,0,2007-08-31,INR,2094710000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR52,0,2007-08-31,INR,144780000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR1,0,2008-02-15,INR,33862110000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR11,0,2008-02-15,INR,9695160000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR12,0,2008-02-15,INR,24166950000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR1201,0,2008-02-15,INR,22140200000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR12011,0,2008-02-15,INR,21712010000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR12012,0,2008-02-15,INR,428190000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR1202,0,2008-02-15,INR,70280000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR1203,0,2008-02-15,INR,130720000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR1204,0,2008-02-15,INR,1825760000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR2,0,2008-02-15,INR,-835380000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR21,0,2008-02-15,INR,203800000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR22,0,2008-02-15,INR,568310000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR23,0,2008-02-15,INR,470880000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR3,0,2008-02-15,INR,2521480000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR31,0,2008-02-15,INR,2358620000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR32,0,2008-02-15,INR,162850000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR33,0,2008-02-15,INR,0.0
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR4,0,2008-02-15,INR,2680530000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR5,0,2008-02-15,INR,2030980000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR51,0,2008-02-15,INR,2367960000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR52,0,2008-02-15,INR,69930000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR1,0,2008-02-29,INR,34284320000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR11,0,2008-02-29,INR,9754040000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR12,0,2008-02-29,INR,24530290000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR1201,0,2008-02-29,INR,22547600000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR12011,0,2008-02-29,INR,22104490000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR12012,0,2008-02-29,INR,443110000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR1202,0,2008-02-29,INR,45510000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR1203,0,2008-02-29,INR,130200000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR1204,0,2008-02-29,INR,1806970000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR2,0,2008-02-29,INR,-847740000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR21,0,2008-02-29,INR,177980000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR22,0,2008-02-29,INR,571590000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR23,0,2008-02-29,INR,454130000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR3,0,2008-02-29,INR,2712290000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR31,0,2008-02-29,INR,2542170000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR32,0,2008-02-29,INR,177850000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR33,0,2008-02-29,INR,7730000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR4,0,2008-02-29,INR,2698900000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR5,0,2008-02-29,INR,2047290000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR51,0,2008-02-29,INR,2499650000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SCSR52,0,2008-02-29,INR,64730000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR1,0,2008-08-15,INR,36012770000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR11,0,2008-08-15,INR,9843300000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR12,0,2008-08-15,INR,26169470000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR1201,0,2008-08-15,INR,24388160000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR12011,0,2008-08-15,INR,23947630000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR12012,0,2008-08-15,INR,440530000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR1202,0,2008-08-15,INR,50890000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR1203,0,2008-08-15,INR,121660000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR1204,0,2008-08-15,INR,1608760000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR2,0,2008-08-15,INR,-660160000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR21,0,2008-08-15,INR,363190000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR22,0,2008-08-15,INR,583770000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR23,0,2008-08-15,INR,439580000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SCSR3,0,2008-08-15,INR,3298710000000
