DATAFLOW,AUDST,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,SOR_CSUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR1,0,2001-01-26,INR,9623090000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR11,0,2001-01-26,INR,3262250000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR12,0,2001-01-26,INR,6360850000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR1201,0,2001-01-26,INR,5002830000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR12011,0,2001-01-26,INR,4612060000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR12012,0,2001-01-26,INR,390770000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR1202,0,2001-01-26,INR,-4190000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR1203,0,2001-01-26,INR,301620000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR1204,0,2001-01-26,INR,1060580000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR2,0,2001-01-26,INR,-335620000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR21,0,2001-01-26,INR,529890000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR22,0,2001-01-26,INR,852230000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR23,0,2001-01-26,INR,13280000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR3,0,2001-01-26,INR,705090000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR31,0,2001-01-26,INR,711350000000
