DATAFLOW,AUDST,FREQ,MON_AGG_ITM,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MON_AG_RN(1.0),N_A,AFY,BRD_MON,1986,1985,0,1986-03-31,PT,15.99195593249978
RBI:MON_AG_RN(1.0),N_A,AFY,CUR_PUB,1986,1985,0,1986-03-31,PT,10.52840508115737
RBI:MON_AG_RN(1.0),N_A,AFY,DD,1986,1985,0,1986-03-31,PT,12.6081210956271
RBI:MON_AG_RN(1.0),N_A,AFY,NAR_MON,1986,1985,0,1986-03-31,PT,10.47225353876989
RBI:MON_AG_RN(1.0),N_A,AFY,NET_RBI_CCG,1986,1985,0,1986-03-31,PT,19.43058040619016
RBI:MON_AG_RN(1.0),N_A,AFY,NFEABS,1986,1985,0,1986-03-31,PT,23.54818123803446
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CCS,1986,1985,0,1986-03-31,PT,16.93523555373088
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CG,1986,1985,0,1986-03-31,PT,22.82248483711624
RBI:MON_AG_RN(1.0),N_A,AFY,RBI_CCS,1986,1985,0,1986-03-31,PT,10.90116279069767
RBI:MON_AG_RN(1.0),N_A,AFY,RBI_NET_CB,1986,1985,0,1986-03-31,PT,-22.43226212980466
RBI:MON_AG_RN(1.0),N_A,AFY,RES_MON,1986,1985,0,1986-03-31,PT,8.3740345297592
RBI:MON_AG_RN(1.0),N_A,AFY,TIM_DE,1986,1985,0,1986-03-31,PT,19.48808277000222
RBI:MON_AG_RN(1.0),N_A,AFY,BRD_MON,1987,1986,0,1987-03-31,PT,18.625727
RBI:MON_AG_RN(1.0),N_A,AFY,CUR_PUB,1987,1986,0,1987-03-31,PT,13.260705
RBI:MON_AG_RN(1.0),N_A,AFY,DD,1987,1986,0,1987-03-31,PT,21.752814
RBI:MON_AG_RN(1.0),N_A,AFY,NAR_MON,1987,1986,0,1987-03-31,PT,16.829573
RBI:MON_AG_RN(1.0),N_A,AFY,NET_RBI_CCG,1987,1986,0,1987-03-31,PT,18.637475
RBI:MON_AG_RN(1.0),N_A,AFY,NFEABS,1987,1986,0,1987-03-31,PT,24.354339
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CCS,1987,1986,0,1987-03-31,PT,14.540257
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CG,1987,1986,0,1987-03-31,PT,31.013593
