DATAFLOW,AUDST,FREQ,RATIOS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,1986,1985,0,1986-03-28,RO,1.43
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,1986,1985,0,1986-03-28,RO,0.61
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,1986,1985,0,1986-03-28,RO,0.28
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,1986,1985,0,1986-03-28,RO,0.12
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,1986,1985,0,1986-03-28,RO,1.19
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,1986,1985,0,1986-03-28,RO,3.24
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,1986,1985,0,1986-03-28,RO,2.53
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,1986,1985,0,1986-03-28,RO,6.89
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,1986,1985,0,1986-03-28,RO,11.76
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,1987,1986,0,1987-03-27,RO,1.36
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,1987,1986,0,1987-03-27,RO,0.68
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,1987,1986,0,1987-03-27,RO,0.26
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,1987,1986,0,1987-03-27,RO,0.13
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,1987,1986,0,1987-03-27,RO,1.16
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,1987,1986,0,1987-03-27,RO,3.22
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,1987,1986,0,1987-03-27,RO,2.41
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,1987,1986,0,1987-03-27,RO,6.72
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,1987,1986,0,1987-03-27,RO,11.72
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,1988,1987,0,1988-03-25,RO,1.41
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,1988,1987,0,1988-03-25,RO,0.82
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,1988,1987,0,1988-03-25,RO,0.26
