DATAFLOW,AUDST,COM_MSUR_RN,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1,N_A,F,2006,2005,0,2006-03-31,INR,27433620000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11,N_A,F,2006,2005,0,2006-03-31,INR,16516120000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101,N_A,F,2006,2005,0,2006-03-31,INR,8263890000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11011,N_A,F,2006,2005,0,2006-03-31,INR,4121240000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012,N_A,F,2006,2005,0,2006-03-31,INR,22412510000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101201,N_A,F,2006,2005,0,2006-03-31,INR,4074230000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101202,N_A,F,2006,2005,0,2006-03-31,INR,18338280000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120201,N_A,F,2006,2005,0,2006-03-31,INR,8252230000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012020101,N_A,F,2006,2005,0,2006-03-31,INR,444990000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120202,N_A,F,2006,2005,0,2006-03-31,INR,10086060000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11013,N_A,F,2006,2005,0,2006-03-31,INR,68430000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11014,N_A,F,2006,2005,0,2006-03-31,INR,831440000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1,N_A,F,2007,2006,0,2006-09-15,INR,29214000000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11,N_A,F,2007,2006,0,2006-09-15,INR,17304640000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101,N_A,F,2007,2006,0,2006-09-15,INR,8251430000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11011,N_A,F,2007,2006,0,2006-09-15,INR,4375280000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012,N_A,F,2007,2006,0,2006-09-15,INR,23940030000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101201,N_A,F,2007,2006,0,2006-09-15,INR,3821770000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101202,N_A,F,2007,2006,0,2006-09-15,INR,20118250000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120201,N_A,F,2007,2006,0,2006-09-15,INR,9053210000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012020101,N_A,F,2007,2006,0,2006-09-15,INR,634080000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120202,N_A,F,2007,2006,0,2006-09-15,INR,11065040000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11013,N_A,F,2007,2006,0,2006-09-15,INR,54370000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11014,N_A,F,2007,2006,0,2006-09-15,INR,844320000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1,N_A,F,2007,2006,0,2007-03-31,INR,33284140000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11,N_A,F,2007,2006,0,2007-03-31,INR,19915190000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101,N_A,F,2007,2006,0,2007-03-31,INR,9679250000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11011,N_A,F,2007,2006,0,2007-03-31,INR,4828540000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012,N_A,F,2007,2006,0,2007-03-31,INR,27522560000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101201,N_A,F,2007,2006,0,2007-03-31,INR,4776040000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101202,N_A,F,2007,2006,0,2007-03-31,INR,22746520000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120201,N_A,F,2007,2006,0,2007-03-31,INR,10235940000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012020101,N_A,F,2007,2006,0,2007-03-31,INR,974420000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120202,N_A,F,2007,2006,0,2007-03-31,INR,12510590000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11013,N_A,F,2007,2006,0,2007-03-31,INR,74670000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11014,N_A,F,2007,2006,0,2007-03-31,INR,858360000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1,N_A,F,2008,2007,0,2007-08-31,INR,35111720000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11,N_A,F,2008,2007,0,2007-08-31,INR,20526400000000
