DATAFLOW,AUDST,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,SOR_MSUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SMSR1,0,2006-03-31,INR,26153440000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SMSR11,0,2006-03-31,INR,7594160000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SMSR1101,0,2006-03-31,INR,65990000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SMSR1102,0,2006-03-31,INR,7528170000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SMSR12,0,2006-03-31,INR,18559280000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SMSR1201,0,2006-03-31,INR,43850000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SMSR1202,0,2006-03-31,INR,18515430000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SMSR12021,0,2006-03-31,INR,1443030000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SMSR12022,0,2006-03-31,INR,17072400000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SMSR2,0,2006-03-31,INR,76560000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SMSR3,0,2006-03-31,INR,6273700000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SMSR31,0,2006-03-31,INR,6729860000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SMSR32,0,2006-03-31,INR,-456160000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SMSR4,0,2006-03-31,INR,3185440000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2006,2005,SMSR5,0,2006-03-31,INR,1884650000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR1,0,2006-09-15,INR,28066290000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR11,0,2006-09-15,INR,8070370000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR1101,0,2006-09-15,INR,69200000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR1102,0,2006-09-15,INR,8001170000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR12,0,2006-09-15,INR,19995920000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR1201,0,2006-09-15,INR,42860000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR1202,0,2006-09-15,INR,19953060000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR12021,0,2006-09-15,INR,1579970000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR12022,0,2006-09-15,INR,18373090000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR2,0,2006-09-15,INR,78570000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR3,0,2006-09-15,INR,7043970000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR31,0,2006-09-15,INR,7603730000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR32,0,2006-09-15,INR,-559760000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR4,0,2006-09-15,INR,3980980000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR5,0,2006-09-15,INR,1993850000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR1,0,2007-03-31,INR,31237870000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR11,0,2007-03-31,INR,8276260000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR1101,0,2007-03-31,INR,24230000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR1102,0,2007-03-31,INR,8252040000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR12,0,2007-03-31,INR,22961610000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR1201,0,2007-03-31,INR,15370000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR1202,0,2007-03-31,INR,22946230000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR12021,0,2007-03-31,INR,1494170000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR12022,0,2007-03-31,INR,21452060000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR2,0,2007-03-31,INR,81610000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR3,0,2007-03-31,INR,8255400000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR31,0,2007-03-31,INR,8661520000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR32,0,2007-03-31,INR,-406120000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR4,0,2007-03-31,INR,3842500000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2007,2006,SMSR5,0,2007-03-31,INR,2448240000000
