DATAFLOW,AUDST,COMPONTS_F_RN,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2026,2025,0,2026-03-15,INR,1218793506000
RBI:MSC_F_RN(1.0),N_A,N_A,N_A,F,2026,2025,0,2026-03-15,INR,529792695500000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2026,2025,0,2026-03-15,INR,32331090110000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2026,2025,0,2026-03-15,INR,40526594090000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2026,2025,0,2026-02-28,INR,33705735170000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2026,2025,0,2026-02-28,INR,39863340880000
RBI:MSC_F_RN(1.0),N_A,N_A,N_A,F,2026,2025,0,2026-02-28,INR,531218570700000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2026,2025,0,2026-02-28,INR,1179224306000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2026,2025,0,2026-02-15,INR,39591789590000
RBI:MSC_F_RN(1.0),N_A,N_A,N_A,F,2026,2025,0,2026-02-15,INR,524616077800000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2026,2025,0,2026-02-15,INR,31691706370000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2026,2025,0,2026-02-15,INR,1195220824000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2026,2025,0,2026-01-31,INR,32888006960000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2026,2025,0,2026-01-31,INR,1172669424000
RBI:MSC_F_RN(1.0),N_A,N_A,N_A,F,2026,2025,0,2026-01-31,INR,524942358300000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2026,2025,0,2026-01-31,INR,39067750840000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2026,2025,0,2026-01-15,INR,31376580350000
RBI:MSC_F_RN(1.0),N_A,N_A,N_A,F,2026,2025,0,2026-01-15,INR,518611990400000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2026,2025,0,2026-01-15,INR,38899347400000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2026,2025,0,2026-01-15,INR,1165788024000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2026,2025,0,2025-12-31,INR,1149985832000
RBI:MSC_F_RN(1.0),N_A,N_A,N_A,F,2026,2025,0,2025-12-31,INR,522310712200000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2026,2025,0,2025-12-31,INR,34226575560000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2026,2025,0,2025-12-31,INR,38283605330000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2026,2025,0,2025-12-15,INR,38204756280000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2026,2025,0,2025-12-15,INR,30655407560000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2026,2025,0,2025-12-15,INR,1145821194000
RBI:MSC_F_RN(1.0),N_A,N_A,N_A,F,2026,2025,0,2025-12-15,INR,511160816600000
RBI:MSC_F_RN(1.0),N_A,N_A,N_A,F,2026,2025,0,2025-10-31,INR,509134831300000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2026,2025,0,2025-10-31,INR,37205452980000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2026,2025,0,2025-10-31,INR,1151694227000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2026,2025,0,2025-10-31,INR,32458146280000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2025,2024,0,2025-03-31,INR,1133065600000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2025,2024,0,2025-03-31,INR,272271425700000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2025,2024,0,2025-03-31,INR,36307514720000
RBI:MSC_F_RN(1.0),N_A,N_A,N_A,F,2025,2024,0,2025-03-31,INR,479890975400000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2025,2024,0,2025-03-31,INR,206430618700000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2025,2024,0,2025-03-31,INR,28400226690000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2025,2024,0,2024-11-15,INR,34558816270000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2025,2024,0,2024-11-15,INR,977706578700
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2025,2024,0,2024-11-15,INR,26574449150000
RBI:MSC_F_RN(1.0),N_A,N_A,N_A,F,2025,2024,0,2024-11-15,INR,465137722800000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2025,2024,0,2024-11-15,INR,200811049700000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2025,2024,0,2024-11-15,INR,262922021700000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2025,2024,0,2024-05-31,INR,34687991230000
RBI:MSC_F_RN(1.0),N_A,N_A,N_A,F,2025,2024,0,2024-05-31,INR,450087505900000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2025,2024,0,2024-05-31,INR,26514682530000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2025,2024,0,2024-05-31,INR,911687322100
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2025,2024,0,2024-05-31,INR,255149145200000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2025,2024,0,2024-05-31,INR,193034784100000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2024,2023,0,2024-03-31,INR,34102758670000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2024,2023,0,2024-03-31,INR,25868881190000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2024,2023,0,2024-03-31,INR,248316179700000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2024,2023,0,2024-03-31,INR,187399177400000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2024,2023,0,2024-03-31,INR,945362405500
RBI:MSC_F_RN(1.0),N_A,N_A,N_A,F,2024,2023,0,2024-03-31,INR,437880206700000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2024,2023,0,2023-12-15,INR,239683406800000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2024,2023,0,2023-12-15,INR,750952415700
RBI:MSC_F_RN(1.0),N_A,N_A,N_A,F,2024,2023,0,2023-12-15,INR,423756439400000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2024,2023,0,2023-12-15,INR,32716411140000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2024,2023,0,2023-12-15,INR,24622419970000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2024,2023,0,2023-12-15,INR,181593623200000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2024,2023,0,2023-06-30,INR,175212133200000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2024,2023,0,2023-06-30,INR,786801995900
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2024,2023,0,2023-06-30,INR,234247480100000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2024,2023,0,2023-06-30,INR,25902461930000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2024,2023,0,2023-06-30,INR,32346082990000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2023,2022,0,2023-03-31,INR,223437603200000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2023,2022,0,2023-03-31,INR,23205975450000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2023,2022,0,2023-03-31,INR,32764358980000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2023,2022,0,2023-03-31,INR,777611708000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2023,2022,0,2023-03-31,INR,166689657100000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2023,2022,0,2022-07-15,INR,209108960200000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2023,2022,0,2022-07-15,INR,156534887200000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2023,2022,0,2022-07-15,INR,571923300900
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2023,2022,0,2022-07-15,INR,20950807420000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2023,2022,0,2022-07-15,INR,31051342250000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2022,2021,0,2022-03-31,INR,584441050500
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2022,2021,0,2022-03-31,INR,204937291900000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2022,2021,0,2022-03-31,INR,22129917040000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2022,2021,0,2022-03-31,INR,30356888230000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2022,2021,0,2022-03-31,INR,151866045500000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2022,2021,0,2021-12-31,INR,28811151300000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2022,2021,0,2021-12-31,INR,22060524130000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2022,2021,0,2021-12-31,INR,201140363400000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2022,2021,0,2021-12-31,INR,510454050500
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2022,2021,0,2021-12-31,INR,149758234000000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2021,2020,0,2021-03-31,INR,140502784010000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2021,2020,0,2021-03-31,INR,19951201090000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2021,2020,0,2021-03-31,INR,27518284540000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2021,2020,0,2021-03-31,INR,473507880000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2021,2020,0,2021-03-31,INR,188445777530000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2021,2020,0,2021-01-15,INR,425913471999.99994
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2021,2020,0,2021-01-15,INR,182397306328000.03
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2021,2020,0,2021-01-15,INR,27170227176000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2021,2020,0,2021-01-15,INR,16961843150000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2021,2020,0,2021-01-15,INR,137839322530000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2021,2020,0,2020-07-31,INR,16487974053000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2021,2020,0,2020-07-31,INR,176258030429000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2021,2020,0,2020-07-31,INR,397065731000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2021,2020,0,2020-07-31,INR,25762934988000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2021,2020,0,2020-07-31,INR,133610055657000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2020,2019,0,2020-03-31,INR,126740155771000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2020,2019,0,2020-03-31,INR,23497483748000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2020,2019,0,2020-03-31,INR,167999634542144.97
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2020,2019,0,2020-03-31,INR,17376923307000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2020,2019,0,2020-03-31,INR,385071717000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2020,2019,0,2020-01-31,INR,126168092928000
