DATAFLOW,AUDST,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,SOR_F_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MSS_F_RN(1.0),N_A,SF2_IM,F,2026,2025,N_A,0,2026-03-15,INR,216072509700000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2026,2025,N_A,0,2026-03-15,INR,90720102126600
RBI:MSS_F_RN(1.0),N_A,SF5_IM,F,2026,2025,N_A,0,2026-03-15,INR,77196835920000
RBI:MSS_F_RN(1.0),N_A,SF12_IM,F,2026,2025,N_A,0,2026-03-15,INR,72449860620000
RBI:MSS_F_RN(1.0),N_A,SF22_IM,F,2026,2025,N_A,0,2026-03-15,INR,215961459700000
RBI:MSS_F_RN(1.0),N_A,SF1_IM,F,2026,2025,N_A,0,2026-03-15,INR,91935220020000
RBI:MSS_F_RN(1.0),N_A,SF12_IM,F,2026,2025,N_A,0,2026-02-28,INR,72777523580000
RBI:MSS_F_RN(1.0),N_A,SF1_IM,F,2026,2025,N_A,0,2026-02-28,INR,91909377280000
RBI:MSS_F_RN(1.0),N_A,SF22_IM,F,2026,2025,N_A,0,2026-02-28,INR,215741086200000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2026,2025,N_A,0,2026-02-28,INR,91056538499600
RBI:MSS_F_RN(1.0),N_A,SF2_IM,F,2026,2025,N_A,0,2026-02-28,INR,215857018200000
RBI:MSS_F_RN(1.0),N_A,SF5_IM,F,2026,2025,N_A,0,2026-02-28,INR,76591712740000
RBI:MSS_F_RN(1.0),N_A,SF12_IM,F,2026,2025,N_A,0,2026-02-15,INR,71739713480000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2026,2025,N_A,0,2026-02-15,INR,90161884396300
RBI:MSS_F_RN(1.0),N_A,SF1_IM,F,2026,2025,N_A,0,2026-02-15,INR,90462648680000
RBI:MSS_F_RN(1.0),N_A,SF2_IM,F,2026,2025,N_A,0,2026-02-15,INR,212626577900000
RBI:MSS_F_RN(1.0),N_A,SF5_IM,F,2026,2025,N_A,0,2026-02-15,INR,75865347060000
RBI:MSS_F_RN(1.0),N_A,SF22_IM,F,2026,2025,N_A,0,2026-02-15,INR,212511146500000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2026,2025,N_A,0,2026-01-31,INR,89213405580000
RBI:MSS_F_RN(1.0),N_A,SF22_IM,F,2026,2025,N_A,0,2026-01-31,INR,212947031200000
RBI:MSS_F_RN(1.0),N_A,SF5_IM,F,2026,2025,N_A,0,2026-01-31,INR,74498177740000
RBI:MSS_F_RN(1.0),N_A,SF2_IM,F,2026,2025,N_A,0,2026-01-31,INR,213125786300000
RBI:MSS_F_RN(1.0),N_A,SF1_IM,F,2026,2025,N_A,0,2026-01-31,INR,89440378160000
RBI:MSS_F_RN(1.0),N_A,SF12_IM,F,2026,2025,N_A,0,2026-01-31,INR,71373133760000
