DATAFLOW,AUDST,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,SOUR_MS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MSS_M_RN(1.0),N_A,SMS1_IM,M,2026,2025,N_A,0,2026-01-31,INR,89440378160000
RBI:MSS_M_RN(1.0),N_A,SMS52_IM,M,2026,2025,N_A,0,2026-01-31,INR,43521344580000
RBI:MSS_M_RN(1.0),N_A,SMS2_IM,M,2026,2025,N_A,0,2026-01-31,INR,213125786300000
RBI:MSS_M_RN(1.0),N_A,SMS5_IM,M,2026,2025,N_A,0,2026-01-31,INR,74498177740000
RBI:MSS_M_RN(1.0),N_A,N_A,M,2026,2025,N_A,0,2026-01-31,INR,190755418740000
RBI:MSS_M_RN(1.0),N_A,SMS13_IM,M,2026,2025,N_A,0,2026-01-31,INR,71373133760000
RBI:MSS_M_RN(1.0),N_A,SMS22_IM,M,2026,2025,N_A,0,2026-01-31,INR,212947031200000
RBI:MSS_M_RN(1.0),N_A,SMS13_IM,M,2026,2025,N_A,0,2025-12-31,INR,72051246280000
RBI:MSS_M_RN(1.0),N_A,SMS5_IM,M,2026,2025,N_A,0,2025-12-31,INR,68356876540000
RBI:MSS_M_RN(1.0),N_A,N_A,M,2026,2025,N_A,0,2025-12-31,INR,177729953677500
RBI:MSS_M_RN(1.0),N_A,SMS1_IM,M,2026,2025,N_A,0,2025-12-31,INR,87506855080000
RBI:MSS_M_RN(1.0),N_A,SMS2_IM,M,2026,2025,N_A,0,2025-12-31,INR,211447893900000
RBI:MSS_M_RN(1.0),N_A,SMS52_IM,M,2026,2025,N_A,0,2025-12-31,INR,40661929000000
RBI:MSS_M_RN(1.0),N_A,SMS22_IM,M,2026,2025,N_A,0,2025-12-31,INR,211244677400000
RBI:MSS_M_RN(1.0),N_A,SMS1_IM,M,2026,2025,N_A,0,2025-11-28,INR,88496348320000
RBI:MSS_M_RN(1.0),N_A,SMS13_IM,M,2026,2025,N_A,0,2025-11-28,INR,72054773920000
RBI:MSS_M_RN(1.0),N_A,SMS2_IM,M,2026,2025,N_A,0,2025-11-28,INR,203384186700000
RBI:MSS_M_RN(1.0),N_A,SMS52_IM,M,2026,2025,N_A,0,2025-11-28,INR,39811338140000
RBI:MSS_M_RN(1.0),N_A,N_A,M,2026,2025,N_A,0,2025-11-28,INR,174401463553485.7
RBI:MSS_M_RN(1.0),N_A,SMS5_IM,M,2026,2025,N_A,0,2025-11-28,INR,66358855470000
RBI:MSS_M_RN(1.0),N_A,SMS22_IM,M,2026,2025,N_A,0,2025-11-28,INR,203267174700000
RBI:MSS_M_RN(1.0),N_A,N_A,M,2026,2025,N_A,0,2025-10-31,INR,172075350221871.38
RBI:MSS_M_RN(1.0),N_A,SMS1_IM,M,2026,2025,N_A,0,2025-10-31,INR,87398697470000
RBI:MSS_M_RN(1.0),N_A,SMS22_IM,M,2026,2025,N_A,0,2025-10-31,INR,201901458653000
RBI:MSS_M_RN(1.0),N_A,SMS13_IM,M,2026,2025,N_A,0,2025-10-31,INR,72099583970000
RBI:MSS_M_RN(1.0),N_A,SMS5_IM,M,2026,2025,N_A,0,2025-10-31,INR,65178743390000
RBI:MSS_M_RN(1.0),N_A,SMS2_IM,M,2026,2025,N_A,0,2025-10-31,INR,202037489453000.03
RBI:MSS_M_RN(1.0),N_A,SMS52_IM,M,2026,2025,N_A,0,2025-10-31,INR,39581463560000
RBI:MSS_M_RN(1.0),N_A,SMS52_IM,M,2026,2025,N_A,0,2025-09-19,INR,40226466780000
RBI:MSS_M_RN(1.0),N_A,N_A,M,2026,2025,N_A,0,2025-09-19,INR,170377550262500
RBI:MSS_M_RN(1.0),N_A,SMS2_IM,M,2026,2025,N_A,0,2025-09-19,INR,197095751800000
RBI:MSS_M_RN(1.0),N_A,SMS22_IM,M,2026,2025,N_A,0,2025-09-19,INR,196939058200000
RBI:MSS_M_RN(1.0),N_A,SMS13_IM,M,2026,2025,N_A,0,2025-09-19,INR,71658140090000
RBI:MSS_M_RN(1.0),N_A,SMS1_IM,M,2026,2025,N_A,0,2025-09-19,INR,84903093390000
RBI:MSS_M_RN(1.0),N_A,SMS5_IM,M,2026,2025,N_A,0,2025-09-19,INR,64859608180000
RBI:MSS_M_RN(1.0),N_A,N_A,M,2026,2025,N_A,0,2025-08-22,INR,167862527062700
RBI:MSS_M_RN(1.0),N_A,SMS1_IM,M,2026,2025,N_A,0,2025-08-22,INR,85859432490000
RBI:MSS_M_RN(1.0),N_A,SMS5_IM,M,2026,2025,N_A,0,2025-08-22,INR,62322620320000
RBI:MSS_M_RN(1.0),N_A,SMS22_IM,M,2026,2025,N_A,0,2025-08-22,INR,194364393000000
