DATAFLOW,AUDST,DENOMITIN_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,1986,1985,0,1986-03-31,INR,3660000000
RBI:NOT_COIN_RN(1.0),N_A,NCC02,AFY,1986,1985,0,1986-03-31,INR,2380000000
RBI:NOT_COIN_RN(1.0),N_A,NCC03,AFY,1986,1985,0,1986-03-31,INR,3080000000
RBI:NOT_COIN_RN(1.0),N_A,NCC05,AFY,1986,1985,0,1986-03-31,INR,200000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,1986,1985,0,1986-03-31,INR,6500000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,1986,1985,0,1986-03-31,INR,13030000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,1986,1985,0,1986-03-31,INR,25360000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,1986,1985,0,1986-03-31,INR,17840000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,1986,1985,0,1986-03-31,INR,43100000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,1986,1985,0,1986-03-31,INR,150180000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,1987,1986,0,1987-03-31,INR,4390000000
RBI:NOT_COIN_RN(1.0),N_A,NCC02,AFY,1987,1986,0,1987-03-31,INR,3010000000
RBI:NOT_COIN_RN(1.0),N_A,NCC03,AFY,1987,1986,0,1987-03-31,INR,4230000000
RBI:NOT_COIN_RN(1.0),N_A,NCC05,AFY,1987,1986,0,1987-03-31,INR,170000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,1987,1986,0,1987-03-31,INR,6830000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,1987,1986,0,1987-03-31,INR,12870000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,1987,1986,0,1987-03-31,INR,25100000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,1987,1986,0,1987-03-31,INR,18990000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,1987,1986,0,1987-03-31,INR,52470000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,1987,1986,0,1987-03-31,INR,171160000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,1988,1987,0,1988-03-31,INR,4980000000
RBI:NOT_COIN_RN(1.0),N_A,NCC02,AFY,1988,1987,0,1988-03-31,INR,3520000000
RBI:NOT_COIN_RN(1.0),N_A,NCC03,AFY,1988,1987,0,1988-03-31,INR,5010000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,1988,1987,0,1988-03-31,INR,6530000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,1988,1987,0,1988-03-31,INR,14290000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,1988,1987,0,1988-03-31,INR,28250000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,1988,1987,0,1988-03-31,INR,23310000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,1988,1987,0,1988-03-31,INR,72670000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,1988,1987,0,1988-03-31,INR,190770000000
RBI:NOT_COIN_RN(1.0),N_A,NCC14,AFY,1988,1987,0,1988-03-31,INR,1800000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,1989,1988,0,1989-03-31,INR,5390000000
RBI:NOT_COIN_RN(1.0),N_A,NCC02,AFY,1989,1988,0,1989-03-31,INR,3600000000
RBI:NOT_COIN_RN(1.0),N_A,NCC03,AFY,1989,1988,0,1989-03-31,INR,5470000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,1989,1988,0,1989-03-31,INR,6810000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,1989,1988,0,1989-03-31,INR,14820000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,1989,1988,0,1989-03-31,INR,29960000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,1989,1988,0,1989-03-31,INR,26130000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,1989,1988,0,1989-03-31,INR,94590000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,1989,1988,0,1989-03-31,INR,212080000000
RBI:NOT_COIN_RN(1.0),N_A,NCC14,AFY,1989,1988,0,1989-03-31,INR,2300000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,1990,1989,0,1990-03-31,INR,6400000000
RBI:NOT_COIN_RN(1.0),N_A,NCC02,AFY,1990,1989,0,1990-03-31,INR,3480000000
RBI:NOT_COIN_RN(1.0),N_A,NCC03,AFY,1990,1989,0,1990-03-31,INR,5830000000
RBI:NOT_COIN_RN(1.0),N_A,NCC05,AFY,1990,1989,0,1990-03-31,INR,200000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,1990,1989,0,1990-03-31,INR,8040000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,1990,1989,0,1990-03-31,INR,17390000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,1990,1989,0,1990-03-31,INR,35150000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,1990,1989,0,1990-03-31,INR,31000000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,1990,1989,0,1990-03-31,INR,125530000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,1990,1989,0,1990-03-31,INR,237780000000
RBI:NOT_COIN_RN(1.0),N_A,NCC14,AFY,1990,1989,0,1990-03-31,INR,12570000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,1991,1990,0,1991-03-31,INR,6850000000
RBI:NOT_COIN_RN(1.0),N_A,NCC02,AFY,1991,1990,0,1991-03-31,INR,3350000000
RBI:NOT_COIN_RN(1.0),N_A,NCC03,AFY,1991,1990,0,1991-03-31,INR,6160000000
RBI:NOT_COIN_RN(1.0),N_A,NCC04,AFY,1991,1990,0,1991-03-31,INR,230000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,1991,1990,0,1991-03-31,INR,8830000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,1991,1990,0,1991-03-31,INR,18100000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,1991,1990,0,1991-03-31,INR,37850000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,1991,1990,0,1991-03-31,INR,29520000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,1991,1990,0,1991-03-31,INR,148120000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,1991,1990,0,1991-03-31,INR,245700000000
RBI:NOT_COIN_RN(1.0),N_A,NCC14,AFY,1991,1990,0,1991-03-31,INR,21770000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,1992,1991,0,1992-03-31,INR,7290000000
RBI:NOT_COIN_RN(1.0),N_A,NCC04,AFY,1992,1991,0,1992-03-31,INR,100000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,1992,1991,0,1992-03-31,INR,9420000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,1992,1991,0,1992-03-31,INR,24000000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,1992,1991,0,1992-03-31,INR,52020000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,1992,1991,0,1992-03-31,INR,27430000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,1992,1991,0,1992-03-31,INR,177190000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,1992,1991,0,1992-03-31,INR,322660000000
