DATAFLOW,ASET_ITEMS_RN,AUDST,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_ASSET_M_RN(1.0),AI11,N_A,M,2027,2026,0,2026-05-29,INR,7024312700000
RBI:RBI_ASSET_M_RN(1.0),A2,N_A,M,2027,2026,0,2026-05-29,INR,42570671600000
RBI:RBI_ASSET_M_RN(1.0),AI1102,N_A,M,2027,2026,0,2026-05-29,INR,119920800000.001
RBI:RBI_ASSET_M_RN(1.0),AI081,N_A,M,2027,2026,0,2026-05-29,INR,0.0
RBI:RBI_ASSET_M_RN(1.0),AI01,N_A,M,2027,2026,0,2026-05-29,INR,3795047000000
RBI:RBI_ASSET_M_RN(1.0),AI04,N_A,M,2027,2026,0,2026-05-29,INR,0.0
RBI:RBI_ASSET_M_RN(1.0),AI071,N_A,M,2027,2026,0,2026-05-29,INR,0.0
RBI:RBI_ASSET_M_RN(1.0),AI05,N_A,M,2027,2026,0,2026-05-29,INR,169100000
RBI:RBI_ASSET_M_RN(1.0),AI078,N_A,M,2027,2026,0,2026-05-29,INR,130820300000
RBI:RBI_ASSET_M_RN(1.0),AI076,N_A,M,2027,2026,0,2026-05-29,INR,0.0
RBI:RBI_ASSET_M_RN(1.0),AI03,N_A,M,2027,2026,0,2026-05-29,INR,3718500000
RBI:RBI_ASSET_M_RN(1.0),A1,N_A,M,2027,2026,0,2026-05-29,INR,45412011300000
RBI:RBI_ASSET_M_RN(1.0),AI02,N_A,M,2027,2026,0,2026-05-29,INR,38771906100000
RBI:RBI_ASSET_M_RN(1.0),AI079,N_A,M,2027,2026,0,2026-05-29,INR,1181103000000
RBI:RBI_ASSET_M_RN(1.0),AI07,N_A,M,2027,2026,0,2026-05-29,INR,2334825600000
RBI:RBI_ASSET_M_RN(1.0),AI08,N_A,M,2027,2026,0,2026-05-29,INR,0.0
RBI:RBI_ASSET_M_RN(1.0),AI10,N_A,M,2027,2026,0,2026-05-29,INR,22654999200000
RBI:RBI_ASSET_M_RN(1.0),AI073,N_A,M,2027,2026,0,2026-05-29,INR,922270000000
RBI:RBI_ASSET_M_RN(1.0),AI074,N_A,M,2027,2026,0,2026-05-29,INR,0.0
RBI:RBI_ASSET_M_RN(1.0),AI1101,N_A,M,2027,2026,0,2026-05-29,INR,6904391899999.999
RBI:RBI_ASSET_M_RN(1.0),AI072,N_A,M,2027,2026,0,2026-05-29,INR,100632300000
RBI:RBI_ASSET_M_RN(1.0),AI06,N_A,M,2027,2026,0,2026-05-29,INR,13397704700000
RBI:RBI_ASSET_M_RN(1.0),AI10,N_A,M,2027,2026,0,2026-04-24,INR,22756749600000
RBI:RBI_ASSET_M_RN(1.0),AI074,N_A,M,2027,2026,0,2026-04-24,INR,0.0
RBI:RBI_ASSET_M_RN(1.0),AI06,N_A,M,2027,2026,0,2026-04-24,INR,14514017300000
RBI:RBI_ASSET_M_RN(1.0),AI1102,N_A,M,2027,2026,0,2026-04-24,INR,93681700000
RBI:RBI_ASSET_M_RN(1.0),AI079,N_A,M,2027,2026,0,2026-04-24,INR,1207024400000
RBI:RBI_ASSET_M_RN(1.0),AI076,N_A,M,2027,2026,0,2026-04-24,INR,0.0
RBI:RBI_ASSET_M_RN(1.0),A2,N_A,M,2027,2026,0,2026-04-24,INR,42067268800000
RBI:RBI_ASSET_M_RN(1.0),AI05,N_A,M,2027,2026,0,2026-04-24,INR,161000000
RBI:RBI_ASSET_M_RN(1.0),AI078,N_A,M,2027,2026,0,2026-04-24,INR,90409100000
RBI:RBI_ASSET_M_RN(1.0),AI01,N_A,M,2027,2026,0,2026-04-24,INR,4018972600000
RBI:RBI_ASSET_M_RN(1.0),AI081,N_A,M,2027,2026,0,2026-04-24,INR,0.0
RBI:RBI_ASSET_M_RN(1.0),AI1101,N_A,M,2027,2026,0,2026-04-24,INR,7311783400000
RBI:RBI_ASSET_M_RN(1.0),AI11,N_A,M,2027,2026,0,2026-04-24,INR,7405465100000
