DATAFLOW,ASET_ITEMS_RN,AUDST,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_ASSET_W_RN(1.0),AI01,N_A,W,2026,2025,0,2026-03-27,INR,3814631200000
RBI:RBI_ASSET_W_RN(1.0),AI1102,N_A,W,2026,2025,0,2026-03-27,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI071,N_A,W,2026,2025,0,2026-03-27,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI1101,N_A,W,2026,2025,0,2026-03-27,INR,6943891899999.999
RBI:RBI_ASSET_W_RN(1.0),AI07,N_A,W,2026,2025,0,2026-03-27,INR,3862178800000
RBI:RBI_ASSET_W_RN(1.0),A1,N_A,W,2026,2025,0,2026-03-27,INR,48967633100000.01
RBI:RBI_ASSET_W_RN(1.0),AI076,N_A,W,2026,2025,0,2026-03-27,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI079,N_A,W,2026,2025,0,2026-03-27,INR,1699867100000
RBI:RBI_ASSET_W_RN(1.0),AI078,N_A,W,2026,2025,0,2026-03-27,INR,203273800000
RBI:RBI_ASSET_W_RN(1.0),AI073,N_A,W,2026,2025,0,2026-03-27,INR,1736360000000
RBI:RBI_ASSET_W_RN(1.0),AI072,N_A,W,2026,2025,0,2026-03-27,INR,222677900000
RBI:RBI_ASSET_W_RN(1.0),A2,N_A,W,2026,2025,0,2026-03-27,INR,41260314000000
RBI:RBI_ASSET_W_RN(1.0),AI01,N_A,W,2026,2025,0,2026-03-20,INR,3893235400000
RBI:RBI_ASSET_W_RN(1.0),AI072,N_A,W,2026,2025,0,2026-03-20,INR,212128000000
RBI:RBI_ASSET_W_RN(1.0),AI076,N_A,W,2026,2025,0,2026-03-20,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI073,N_A,W,2026,2025,0,2026-03-20,INR,1860570000000
RBI:RBI_ASSET_W_RN(1.0),AI07,N_A,W,2026,2025,0,2026-03-20,INR,3959346700000
RBI:RBI_ASSET_W_RN(1.0),A1,N_A,W,2026,2025,0,2026-03-20,INR,49657749200000
RBI:RBI_ASSET_W_RN(1.0),AI1101,N_A,W,2026,2025,0,2026-03-20,INR,7086977600000
RBI:RBI_ASSET_W_RN(1.0),A2,N_A,W,2026,2025,0,2026-03-20,INR,41136261400000
RBI:RBI_ASSET_W_RN(1.0),AI078,N_A,W,2026,2025,0,2026-03-20,INR,151023500000
RBI:RBI_ASSET_W_RN(1.0),AI071,N_A,W,2026,2025,0,2026-03-20,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI079,N_A,W,2026,2025,0,2026-03-20,INR,1735625200000
RBI:RBI_ASSET_W_RN(1.0),AI1102,N_A,W,2026,2025,0,2026-03-20,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI073,N_A,W,2026,2025,0,2026-03-13,INR,1145930000000
RBI:RBI_ASSET_W_RN(1.0),A1,N_A,W,2026,2025,0,2026-03-13,INR,48843659900000
RBI:RBI_ASSET_W_RN(1.0),AI07,N_A,W,2026,2025,0,2026-03-13,INR,3149251500000
RBI:RBI_ASSET_W_RN(1.0),AI071,N_A,W,2026,2025,0,2026-03-13,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI076,N_A,W,2026,2025,0,2026-03-13,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI1101,N_A,W,2026,2025,0,2026-03-13,INR,7797903000000
RBI:RBI_ASSET_W_RN(1.0),AI01,N_A,W,2026,2025,0,2026-03-13,INR,4283792700000
RBI:RBI_ASSET_W_RN(1.0),A2,N_A,W,2026,2025,0,2026-03-13,INR,40913376400000
RBI:RBI_ASSET_W_RN(1.0),AI072,N_A,W,2026,2025,0,2026-03-13,INR,214123300000.00003
RBI:RBI_ASSET_W_RN(1.0),AI1102,N_A,W,2026,2025,0,2026-03-13,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI078,N_A,W,2026,2025,0,2026-03-13,INR,90414000000
RBI:RBI_ASSET_W_RN(1.0),AI079,N_A,W,2026,2025,0,2026-03-13,INR,1698784200000.0002
RBI:RBI_ASSET_W_RN(1.0),AI076,N_A,W,2026,2025,0,2026-03-06,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI079,N_A,W,2026,2025,0,2026-03-06,INR,1662103200000
RBI:RBI_ASSET_W_RN(1.0),A1,N_A,W,2026,2025,0,2026-03-06,INR,48783046700000
RBI:RBI_ASSET_W_RN(1.0),AI071,N_A,W,2026,2025,0,2026-03-06,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI01,N_A,W,2026,2025,0,2026-03-06,INR,4228976500000
RBI:RBI_ASSET_W_RN(1.0),A2,N_A,W,2026,2025,0,2026-03-06,INR,40577869400000
RBI:RBI_ASSET_W_RN(1.0),AI07,N_A,W,2026,2025,0,2026-03-06,INR,3283264400000
RBI:RBI_ASSET_W_RN(1.0),AI073,N_A,W,2026,2025,0,2026-03-06,INR,1158780000000
RBI:RBI_ASSET_W_RN(1.0),AI072,N_A,W,2026,2025,0,2026-03-06,INR,367081200000
RBI:RBI_ASSET_W_RN(1.0),AI1102,N_A,W,2026,2025,0,2026-03-06,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI078,N_A,W,2026,2025,0,2026-03-06,INR,95300000000
RBI:RBI_ASSET_W_RN(1.0),AI1101,N_A,W,2026,2025,0,2026-03-06,INR,7698137600000
RBI:RBI_ASSET_W_RN(1.0),AI06,N_A,W,2026,2025,0,2026-02-27,INR,16323290000000
RBI:RBI_ASSET_W_RN(1.0),AI01,N_A,W,2026,2025,0,2026-02-27,INR,4246010000000
RBI:RBI_ASSET_W_RN(1.0),AI078,N_A,W,2026,2025,0,2026-02-27,INR,95300000000
RBI:RBI_ASSET_W_RN(1.0),AI1102,N_A,W,2026,2025,0,2026-02-27,INR,330260000000
RBI:RBI_ASSET_W_RN(1.0),AI074,N_A,W,2026,2025,0,2026-02-27,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),A2,N_A,W,2026,2025,0,2026-02-27,INR,40348430000000
RBI:RBI_ASSET_W_RN(1.0),AI11,N_A,W,2026,2025,0,2026-02-27,INR,8059410000000
RBI:RBI_ASSET_W_RN(1.0),AI076,N_A,W,2026,2025,0,2026-02-27,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI071,N_A,W,2026,2025,0,2026-02-27,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI05,N_A,W,2026,2025,0,2026-02-27,INR,110000000
RBI:RBI_ASSET_W_RN(1.0),AI04,N_A,W,2026,2025,0,2026-02-27,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI079,N_A,W,2026,2025,0,2026-02-27,INR,1909670000000
RBI:RBI_ASSET_W_RN(1.0),AI10,N_A,W,2026,2025,0,2026-02-27,INR,21360740000000
RBI:RBI_ASSET_W_RN(1.0),AI072,N_A,W,2026,2025,0,2026-02-27,INR,97870000000
RBI:RBI_ASSET_W_RN(1.0),A1,N_A,W,2026,2025,0,2026-02-27,INR,49100480000000
RBI:RBI_ASSET_W_RN(1.0),AI02,N_A,W,2026,2025,0,2026-02-27,INR,36098930000000
RBI:RBI_ASSET_W_RN(1.0),AI1101,N_A,W,2026,2025,0,2026-02-27,INR,7729150000000
RBI:RBI_ASSET_W_RN(1.0),AI07,N_A,W,2026,2025,0,2026-02-27,INR,3356940000000
RBI:RBI_ASSET_W_RN(1.0),AI03,N_A,W,2026,2025,0,2026-02-27,INR,3490000000
RBI:RBI_ASSET_W_RN(1.0),AI073,N_A,W,2026,2025,0,2026-02-27,INR,1254100000000
RBI:RBI_ASSET_W_RN(1.0),AI079,N_A,W,2026,2025,0,2026-02-20,INR,1815960000000
RBI:RBI_ASSET_W_RN(1.0),AI07,N_A,W,2026,2025,0,2026-02-20,INR,3325870000000
RBI:RBI_ASSET_W_RN(1.0),AI072,N_A,W,2026,2025,0,2026-02-20,INR,169530000000
RBI:RBI_ASSET_W_RN(1.0),AI02,N_A,W,2026,2025,0,2026-02-20,INR,36016970000000
RBI:RBI_ASSET_W_RN(1.0),AI03,N_A,W,2026,2025,0,2026-02-20,INR,4460000000
RBI:RBI_ASSET_W_RN(1.0),AI10,N_A,W,2026,2025,0,2026-02-20,INR,21196720000000
RBI:RBI_ASSET_W_RN(1.0),AI06,N_A,W,2026,2025,0,2026-02-20,INR,16360380000000
RBI:RBI_ASSET_W_RN(1.0),AI05,N_A,W,2026,2025,0,2026-02-20,INR,140000000
RBI:RBI_ASSET_W_RN(1.0),AI1101,N_A,W,2026,2025,0,2026-02-20,INR,7486930000000
RBI:RBI_ASSET_W_RN(1.0),A1,N_A,W,2026,2025,0,2026-02-20,INR,48682870000000
RBI:RBI_ASSET_W_RN(1.0),AI11,N_A,W,2026,2025,0,2026-02-20,INR,7799750000000
RBI:RBI_ASSET_W_RN(1.0),AI1102,N_A,W,2026,2025,0,2026-02-20,INR,312820000000
RBI:RBI_ASSET_W_RN(1.0),A2,N_A,W,2026,2025,0,2026-02-20,INR,40134380000000
RBI:RBI_ASSET_W_RN(1.0),AI04,N_A,W,2026,2025,0,2026-02-20,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI073,N_A,W,2026,2025,0,2026-02-20,INR,1252390000000
RBI:RBI_ASSET_W_RN(1.0),AI078,N_A,W,2026,2025,0,2026-02-20,INR,87990000000
RBI:RBI_ASSET_W_RN(1.0),AI076,N_A,W,2026,2025,0,2026-02-20,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI071,N_A,W,2026,2025,0,2026-02-20,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI074,N_A,W,2026,2025,0,2026-02-20,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI01,N_A,W,2026,2025,0,2026-02-20,INR,4112950000000
RBI:RBI_ASSET_W_RN(1.0),AI076,N_A,W,2026,2025,0,2026-02-13,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI01,N_A,W,2026,2025,0,2026-02-13,INR,4128891000000
RBI:RBI_ASSET_W_RN(1.0),A1,N_A,W,2026,2025,0,2026-02-13,INR,48711732400000
RBI:RBI_ASSET_W_RN(1.0),AI079,N_A,W,2026,2025,0,2026-02-13,INR,1753384500000
RBI:RBI_ASSET_W_RN(1.0),AI10,N_A,W,2026,2025,0,2026-02-13,INR,21190060000000
RBI:RBI_ASSET_W_RN(1.0),AI1102,N_A,W,2026,2025,0,2026-02-13,INR,306931200000
RBI:RBI_ASSET_W_RN(1.0),AI05,N_A,W,2026,2025,0,2026-02-13,INR,100000000
RBI:RBI_ASSET_W_RN(1.0),AI07,N_A,W,2026,2025,0,2026-02-13,INR,3330856700000
RBI:RBI_ASSET_W_RN(1.0),AI074,N_A,W,2026,2025,0,2026-02-13,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI078,N_A,W,2026,2025,0,2026-02-13,INR,94795400000.00002
RBI:RBI_ASSET_W_RN(1.0),AI072,N_A,W,2026,2025,0,2026-02-13,INR,215756800000
RBI:RBI_ASSET_W_RN(1.0),AI06,N_A,W,2026,2025,0,2026-02-13,INR,16367830000000
RBI:RBI_ASSET_W_RN(1.0),A2,N_A,W,2026,2025,0,2026-02-13,INR,40041613200000
RBI:RBI_ASSET_W_RN(1.0),AI03,N_A,W,2026,2025,0,2026-02-13,INR,5140000000
RBI:RBI_ASSET_W_RN(1.0),AI1101,N_A,W,2026,2025,0,2026-02-13,INR,7515948800000
RBI:RBI_ASSET_W_RN(1.0),AI04,N_A,W,2026,2025,0,2026-02-13,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI02,N_A,W,2026,2025,0,2026-02-13,INR,35907590000000
RBI:RBI_ASSET_W_RN(1.0),AI11,N_A,W,2026,2025,0,2026-02-13,INR,7822880000000
RBI:RBI_ASSET_W_RN(1.0),AI071,N_A,W,2026,2025,0,2026-02-13,INR,0.0
RBI:RBI_ASSET_W_RN(1.0),AI073,N_A,W,2026,2025,0,2026-02-13,INR,1266920000000
RBI:RBI_ASSET_W_RN(1.0),AI11,N_A,W,2026,2025,0,2026-02-06,INR,7529170000000
RBI:RBI_ASSET_W_RN(1.0),AI1101,N_A,W,2026,2025,0,2026-02-06,INR,7225020800000
