DATAFLOW,ASET_ITEMS_RN,AUDST,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_ASSET_A_RN(1.0),A2,N_A,AFY,2025,2024,0,2025-03-31,INR,36878265000000.01
RBI:RBI_ASSET_A_RN(1.0),AI03,N_A,AFY,2025,2024,0,2025-03-31,INR,3287600000
RBI:RBI_ASSET_A_RN(1.0),AI071,N_A,AFY,2025,2024,0,2025-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI074,N_A,AFY,2025,2024,0,2025-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI08,N_A,AFY,2025,2024,0,2025-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI073,N_A,AFY,2025,2024,0,2025-03-31,INR,2536630000000
RBI:RBI_ASSET_A_RN(1.0),A1,N_A,AFY,2025,2024,0,2025-03-31,INR,39375948900000
RBI:RBI_ASSET_A_RN(1.0),AI01,N_A,AFY,2025,2024,0,2025-03-31,INR,2365370000000
RBI:RBI_ASSET_A_RN(1.0),AI072,N_A,AFY,2025,2024,0,2025-03-31,INR,326880900000
RBI:RBI_ASSET_A_RN(1.0),AI082,N_A,AFY,2025,2024,0,2025-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI02,N_A,AFY,2025,2024,0,2025-03-31,INR,34509607400000.004
RBI:RBI_ASSET_A_RN(1.0),AI07,N_A,AFY,2025,2024,0,2025-03-31,INR,4347102400000
RBI:RBI_ASSET_A_RN(1.0),AI05,N_A,AFY,2025,2024,0,2025-03-31,INR,112600000
RBI:RBI_ASSET_A_RN(1.0),AI11,N_A,AFY,2025,2024,0,2025-03-31,INR,5096638600000
RBI:RBI_ASSET_A_RN(1.0),AI076,N_A,AFY,2025,2024,0,2025-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI10,N_A,AFY,2025,2024,0,2025-03-31,INR,15606374300000
RBI:RBI_ASSET_A_RN(1.0),AI1101,N_A,AFY,2025,2024,0,2025-03-31,INR,4316248000000
RBI:RBI_ASSET_A_RN(1.0),AI06,N_A,AFY,2025,2024,0,2025-03-31,INR,14325721000000
RBI:RBI_ASSET_A_RN(1.0),AI1102,N_A,AFY,2025,2024,0,2025-03-31,INR,780390600000
RBI:RBI_ASSET_A_RN(1.0),AI081,N_A,AFY,2025,2024,0,2025-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI078,N_A,AFY,2025,2024,0,2025-03-31,INR,1483591500000
RBI:RBI_ASSET_A_RN(1.0),AI04,N_A,AFY,2025,2024,0,2025-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI081,N_A,AFY,2024,2023,0,2024-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),A1,N_A,AFY,2024,2023,0,2024-03-31,INR,35696637100000
RBI:RBI_ASSET_A_RN(1.0),AI06,N_A,AFY,2024,2023,0,2024-03-31,INR,14890814200000
RBI:RBI_ASSET_A_RN(1.0),AI071,N_A,AFY,2024,2023,0,2024-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI07,N_A,AFY,2024,2023,0,2024-03-31,INR,3755934900000
RBI:RBI_ASSET_A_RN(1.0),AI1101,N_A,AFY,2024,2023,0,2024-03-31,INR,2747142700000
RBI:RBI_ASSET_A_RN(1.0),AI078,N_A,AFY,2024,2023,0,2024-03-31,INR,1756525500000
RBI:RBI_ASSET_A_RN(1.0),AI073,N_A,AFY,2024,2023,0,2024-03-31,INR,1933410000000
RBI:RBI_ASSET_A_RN(1.0),AI1102,N_A,AFY,2024,2023,0,2024-03-31,INR,648318300000
RBI:RBI_ASSET_A_RN(1.0),AI082,N_A,AFY,2024,2023,0,2024-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI10,N_A,AFY,2024,2023,0,2024-03-31,INR,13654325700000
RBI:RBI_ASSET_A_RN(1.0),A2,N_A,AFY,2024,2023,0,2024-03-31,INR,34780395000000
RBI:RBI_ASSET_A_RN(1.0),AI074,N_A,AFY,2024,2023,0,2024-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI04,N_A,AFY,2024,2023,0,2024-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI03,N_A,AFY,2024,2023,0,2024-03-31,INR,4585400000
RBI:RBI_ASSET_A_RN(1.0),AI072,N_A,AFY,2024,2023,0,2024-03-31,INR,65999399999.99999
RBI:RBI_ASSET_A_RN(1.0),AI076,N_A,AFY,2024,2023,0,2024-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI11,N_A,AFY,2024,2023,0,2024-03-31,INR,3395461000000
RBI:RBI_ASSET_A_RN(1.0),AI02,N_A,AFY,2024,2023,0,2024-03-31,INR,33129760500000
RBI:RBI_ASSET_A_RN(1.0),AI05,N_A,AFY,2024,2023,0,2024-03-31,INR,101300000
RBI:RBI_ASSET_A_RN(1.0),AI08,N_A,AFY,2024,2023,0,2024-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI01,N_A,AFY,2024,2023,0,2024-03-31,INR,1646049100000
RBI:RBI_ASSET_A_RN(1.0),AI073,N_A,AFY,2023,2022,0,2023-03-31,INR,1127313400000
RBI:RBI_ASSET_A_RN(1.0),AI07,N_A,AFY,2023,2022,0,2023-03-31,INR,2888135300000
RBI:RBI_ASSET_A_RN(1.0),AI072,N_A,AFY,2023,2022,0,2023-03-31,INR,7917200000
RBI:RBI_ASSET_A_RN(1.0),AI076,N_A,AFY,2023,2022,0,2023-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI02,N_A,AFY,2023,2022,0,2023-03-31,INR,32072017799999.996
RBI:RBI_ASSET_A_RN(1.0),A2,N_A,AFY,2023,2022,0,2023-03-31,INR,33482446699999.996
RBI:RBI_ASSET_A_RN(1.0),A1,N_A,AFY,2023,2022,0,2023-03-31,INR,29965115700000
RBI:RBI_ASSET_A_RN(1.0),AI082,N_A,AFY,2023,2022,0,2023-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI071,N_A,AFY,2023,2022,0,2023-03-31,INR,486770000000
RBI:RBI_ASSET_A_RN(1.0),AI11,N_A,AFY,2023,2022,0,2023-03-31,INR,2902087900000
RBI:RBI_ASSET_A_RN(1.0),AI078,N_A,AFY,2023,2022,0,2023-03-31,INR,1266134700000
RBI:RBI_ASSET_A_RN(1.0),AI05,N_A,AFY,2023,2022,0,2023-03-31,INR,95000000
RBI:RBI_ASSET_A_RN(1.0),AI03,N_A,AFY,2023,2022,0,2023-03-31,INR,2772900000
RBI:RBI_ASSET_A_RN(1.0),AI04,N_A,AFY,2023,2022,0,2023-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI06,N_A,AFY,2023,2022,0,2023-03-31,INR,10089932600000
RBI:RBI_ASSET_A_RN(1.0),AI081,N_A,AFY,2023,2022,0,2023-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI074,N_A,AFY,2023,2022,0,2023-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI1102,N_A,AFY,2023,2022,0,2023-03-31,INR,594747900000
RBI:RBI_ASSET_A_RN(1.0),AI1101,N_A,AFY,2023,2022,0,2023-03-31,INR,2307340000000
RBI:RBI_ASSET_A_RN(1.0),AI10,N_A,AFY,2023,2022,0,2023-03-31,INR,14084864900000
RBI:RBI_ASSET_A_RN(1.0),AI08,N_A,AFY,2023,2022,0,2023-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI01,N_A,AFY,2023,2022,0,2023-03-31,INR,1407656000000
RBI:RBI_ASSET_A_RN(1.0),AI081,N_A,AFY,2022,2021,0,2022-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI01,N_A,AFY,2022,2021,0,2022-03-31,INR,1253489800000
RBI:RBI_ASSET_A_RN(1.0),AI02,N_A,AFY,2022,2021,0,2022-03-31,INR,29798632900000
RBI:RBI_ASSET_A_RN(1.0),AI05,N_A,AFY,2022,2021,0,2022-03-31,INR,171300000
RBI:RBI_ASSET_A_RN(1.0),AI03,N_A,AFY,2022,2021,0,2022-03-31,INR,5082900000
RBI:RBI_ASSET_A_RN(1.0),AI076,N_A,AFY,2022,2021,0,2022-03-31,INR,230101000000
