DATAFLOW,AUDST,FREQ,LIAB_ITEMS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI34,2025,2024,0,2025-03-31,INR,9260014300000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LIA,2025,2024,0,2025-03-31,INR,39375948900000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI4,2025,2024,0,2025-03-31,INR,22201908600000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI33,2025,2024,0,2025-03-31,INR,424800000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI31,2025,2024,0,2025-03-31,INR,50008500000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI35,2025,2024,0,2025-03-31,INR,84395000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI3,2025,2024,0,2025-03-31,INR,17174040300000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,NT_ISSU_TTL,2025,2024,0,2025-03-31,INR,36878270400000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI1,2025,2024,0,2025-03-31,INR,36867993900000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI36,2025,2024,0,2025-03-31,INR,65690700000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI2,2025,2024,0,2025-03-31,INR,111900000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI37,2025,2024,0,2025-03-31,INR,504784900000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI38,2025,2024,0,2025-03-31,INR,7208722100000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI33,2024,2023,0,2024-03-31,INR,424600000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,NT_ISSU_TTL,2024,2023,0,2024-03-31,INR,34780395000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI34,2024,2023,0,2024-03-31,INR,9560106400000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LIA,2024,2023,0,2024-03-31,INR,35696637100000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI3,2024,2023,0,2024-03-31,INR,17198385600000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI2,2024,2023,0,2024-03-31,INR,100600000
