DATAFLOW,AUDST,FREQ,LIAB_ITEMS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI1,2026,2025,0,2026-02-27,INR,40348320400000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI38,2026,2025,0,2026-02-27,INR,7796450800000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI31,2026,2025,0,2026-02-27,INR,1004000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI37,2026,2025,0,2026-02-27,INR,383228600000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI39,2026,2025,0,2026-02-27,INR,1908037000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI35,2026,2025,0,2026-02-27,INR,71187900000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LIA,2026,2025,0,2026-02-27,INR,49100477300000.01
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI32,2026,2025,0,2026-02-27,INR,0.0
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI34,2026,2025,0,2026-02-27,INR,7394200699999.999
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI4,2026,2025,0,2026-02-27,INR,31501498100000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI2,2026,2025,0,2026-02-27,INR,109500000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,NT_ISSU_TTL,2026,2025,0,2026-02-27,INR,40348429900000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI36,2026,2025,0,2026-02-27,INR,44436200000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI33,2026,2025,0,2026-02-27,INR,434000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI3,2026,2025,0,2026-01-30,INR,17061427600000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI32,2026,2025,0,2026-01-30,INR,0.0
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI37,2026,2025,0,2026-01-30,INR,376782200000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI34,2026,2025,0,2026-01-30,INR,7655151200000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI33,2026,2025,0,2026-01-30,INR,434100000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI36,2026,2025,0,2026-01-30,INR,42752800000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI31,2026,2025,0,2026-01-30,INR,1003600000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,NT_ISSU_TTL,2026,2025,0,2026-01-30,INR,39572193600000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI4,2026,2025,0,2026-01-30,INR,32348543500000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI2,2026,2025,0,2026-01-30,INR,152100000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI38,2026,2025,0,2026-01-30,INR,7236950400000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI1,2026,2025,0,2026-01-30,INR,39572041500000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI39,2026,2025,0,2026-01-30,INR,1678426000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LIA,2026,2025,0,2026-01-30,INR,49409971100000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI35,2026,2025,0,2026-01-30,INR,69927300000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI32,2026,2025,0,2025-12-26,INR,0.0
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI34,2026,2025,0,2025-12-26,INR,7231726100000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI2,2026,2025,0,2025-12-26,INR,129700000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI33,2026,2025,0,2025-12-26,INR,424700000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI31,2026,2025,0,2025-12-26,INR,1007500000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LIA,2026,2025,0,2025-12-26,INR,43947592900000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI39,2026,2025,0,2025-12-26,INR,1081502300000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI1,2026,2025,0,2025-12-26,INR,38887620000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI37,2026,2025,0,2025-12-26,INR,371655400000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI38,2026,2025,0,2025-12-26,INR,7025467000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI36,2026,2025,0,2025-12-26,INR,40229000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI4,2026,2025,0,2025-12-26,INR,28129718300000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI35,2026,2025,0,2025-12-26,INR,65862600000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,NT_ISSU_TTL,2026,2025,0,2025-12-26,INR,38887749700000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI3,2026,2025,0,2025-12-26,INR,15817874600000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI38,2026,2025,0,2025-11-28,INR,4171080000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI3,2026,2025,0,2025-11-28,INR,14164380000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LIA,2026,2025,0,2025-11-28,INR,40873890000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI34,2026,2025,0,2025-11-28,INR,7782750000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI36,2026,2025,0,2025-11-28,INR,45860000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI37,2026,2025,0,2025-11-28,INR,400590000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI33,2026,2025,0,2025-11-28,INR,420000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI4,2026,2025,0,2025-11-28,INR,26709510000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI31,2026,2025,0,2025-11-28,INR,1000000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI32,2026,2025,0,2025-11-28,INR,0.0
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI1,2026,2025,0,2025-11-28,INR,38273170600000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,NT_ISSU_TTL,2026,2025,0,2025-11-28,INR,38273330600000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI35,2026,2025,0,2025-11-28,INR,67330000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI2,2026,2025,0,2025-11-28,INR,160000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI39,2026,2025,0,2025-11-28,INR,1695350000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI31,2026,2025,0,2025-10-31,INR,1004400000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LIA,2026,2025,0,2025-10-31,INR,41165494000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI38,2026,2025,0,2025-10-31,INR,4815304900000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI1,2026,2025,0,2025-10-31,INR,37809941700000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI39,2026,2025,0,2025-10-31,INR,1620260900000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI33,2026,2025,0,2025-10-31,INR,424800000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI3,2026,2025,0,2025-10-31,INR,15421560800000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI34,2026,2025,0,2025-10-31,INR,8429473300000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,NT_ISSU_TTL,2026,2025,0,2025-10-31,INR,37810062600000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI4,2026,2025,0,2025-10-31,INR,25743933200000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI37,2026,2025,0,2025-10-31,INR,438199300000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI2,2026,2025,0,2025-10-31,INR,120900000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI36,2026,2025,0,2025-10-31,INR,46119799999.99999
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI35,2026,2025,0,2025-10-31,INR,70773400000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI39,2026,2025,0,2025-09-26,INR,1648130000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI2,2026,2025,0,2025-09-26,INR,157200000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,NT_ISSU_TTL,2026,2025,0,2025-09-26,INR,37596518600000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI36,2026,2025,0,2025-09-26,INR,48411899999.99999
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI37,2026,2025,0,2025-09-26,INR,453160100000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI4,2026,2025,0,2025-09-26,INR,25142825299999.996
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI38,2026,2025,0,2025-09-26,INR,6987952000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI3,2026,2025,0,2025-09-26,INR,18190193800000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI31,2026,2025,0,2025-09-26,INR,1007800000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI1,2026,2025,0,2025-09-26,INR,37596361400000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI33,2026,2025,0,2025-09-26,INR,424700000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LIA,2026,2025,0,2025-09-26,INR,43333019100000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI35,2026,2025,0,2025-09-26,INR,76021500000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI32,2026,2025,0,2025-09-26,INR,0.0
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI34,2026,2025,0,2025-09-26,INR,8975085800000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI32,2026,2025,0,2025-08-29,INR,0.0
RBI:RBI_LIAB_M_RN(1.0),N_A,M,NT_ISSU_TTL,2026,2025,0,2025-08-29,INR,37638920000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI4,2026,2025,0,2025-08-29,INR,23996500000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI37,2026,2025,0,2025-08-29,INR,480270000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI3,2026,2025,0,2025-08-29,INR,17379920000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI33,2026,2025,0,2025-08-29,INR,420000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI35,2026,2025,0,2025-08-29,INR,80310000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI31,2026,2025,0,2025-08-29,INR,1010000000
