DATAFLOW,AUDST,FREQ,LIAB_ITEMS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI4,2027,2026,0,2026-05-22,INR,28940065400000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI3,2027,2026,0,2026-05-22,INR,16963806800000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI1,2027,2026,0,2026-05-22,INR,42548359500000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LIA,2027,2026,0,2026-05-22,INR,45903872200000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,NT_ISSU_TTL,2027,2026,0,2026-05-22,INR,42548492700000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI33,2027,2026,0,2026-05-22,INR,434099999.99999994
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI32,2027,2026,0,2026-05-22,INR,0.0
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI38,2027,2026,0,2026-05-22,INR,7447166700000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI39,2027,2026,0,2026-05-22,INR,1159689800000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI34,2027,2026,0,2026-05-22,INR,7851655600000.001
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI37,2027,2026,0,2026-05-22,INR,394475199999.99994
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI2,2027,2026,0,2026-05-22,INR,133200000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI35,2027,2026,0,2026-05-22,INR,64082299999.99999
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI36,2027,2026,0,2026-05-22,INR,45294600000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI31,2027,2026,0,2026-05-22,INR,1008500000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI38,2027,2026,0,2026-05-15,INR,4242186100000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI39,2027,2026,0,2026-05-15,INR,977979299999.9999
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI1,2027,2026,0,2026-05-15,INR,42414449800000.01
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI3,2027,2026,0,2026-05-15,INR,13319895900000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,NT_ISSU_TTL,2027,2026,0,2026-05-15,INR,42414578600000.01
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI32,2027,2026,0,2026-05-15,INR,0.0
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI4,2027,2026,0,2026-05-15,INR,32497895700000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI35,2027,2026,0,2026-05-15,INR,67160700000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI34,2027,2026,0,2026-05-15,INR,7586318800000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI33,2027,2026,0,2026-05-15,INR,434000000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI2,2027,2026,0,2026-05-15,INR,128800000.00000001
