DATAFLOW,AMOUNT_TYP_RN,AUDST,FREQ,LIMIT_RN,REPYEAREND,REPYEARSTART,ST_FACI_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF4,0,2026-01-31,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF3,0,2026-01-31,INR,132520500000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF1,0,2026-01-31,INR,22600000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TTL_OUTSTANDING,0,2026-01-31,INR,155120500000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF4,0,2025-12-31,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TTL_OUTSTANDING,0,2025-12-31,INR,127237000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF3,0,2025-12-31,INR,107877000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF1,0,2025-12-31,INR,19360000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TTL_OUTSTANDING,0,2025-11-28,INR,117813600000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF3,0,2025-11-28,INR,96373600000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF4,0,2025-11-28,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF1,0,2025-11-28,INR,21440000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF1,0,2025-10-31,INR,54890000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF4,0,2025-10-31,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TTL_OUTSTANDING,0,2025-10-31,INR,170074000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF3,0,2025-10-31,INR,115184000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF4,0,2025-09-19,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF3,0,2025-09-19,INR,103188300000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TTL_OUTSTANDING,0,2025-09-19,INR,106288300000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF1,0,2025-09-19,INR,3100000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TTL_OUTSTANDING,0,2025-08-22,INR,128031000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF4,0,2025-08-22,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF3,0,2025-08-22,INR,109851000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF1,0,2025-08-22,INR,18180000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF3,0,2025-07-25,INR,102992099999.99998
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF1,0,2025-07-25,INR,19060000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TTL_OUTSTANDING,0,2025-07-25,INR,122052099999.99998
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF4,0,2025-07-25,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TTL_OUTSTANDING,0,2025-06-27,INR,80754600000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF4,0,2025-06-27,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF1,0,2025-06-27,INR,10650000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF3,0,2025-06-27,INR,70104600000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF4,0,2025-05-30,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF1,0,2025-05-30,INR,15400000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF3,0,2025-05-30,INR,85946200000.00002
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TTL_OUTSTANDING,0,2025-05-30,INR,101346200000.00002
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF3,0,2025-04-18,INR,79989400000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF4,0,2025-04-18,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TTL_OUTSTANDING,0,2025-04-18,INR,100019400000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2026,2025,TSF1,0,2025-04-18,INR,20030000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF3,0,2025-03-21,INR,95173700000.00002
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF4,0,2025-03-21,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TTL_OUTSTANDING,0,2025-03-21,INR,194783700000.00003
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF1,0,2025-03-21,INR,99610000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF1,0,2025-02-21,INR,5000000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF4,0,2025-02-21,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF3,0,2025-02-21,INR,90957099999.99998
