DATAFLOW,AUDST,COM_RBI_SUR_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2026,2025,0,2025-06-30,INR,9334833200000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2026,2025,0,2025-06-30,INR,38212270920000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2026,2025,0,2025-06-30,INR,49240660214000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2026,2025,0,2025-06-30,INR,1086969994000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2026,2025,0,2025-06-30,INR,9941419300000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2026,2025,0,2025-05-31,INR,49625010993000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2026,2025,0,2025-05-31,INR,9560862400000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2026,2025,0,2025-05-31,INR,38357977270000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2026,2025,0,2025-05-31,INR,1101327923000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2026,2025,0,2025-05-31,INR,10165705800000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2026,2025,0,2025-04-30,INR,9092688200000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2026,2025,0,2025-04-30,INR,9698833100000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2026,2025,0,2025-04-30,INR,37874731320000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2026,2025,0,2025-04-30,INR,1037495000000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2026,2025,0,2025-04-30,INR,48611059420000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2025,2024,0,2025-03-31,INR,37244475620000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2025,2024,0,2025-03-31,INR,1133065600000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2025,2024,0,2025-03-31,INR,48292426120000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2025,2024,0,2025-03-31,INR,9914884900000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2025,2024,0,2025-03-31,INR,9260014300000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2025,2024,0,2025-02-28,INR,8884619900000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2025,2024,0,2025-02-28,INR,47122285375000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2025,2024,0,2025-02-28,INR,36514284810000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2025,2024,0,2025-02-28,INR,9474879400000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2025,2024,0,2025-02-28,INR,1133121165000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2025,2024,0,2025-01-31,INR,1042943180000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2025,2024,0,2025-01-31,INR,9484141700000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2025,2024,0,2025-01-31,INR,46526869620000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2025,2024,0,2025-01-31,INR,35999784740000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2025,2024,0,2025-01-31,INR,8898945500000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2025,2024,0,2024-12-31,INR,46630899662000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2025,2024,0,2024-12-31,INR,10002595300000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2025,2024,0,2024-12-31,INR,9394278400000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2025,2024,0,2024-12-31,INR,1016289322000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2025,2024,0,2024-12-31,INR,35612015040000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2025,2024,0,2024-11-30,INR,1029926179000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2025,2024,0,2024-11-30,INR,10879670000000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2025,2024,0,2024-11-30,INR,47379290439000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2025,2024,0,2024-11-30,INR,10238149800000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2025,2024,0,2024-11-30,INR,35469694260000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2025,2024,0,2024-10-31,INR,35183944700000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2025,2024,0,2024-10-31,INR,10478006300000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2025,2024,0,2024-10-31,INR,9845409500000
