DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SOR_RBI_SUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI1301,0,2025-06-30,INR,70104600000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI1102,0,2025-06-30,INR,200231200000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI3,0,2025-06-30,INR,58403960110000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI11012,0,2025-06-30,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI11015,0,2025-06-30,INR,2928262100000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI32,0,2025-06-30,INR,51180230800000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI11014,0,2025-06-30,INR,4485200000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI110131,0,2025-06-30,INR,17857152100000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI1302,0,2025-06-30,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI2,0,2025-06-30,INR,376516821000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI121,0,2025-06-30,INR,-3077280000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI5,0,2025-06-30,INR,410938918900
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI11011,0,2025-06-30,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI11013,0,2025-06-30,INR,17857152100000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI12,0,2025-06-30,INR,-3077280000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI1101,0,2025-06-30,INR,14933375200000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI31,0,2025-06-30,INR,7223744600000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI4,0,2025-06-30,INR,21275497900000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI1,0,2025-06-30,INR,12146620100000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI11,0,2025-06-30,INR,15133606399999.998
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI13,0,2025-06-30,INR,90293700000.00002
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI11013,0,2025-05-31,INR,18116768900000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI11015,0,2025-05-31,INR,3600988100000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI121,0,2025-05-31,INR,-2225720000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI11014,0,2025-05-31,INR,2974300000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI1,0,2025-05-31,INR,12711362100000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI12,0,2025-05-31,INR,-2225720000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI31,0,2025-05-31,INR,7213506300000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI11012,0,2025-05-31,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI3,0,2025-05-31,INR,57532961580000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI11011,0,2025-05-31,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI5,0,2025-05-31,INR,78542659630
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI1302,0,2025-05-31,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI11,0,2025-05-31,INR,14793147800000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI4,0,2025-05-31,INR,20913679900000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI32,0,2025-05-31,INR,50319411900000.01
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI1101,0,2025-05-31,INR,14518755100000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI1102,0,2025-05-31,INR,274392700000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI110131,0,2025-05-31,INR,18116768900000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI13,0,2025-05-31,INR,143934300000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI1301,0,2025-05-31,INR,85946200000.00002
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI2,0,2025-05-31,INR,372909871900
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI11011,0,2025-04-30,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI11014,0,2025-04-30,INR,1847800000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI1,0,2025-04-30,INR,14400956700000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI4,0,2025-04-30,INR,20357568200000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI1302,0,2025-04-30,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI1102,0,2025-04-30,INR,367490899999.99994
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI5,0,2025-04-30,INR,2724011297000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI121,0,2025-04-30,INR,-2056930000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI11,0,2025-04-30,INR,16265091299999.998
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI3,0,2025-04-30,INR,56925365100000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI2,0,2025-04-30,INR,366317123100
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI11012,0,2025-04-30,INR,0.0
