DATAFLOW,AUDST,COMP_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RMC_M_RN(1.0),N_A,COM11,M,2027,2026,0,2026-04-30,INR,42537412140000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2027,2026,0,2026-04-30,INR,1192760506000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2027,2026,0,2026-04-30,INR,8523988000000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2027,2026,0,2026-04-30,INR,52254160646000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2026,2025,0,2026-03-31,INR,8101244800000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2026,2025,0,2026-03-31,INR,51078311036000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2026,2025,0,2026-03-31,INR,41655729430000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2026,2025,0,2026-03-31,INR,1321336806000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2026,2025,0,2026-02-28,INR,1179224306000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2026,2025,0,2026-02-28,INR,40753689600000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2026,2025,0,2026-02-28,INR,7960867000000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2026,2025,0,2026-02-28,INR,49893780906000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2026,2025,0,2026-01-31,INR,1172669424000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2026,2025,0,2026-01-31,INR,40009467590000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2026,2025,0,2026-01-31,INR,49231902414000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2026,2025,0,2026-01-31,INR,8049765400000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2026,2025,0,2025-12-31,INR,1149985832000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2026,2025,0,2025-12-31,INR,39235225330000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2026,2025,0,2025-12-31,INR,47991354762000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2026,2025,0,2025-12-31,INR,7606143600000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2026,2025,0,2025-11-30,INR,38668715730000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2026,2025,0,2025-11-30,INR,8296527600000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2026,2025,0,2025-11-30,INR,48144181557000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2026,2025,0,2025-11-30,INR,1178938227000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2026,2025,0,2025-10-31,INR,38202253270000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2026,2025,0,2025-10-31,INR,48338513297000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2026,2025,0,2025-10-31,INR,8984565800000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2026,2025,0,2025-10-31,INR,1151694227000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2026,2025,0,2025-09-30,INR,9427168600000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2026,2025,0,2025-09-30,INR,48593717446000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2026,2025,0,2025-09-30,INR,1165027336000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2026,2025,0,2025-09-30,INR,38001521510000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2026,2025,0,2025-08-31,INR,49150628886000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2026,2025,0,2025-08-31,INR,38114912450000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2026,2025,0,2025-08-31,INR,9939265800000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2026,2025,0,2025-08-31,INR,1096450636000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2026,2025,0,2025-07-31,INR,38017989950000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2026,2025,0,2025-07-31,INR,1076423136000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2026,2025,0,2025-07-31,INR,9788980100000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2026,2025,0,2025-07-31,INR,48883393186000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2026,2025,0,2025-06-30,INR,1086969994000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2026,2025,0,2025-06-30,INR,38212270920000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2026,2025,0,2025-06-30,INR,49240660214000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2026,2025,0,2025-06-30,INR,9941419300000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2026,2025,0,2025-05-31,INR,1101327923000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2026,2025,0,2025-05-31,INR,38357977270000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2026,2025,0,2025-05-31,INR,49625010993000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2026,2025,0,2025-05-31,INR,10165705800000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2026,2025,0,2025-04-30,INR,9698833100000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2026,2025,0,2025-04-30,INR,37874731320000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2026,2025,0,2025-04-30,INR,48611059420000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2026,2025,0,2025-04-30,INR,1037495000000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2025,2024,0,2025-03-31,INR,48292426120000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2025,2024,0,2025-03-31,INR,37244475620000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2025,2024,0,2025-03-31,INR,1133065600000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2025,2024,0,2025-03-31,INR,9914884900000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2025,2024,0,2025-02-28,INR,9474879400000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2025,2024,0,2025-02-28,INR,47122285375000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2025,2024,0,2025-02-28,INR,36514284810000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2025,2024,0,2025-02-28,INR,1133121165000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2025,2024,0,2025-01-31,INR,1042943180000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2025,2024,0,2025-01-31,INR,9484141700000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2025,2024,0,2025-01-31,INR,46526869620000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2025,2024,0,2025-01-31,INR,35999784740000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2025,2024,0,2024-12-31,INR,35612015040000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2025,2024,0,2024-12-31,INR,10002595300000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2025,2024,0,2024-12-31,INR,1016289322000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2025,2024,0,2024-12-31,INR,46630899662000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2025,2024,0,2024-11-30,INR,35469694260000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2025,2024,0,2024-11-30,INR,47379290439000
RBI:RMC_M_RN(1.0),N_A,COM12,M,2025,2024,0,2024-11-30,INR,1029926179000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2025,2024,0,2024-11-30,INR,10879670000000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2025,2024,0,2024-10-31,INR,35183944700000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2025,2024,0,2024-10-31,INR,46644866778700
RBI:RMC_M_RN(1.0),N_A,COM12,M,2025,2024,0,2024-10-31,INR,982915778700
RBI:RMC_M_RN(1.0),N_A,COM13,M,2025,2024,0,2024-10-31,INR,10478006300000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2025,2024,0,2024-09-30,INR,34905375839999.9
RBI:RMC_M_RN(1.0),N_A,COM13,M,2025,2024,0,2024-09-30,INR,10189754500000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2025,2024,0,2024-09-30,INR,46035980033399.9
RBI:RMC_M_RN(1.0),N_A,COM12,M,2025,2024,0,2024-09-30,INR,940849693400
RBI:RMC_M_RN(1.0),N_A,COM11,M,2025,2024,0,2024-08-31,INR,35129408610000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2025,2024,0,2024-08-31,INR,10235954300000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2025,2024,0,2024-08-31,INR,46283585618800
RBI:RMC_M_RN(1.0),N_A,COM12,M,2025,2024,0,2024-08-31,INR,918222708800
RBI:RMC_M_RN(1.0),N_A,COM12,M,2025,2024,0,2024-07-31,INR,912245808800
RBI:RMC_M_RN(1.0),N_A,COM11,M,2025,2024,0,2024-07-31,INR,35371803210000
RBI:RMC_M_RN(1.0),N_A,COM13,M,2025,2024,0,2024-07-31,INR,10390586800000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2025,2024,0,2024-07-31,INR,46674635818800
RBI:RMC_M_RN(1.0),N_A,COM13,M,2025,2024,0,2024-06-30,INR,10363684500000
RBI:RMC_M_RN(1.0),N_A,COM1,M,2025,2024,0,2024-06-30,INR,46951369308800
RBI:RMC_M_RN(1.0),N_A,COM12,M,2025,2024,0,2024-06-30,INR,957661208800
RBI:RMC_M_RN(1.0),N_A,COM11,M,2025,2024,0,2024-06-30,INR,35630023600000
RBI:RMC_M_RN(1.0),N_A,COM11,M,2025,2024,0,2024-05-31,INR,35713712400000
