DATAFLOW,AUDST,COMP_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-12-12,INR,1150168994000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-12-12,INR,39122952960000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-12-12,INR,47955512150000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-12-12,INR,7682390200000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-12-05,INR,47980369920000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-12-05,INR,7920333700000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-12-05,INR,1141045994000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-12-05,INR,38918990230000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-11-28,INR,38668715730000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-11-28,INR,48144181560000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-11-28,INR,8296527600000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-11-28,INR,1178938227000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-11-21,INR,48075632900000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-11-21,INR,38618281770000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-11-21,INR,8321717800000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-11-21,INR,1135633327000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-11-14,INR,8332175300000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-11-14,INR,38498137670000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-11-14,INR,1135954427000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-11-14,INR,47966267400000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-11-07,INR,38428021370000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-11-07,INR,1144780127000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-11-07,INR,8220639200000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-11-07,INR,47793440700000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-10-31,INR,48338513300000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-10-31,INR,38202253270000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-10-31,INR,8984565800000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-10-31,INR,1151694227000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-10-24,INR,38348489770000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-10-24,INR,48268312720000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-10-24,INR,1138121643000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-10-24,INR,8781701300000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-10-17,INR,1149098443000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-10-17,INR,48265145620000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-10-17,INR,8824165000000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-10-17,INR,38291882170000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-10-10,INR,48106859320000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-10-10,INR,38090412070000
