DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SOUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR3,0,2026-03-31,INR,-3071029400000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR1,0,2026-03-31,INR,20790861100000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR5,0,2026-03-31,INR,282540600000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR7,0,2026-03-31,INR,408177326900
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR2,0,2026-03-31,INR,20466229300000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR4,0,2026-03-31,INR,-3353500000000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR8,0,2026-03-31,INR,30651991480000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR6,0,2026-03-31,INR,63602293490000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR2,0,2025-11-28,INR,16252339100000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR7,0,2025-11-28,INR,395545132400
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR5,0,2025-11-28,INR,117012000000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR3,0,2025-11-28,INR,-1724848000000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR6,0,2025-11-28,INR,59579427350000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR1,0,2025-11-28,INR,16441574400000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR4,0,2025-11-28,INR,-1841860000000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR8,0,2025-11-28,INR,26547517320000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR2,0,2025-10-31,INR,15099375100000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR7,0,2025-10-31,INR,392311568700
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR5,0,2025-10-31,INR,136030800000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR6,0,2025-10-31,INR,59454827260000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR8,0,2025-10-31,INR,25597279830000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR3,0,2025-10-31,INR,-1210459200000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR1,0,2025-10-31,INR,15299113500000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR4,0,2025-10-31,INR,-1346490000000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR1,0,2025-09-26,INR,13370462600000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR3,0,2025-09-26,INR,-437055000000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR8,0,2025-09-26,INR,24938242250000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR5,0,2025-09-26,INR,190485000000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR7,0,2025-09-26,INR,388635073100
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR6,0,2025-09-26,INR,60335748900000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR2,0,2025-09-26,INR,13044671800000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR4,0,2025-09-26,INR,-627540000000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR2,0,2025-08-29,INR,15610710000000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR8,0,2025-08-29,INR,23855361890000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR3,0,2025-08-29,INR,-2409958600000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR4,0,2025-08-29,INR,-2540300000000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR7,0,2025-08-29,INR,384379212500
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR6,0,2025-08-29,INR,59483550830000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR5,0,2025-08-29,INR,130341400000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR1,0,2025-08-29,INR,15806518300000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR2,0,2025-07-25,INR,14781666600000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR6,0,2025-07-25,INR,58696795030000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR7,0,2025-07-25,INR,380574652700
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR5,0,2025-07-25,INR,123833600000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR3,0,2025-07-25,INR,-2856796400000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR8,0,2025-07-25,INR,22358680300000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR4,0,2025-07-25,INR,-2980630000000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR1,0,2025-07-25,INR,15021500200000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR4,0,2025-06-27,INR,-3077280000000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR2,0,2025-06-27,INR,14933375200000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR3,0,2025-06-27,INR,-2986986300000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR6,0,2025-06-27,INR,58403960110000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR1,0,2025-06-27,INR,15133606399999.998
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR8,0,2025-06-27,INR,21686436820000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR5,0,2025-06-27,INR,90293700000.00002
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR7,0,2025-06-27,INR,376516821000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR6,0,2025-05-30,INR,57532961580000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR4,0,2025-05-30,INR,-2225720000000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR5,0,2025-05-30,INR,143934300000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR2,0,2025-05-30,INR,14518755100000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR1,0,2025-05-30,INR,14793147800000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR8,0,2025-05-30,INR,20992222560000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR7,0,2025-05-30,INR,372909871900
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR3,0,2025-05-30,INR,-2081785700000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR2,0,2025-04-25,INR,15594597700000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR4,0,2025-04-25,INR,-1219170000000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR8,0,2025-04-25,INR,23229650870000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR7,0,2025-04-25,INR,369221938200
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR6,0,2025-04-25,INR,57141709270000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR5,0,2025-04-25,INR,219818200000
