DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SOUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-12-12,INR,397106558200
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-12-12,INR,27590507310000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-12-12,INR,-2224430000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-12-12,INR,109938900000.0002
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-12-12,INR,16791781700000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-12-12,INR,60471622310000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-12-05,INR,60041522110000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-12-05,INR,-2376200000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-12-05,INR,27253516120000.004
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-12-05,INR,17071346399999.998
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-12-05,INR,100931500000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-12-05,INR,396286026900
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-11-28,INR,59579427350000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-11-28,INR,-1841860000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-11-28,INR,16441574400000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-11-28,INR,395545132400
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-11-28,INR,117012000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-11-28,INR,26547517320000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-11-21,INR,-1586370000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-11-21,INR,26202611170000
