DATAFLOW,AUDST,FREQ,OPERTED_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR1,2016,2015,0,2016-03-31,PN,3.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR102,2016,2015,0,2016-03-31,PN,3.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR2,2016,2015,0,2016-03-31,PN,725.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR202,2016,2015,0,2016-03-31,PN,725.00000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR3,2016,2015,0,2016-03-31,PN,321.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR302,2016,2015,0,2016-03-31,PN,321.00000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR4,2016,2015,0,2016-03-31,PN,118.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR402,2016,2015,0,2016-03-31,PN,118.00000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR5,2016,2015,0,2016-03-31,PN,121.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,TTL_OPR,2016,2015,0,2016-03-31,PN,1288
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR1,2017,2016,0,2017-03-31,PN,3.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR102,2017,2016,0,2017-03-31,PN,3.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR2,2017,2016,0,2017-03-31,PN,652.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR202,2017,2016,0,2017-03-31,PN,652.00000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR3,2017,2016,0,2017-03-31,PN,274.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR302,2017,2016,0,2017-03-31,PN,274.00000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR4,2017,2016,0,2017-03-31,PN,117.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR402,2017,2016,0,2017-03-31,PN,117.00000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR5,2017,2016,0,2017-03-31,PN,120.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,TTL_OPR,2017,2016,0,2017-03-31,PN,1166
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR1,2018,2017,0,2018-03-31,PN,3.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR102,2018,2017,0,2018-03-31,PN,3.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR2,2018,2017,0,2018-03-31,PN,819.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR202,2018,2017,0,2018-03-31,PN,819.00000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR4,2018,2017,0,2018-03-31,PN,110.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR402,2018,2017,0,2018-03-31,PN,110.00000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR5,2018,2017,0,2018-03-31,PN,119.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,TTL_OPR,2018,2017,0,2018-03-31,PN,1051
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR1,2019,2018,0,2019-03-31,PN,3.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR102,2019,2018,0,2019-03-31,PN,3.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR2,2019,2018,0,2019-03-31,PN,552.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR202,2019,2018,0,2019-03-31,PN,552.00000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR4,2019,2018,0,2019-03-31,PN,89.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR402,2019,2018,0,2019-03-31,PN,89.00000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR5,2019,2018,0,2019-03-31,PN,88.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,TTL_OPR,2019,2018,0,2019-03-31,PN,732
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR1,2020,2019,0,2020-03-31,PN,3.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR102,2020,2019,0,2020-03-31,PN,3.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR2,2020,2019,0,2020-03-31,PN,156.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR202,2020,2019,0,2020-03-31,PN,156.00000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR4,2020,2019,0,2020-03-31,PN,29.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR402,2020,2019,0,2020-03-31,PN,29.00000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR5,2020,2019,0,2020-03-31,PN,29.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,TTL_OPR,2020,2019,0,2020-03-31,PN,217
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR1,2021,2020,0,2021-03-31,PN,3.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR102,2021,2020,0,2021-03-31,PN,3.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,TTL_OPR,2021,2020,0,2021-03-31,PN,3
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR1,2022,2021,0,2022-03-31,PN,3.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR102,2022,2021,0,2022-03-31,PN,3.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,TTL_OPR,2022,2021,0,2022-03-31,PN,3
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR1,2023,2022,0,2023-03-31,PN,3.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR102,2023,2022,0,2023-03-31,PN,3.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,TTL_OPR,2023,2022,0,2023-03-31,PN,3
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR1,2024,2023,0,2024-03-31,PN,1.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,OPR102,2024,2023,0,2024-03-31,PN,1.000000000000
RBI:CLEARING_HOU_RN(1.0),N_A,AFY,TTL_OPR,2024,2023,0,2024-03-31,PN,1
