DATAFLOW,AUDST,FREQ,LIB_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT1,1986,1985,0,1986-03-31,INR,1516430000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT11,1986,1985,0,1986-03-31,INR,1193310000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT12,1986,1985,0,1986-03-31,INR,323120000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT2,1986,1985,0,1986-03-31,INR,613550000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT3,1986,1985,0,1986-03-31,INR,1428740000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT4,1986,1985,0,1986-03-31,INR,1751860000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT1,1987,1986,0,1987-03-31,INR,1828250000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT11,1987,1986,0,1987-03-31,INR,1462470000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT12,1987,1986,0,1987-03-31,INR,365780000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT2,1987,1986,0,1987-03-31,INR,698750000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT3,1987,1986,0,1987-03-31,INR,1734880000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT4,1987,1986,0,1987-03-31,INR,2100660000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT1,1988,1987,0,1988-03-31,INR,2191760000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT11,1988,1987,0,1988-03-31,INR,1723380000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT12,1988,1987,0,1988-03-31,INR,468380000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT2,1988,1987,0,1988-03-31,INR,811800000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT3,1988,1987,0,1988-03-31,INR,2041110000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT4,1988,1987,0,1988-03-31,INR,2509490000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT1,1989,1988,0,1989-03-31,INR,2581250000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT11,1989,1988,0,1989-03-31,INR,2040250000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT12,1989,1988,0,1989-03-31,INR,541000000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT2,1989,1988,0,1989-03-31,INR,937720000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT3,1989,1988,0,1989-03-31,INR,2416830000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT4,1989,1988,0,1989-03-31,INR,2957830000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT1,1990,1989,0,1990-03-31,INR,3058660000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT11,1990,1989,0,1990-03-31,INR,2398490000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT12,1990,1989,0,1990-03-31,INR,660170000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT2,1990,1989,0,1990-03-31,INR,1098490000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT3,1990,1989,0,1990-03-31,INR,2856490000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT4,1990,1989,0,1990-03-31,INR,3516660000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT1,1991,1990,0,1991-03-31,INR,3493470000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT11,1991,1990,0,1991-03-31,INR,2830330000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT12,1991,1990,0,1991-03-31,INR,663140000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT2,1991,1990,0,1991-03-31,INR,1281550000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT3,1991,1990,0,1991-03-31,INR,3372990000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT4,1991,1990,0,1991-03-31,INR,4036130000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT1,1992,1991,0,1992-03-31,INR,4273910000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT11,1992,1991,0,1992-03-31,INR,3177140000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT12,1992,1991,0,1992-03-31,INR,1096770000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT2,1992,1991,0,1992-03-31,INR,1470300000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT3,1992,1991,0,1992-03-31,INR,3814800000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT4,1992,1991,0,1992-03-31,INR,4911570000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT1,1993,1992,0,1993-03-31,INR,4806340000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT11,1993,1992,0,1993-03-31,INR,3596550000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT12,1993,1992,0,1993-03-31,INR,1209790000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT2,1993,1992,0,1993-03-31,INR,1683650000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT3,1993,1992,0,1993-03-31,INR,4367660000000
RBI:GOVT_LIAB_RN(1.0),N_A,AFY,LT4,1993,1992,0,1993-03-31,INR,5577450000000
