DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_DEF_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1986,1985,DEF1,0,1986-03-31,INR,221740000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1986,1985,DEF4,0,1986-03-31,INR,135510000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1986,1985,DEF6,0,1986-03-31,INR,52350000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1986,1985,DEF9,0,1986-03-31,INR,-36270000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1987,1986,DEF1,0,1987-03-31,INR,307890000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1987,1986,DEF4,0,1987-03-31,INR,201480000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1987,1986,DEF6,0,1987-03-31,INR,76070000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1987,1986,DEF9,0,1987-03-31,INR,-89270000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1988,1987,DEF1,0,1988-03-31,INR,324320000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1988,1987,DEF4,0,1988-03-31,INR,194270000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1988,1987,DEF6,0,1988-03-31,INR,102250000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1988,1987,DEF9,0,1988-03-31,INR,-58820000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1989,1988,DEF1,0,1989-03-31,INR,358870000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1989,1988,DEF4,0,1989-03-31,INR,194310000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1989,1988,DEF6,0,1989-03-31,INR,123220000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1989,1988,DEF9,0,1989-03-31,INR,-52620000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1990,1989,DEF1,0,1990-03-31,INR,431350000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1990,1989,DEF4,0,1990-03-31,INR,226030000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1990,1989,DEF6,0,1990-03-31,INR,155960000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1990,1989,DEF9,0,1990-03-31,INR,-107530000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1991,1990,DEF1,0,1991-03-31,INR,535800000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1991,1990,DEF4,0,1991-03-31,INR,285850000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1991,1990,DEF6,0,1991-03-31,INR,238710000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1991,1990,DEF9,0,1991-03-31,INR,-112750000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1992,1991,DEF1,0,1992-03-31,INR,458500000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1992,1991,DEF4,0,1992-03-31,INR,148580000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1992,1991,DEF6,0,1992-03-31,INR,219120000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1992,1991,DEF9,0,1992-03-31,INR,-70110000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1993,1992,DEF1,0,1993-03-31,INR,524040000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1993,1992,DEF4,0,1993-03-31,INR,159360000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1993,1992,DEF6,0,1993-03-31,INR,236880000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1993,1992,DEF9,0,1993-03-31,INR,-104830000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1994,1993,DEF1,0,1994-03-31,INR,709520000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1994,1993,DEF4,0,1994-03-31,INR,279380000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1994,1993,DEF6,0,1994-03-31,INR,365290000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1994,1993,DEF9,0,1994-03-31,INR,-114220000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1995,1994,DEF1,0,1995-03-31,INR,716390000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1995,1994,DEF4,0,1995-03-31,INR,193130000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1995,1994,DEF6,0,1995-03-31,INR,371850000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1995,1994,DEF9,0,1995-03-31,INR,35070000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1996,1995,DEF1,0,1996-03-31,INR,776710000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1996,1995,DEF4,0,1996-03-31,INR,185980000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1996,1995,DEF6,0,1996-03-31,INR,379320000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1996,1995,DEF9,0,1996-03-31,INR,-69530000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1997,1996,DEF1,0,1997-03-31,INR,872440000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1997,1996,DEF4,0,1997-03-31,INR,171560000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1997,1996,DEF6,0,1997-03-31,INR,487680000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1997,1996,DEF9,0,1997-03-31,INR,-202260000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1998,1997,DEF1,0,1998-03-31,INR,1107430000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1998,1997,DEF4,0,1998-03-31,INR,324660000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1998,1997,DEF6,0,1998-03-31,INR,627820000000
RBI:CCSG_DEF_RN(1.0),N_A,AFY,1998,1997,DEF9,0,1998-03-31,INR,30140000000
