DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_GEXP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CCS_DIS_RN(1.0),N_A,AFY,2026,2025,GE4102,0,2026-03-31,INR,65970583291300
RBI:CCS_DIS_RN(1.0),N_A,AFY,2026,2025,GE42,0,2026-03-31,INR,20714694718700
RBI:CCS_DIS_RN(1.0),N_A,AFY,2026,2025,GE4101,0,2026-03-31,INR,18835755530000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2026,2025,GE4,0,2026-03-31,INR,105521033540000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2026,2025,GE41,0,2026-03-31,INR,84806338821300
RBI:CCS_DIS_RN(1.0),N_A,AFY,2025,2024,GE41,0,2025-03-31,INR,79262747715000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2025,2024,GE4102,0,2025-03-31,INR,62407717288000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2025,2024,GE4101,0,2025-03-31,INR,16855030427000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2025,2024,GE42,0,2025-03-31,INR,18538043901000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2025,2024,GE4,0,2025-03-31,INR,97800791616000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2024,2023,GE41,0,2024-03-31,INR,69644098931153
RBI:CCS_DIS_RN(1.0),N_A,AFY,2024,2023,GE4101,0,2024-03-31,INR,15574919343065
RBI:CCS_DIS_RN(1.0),N_A,AFY,2024,2023,GE4,0,2024-03-31,INR,85798096959789
RBI:CCS_DIS_RN(1.0),N_A,AFY,2024,2023,GE42,0,2024-03-31,INR,16153998028636
RBI:CCS_DIS_RN(1.0),N_A,AFY,2024,2023,GE4102,0,2024-03-31,INR,54069179588088
RBI:CCS_DIS_RN(1.0),N_A,AFY,2023,2022,GE4101,0,2023-03-31,INR,13778069564275
RBI:CCS_DIS_RN(1.0),N_A,AFY,2023,2022,GE41,0,2023-03-31,INR,65793810925257
RBI:CCS_DIS_RN(1.0),N_A,AFY,2023,2022,GE4102,0,2023-03-31,INR,52015741360982
RBI:CCS_DIS_RN(1.0),N_A,AFY,2023,2022,GE4,0,2023-03-31,INR,78805216493338
RBI:CCS_DIS_RN(1.0),N_A,AFY,2023,2022,GE42,0,2023-03-31,INR,13011405568081
RBI:CCS_DIS_RN(1.0),N_A,AFY,2022,2021,GE4101,0,2022-03-31,INR,12266718386952
RBI:CCS_DIS_RN(1.0),N_A,AFY,2022,2021,GE41,0,2022-03-31,INR,59568737213191
RBI:CCS_DIS_RN(1.0),N_A,AFY,2022,2021,GE4,0,2022-03-31,INR,70984510578028
RBI:CCS_DIS_RN(1.0),N_A,AFY,2022,2021,GE42,0,2022-03-31,INR,11415773364837
RBI:CCS_DIS_RN(1.0),N_A,AFY,2022,2021,GE4102,0,2022-03-31,INR,47302018826239
RBI:CCS_DIS_RN(1.0),N_A,AFY,2021,2020,GE4102,0,2021-03-31,INR,44482520000000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2021,2020,GE4101,0,2021-03-31,INR,10606020000000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2021,2020,GE4,0,2021-03-31,INR,63533590000000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2021,2020,GE41,0,2021-03-31,INR,55088540000000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2021,2020,GE42,0,2021-03-31,INR,8445060000000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2020,2019,GE4,0,2020-03-31,INR,54108871045940
RBI:CCS_DIS_RN(1.0),N_A,AFY,2020,2019,GE41,0,2020-03-31,INR,46396030435420.01
RBI:CCS_DIS_RN(1.0),N_A,AFY,2020,2019,GE4101,0,2020-03-31,INR,9558006690660
RBI:CCS_DIS_RN(1.0),N_A,AFY,2020,2019,GE42,0,2020-03-31,INR,7712840610520
RBI:CCS_DIS_RN(1.0),N_A,AFY,2020,2019,GE4102,0,2020-03-31,INR,36838023744760.01
RBI:CCS_DIS_RN(1.0),N_A,AFY,2019,2018,GE42,0,2019-03-31,INR,7707604719640
RBI:CCS_DIS_RN(1.0),N_A,AFY,2019,2018,GE4102,0,2019-03-31,INR,33754664900390
RBI:CCS_DIS_RN(1.0),N_A,AFY,2019,2018,GE4101,0,2019-03-31,INR,8945199111550
RBI:CCS_DIS_RN(1.0),N_A,AFY,2019,2018,GE4,0,2019-03-31,INR,50407468731580.01
RBI:CCS_DIS_RN(1.0),N_A,AFY,2019,2018,GE41,0,2019-03-31,INR,42699864011940
RBI:CCS_DIS_RN(1.0),N_A,AFY,2018,2017,GE4101,0,2018-03-31,INR,8147570000000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2018,2017,GE4,0,2018-03-31,INR,45159460000000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2018,2017,GE4102,0,2018-03-31,INR,30240990000000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2018,2017,GE42,0,2018-03-31,INR,6770900000000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2018,2017,GE41,0,2018-03-31,INR,38388560000000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2017,2016,GE4,0,2017-03-31,INR,42659690000000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2017,2016,GE4102,0,2017-03-31,INR,27646260000000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2017,2016,GE41,0,2017-03-31,INR,34890740000000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2017,2016,GE42,0,2017-03-31,INR,7768950000000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2017,2016,GE4101,0,2017-03-31,INR,7244480000000
RBI:CCS_DIS_RN(1.0),N_A,AFY,2016,2015,GE42,0,2016-03-31,INR,6641200400000
